INDEX,SPMCODE,Collector_no,Alt_Coll_No,TAXA-Current_determination,Collection_date,Collectors,OWNER,Country,State_Province_Region_territory,substate,substateRank,Site,Protected,habitat,associates,DBH-cm,Height-m,plantAttributesOther,Determination_HIST_PIPED,Determined_by,Determined_date,determination_reasoning_notes,sourceInstitution,livingCollectionsNumber,OrigSourceInfo,Original Source- Cultivated,latitude.orig,longitude.orig,Elevation-USETHIS,coordinatesSource,photos,Collecting_Extracting_notes,Project,DNA_location,voucher1,voucher2,voucher3,otherVouchers,MOR_Acc_Num,SPM_voucher,Voucher_Notes,Mira used for:,Wild_Arb_GH_Collected,latitude_georef,longitude_georef,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,HYB-SEQ-EXTRACT,Hyb-SEQ subproject,HYB-SEQ Sequenced On,Hyb-SEQ_filename1,Hyb-SEQ_filename2,HYB-SEQ notes,HYB-SEQ_BioProject,Hyb-SEQ-SRA_library_ID,SRA_biosample_accession,HYB-SEQ SRA_title_correct_LOCALITY_INFO,Lookup-SUBGENUS-by-CurrentTAXA,LOOKUP-section-by-currentTAXA,Lookup-CLADE0by-CurrentTAXA,GABE-TEMP
128,QUE000128,IL-MOR-MH086,MH86,Quercus alba,7/30/12,"Marlene Hahn, Breane G. Budaitis, Donna J Wetta",HIPP,USA,Illinois,DuPage,Co.,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest O-68/49-28 ",,Arboretum,,8 cm,18,"Oval shaped tree 18 feet tall and 6 feet wide in good condition. One , trunk at ground level with smooth/slightly textured grey-brown bark. , DBH~ 8 cm. This year's growth is smooth and brown. Previous growth is , smooth and grey-brown. ",Quercus alba L.,,,,The Morton Arboretum,468-2001*2,"collected by: Kunso Kim & Ed Hedborn, The Morton Arboretum;  along St. Joseph River along River Trail on Fernwood Botanical Garden northwest of Niles  in Berrien County Michigan U.S.A. (41.864917, -86.35075, 640 ft)",F,,,n/a,,Y,,"Phylogeny of the oaks of the Americas: Diversification of an ecologically important clade across the tropical-temperate divide. (2012-2015 NSF Grant, DEB 114648)",MOR,The Morton Arboretum (MOR),UMN,DUKE,"MX, ND",174513,MOR<USA-IL>: Hahn et al. IL-MOR-MH086,,,The Morton Arboretum,41.864917,-86.35075,GPS in provenance info,USA,Michigan,Berrien,,OAK-MOR-000076,phylo|macrocarpa,Illumina HiSeq 4000,OAK-MOR-000076_S323_L007_R1_001.fastq.gz,OAK-MOR-000076_S323_L007_R2_001.fastq.gz,,,,SAMN06446145,HybSeq using Quercus custom baits of Quercus alba from USA:Michigan,subg. Quercus,Quercus,Albae,QUE000128
136,QUE000136,IL-MOR-MH094,MH94,Quercus bicolor,5/24/12,"Marlene Hahn, Breane G. Budaitis, , Elsa M. Meza",HIPP,USA,Illinois,DuPage,Co.,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest: N-58/22-22 ",,Arboretum,,17 cm,"45'5""","Rounded tree 45' 5"" tall and 30 ' wide in good condition. Insect, hole damage on leaf. DBH: ~ 17 cm. Trunk bark furrowed and grey borwn., Twig color green; previous year smooth in some places, shreddy,, gray brown with lenticils. Some spent flowers.",Quercus bicolor Willd.,,,,The Morton Arboretum,463-84*4,collected along the Des Plaines River near Willow Springs  in Cook County Illinois U.S.A.,F,,,n/a,,,,"Phylogeny of the oaks of the Americas: Diversification of an ecologically important clade across the tropical-temperate divide. (2012-2015 NSF Grant, DEB 114648)",MOR,The Morton Arboretum (MOR),UMN,DUKE,MX,174534,MOR<USA-IL>: Hahn et al. IL-MOR-MH094,,,The Morton Arboretum,41.740864,-87.860335,"Google earth to Willow Springs, IL",USA,Illinois,Cook,,OAK-MOR-000342,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000342_S202_L007_R1_001.fastq.gz,OAK-MOR-000342_S202_L007_R2_001.fastq.gz,,,,SAMN06446148,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE000136
322,QUE000322,CA-DAV-MH49,MH49,Quercus muehlenbergii,5/11/12,Marlene Hahn,HIPP,USA,California,Yolo ,County,UC Davis Arboretum: Shields Oak Grove: Grid #15-C6; Shields Oak Grove Tree #270,,Arboretum,,12.2,13.7,,Quercus muehlenbergii Engelm.,A. Hipp,10/31/13,!,UC Davis Arboretum,"A63.0009, Qualifier 20339","Texas: Culberson County: Guadalupe Mountains:
McKittrick Canyon: 0.6 Mile downstream from Rock House. Typical medium-sized tree; along a wash in a patch of larger trees, in rather open part of canyon. 5150 ft. D. Cavagnaro 206. 11 Oct 1963.",F,,,50,Elevation-UC Davis Arboretum,,No tag; ID's by map location.,"Phylogeny of the oaks of the Americas: Diversification of an ecologically important clade across the tropical-temperate divide. (2012-2015 NSF Grant, DEB 114648)",MOR,The Morton Arboretum (MOR),UMN,DUKE,n/a,174690,MOR<USA-IL>: Hahn CA-DAV-MH49,,,Arboretum,31.97917,-104.75417,GEOLocate Web App,USA,Texas,Culberson,,OAK-MOR-000639,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000639_S239_L007_R1_001.fastq.gz,OAK-MOR-000639_S239_L007_R2_001.fastq.gz,,,,SAMN06446178,HybSeq using Quercus custom baits of Quercus muehlenbergii from USA:Texas,subg. Quercus,Quercus,Prinoideae,QUE000322
1333,QUE001333,IL-LAKESTOREY-NS1,,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, 1/4 Mile N. on boat launch trail",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,?,,,,?,,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000738,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000738_S214_L007_R1_001.fastq.gz,OAK-MOR-000738_S214_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001333
1334,QUE001334,IL-LAKESTOREY-NS2,IL-LS-NS2,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, On trail along N. Lake Storey Rd",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180531,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS2,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000739,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000739_S257_L007_R1_001.fastq.gz,OAK-MOR-000739_S257_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001334
1335,QUE001335,IL-LAKESTOREY-NS3,IL-LS-NS3,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, On trail along N. Lake Storey Rd",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180537,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS3,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000740,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000740_S255_L007_R1_001.fastq.gz,OAK-MOR-000740_S255_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001335
1336,QUE001336,IL-LAKESTOREY-NS4,IL-LS-NS4,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, On trail along N. Lake Storey Rd",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180539,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS4,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000741,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000741_S236_L007_R1_001.fastq.gz,OAK-MOR-000741_S236_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001336
1337,QUE001337,IL-LAKESTOREY-NS5,IL-LS-NS5,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Service Drive off N. Lake Storey Rd",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180541,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS5,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000742,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000742_S248_L007_R1_001.fastq.gz,OAK-MOR-000742_S248_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001337
1338,QUE001338,IL-LAKESTOREY-NS6,,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Service Drive off N. Lake Storey Rd",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,?,,,,?,,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000743,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000743_S261_L007_R1_001.fastq.gz,OAK-MOR-000743_S261_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001338
1339,QUE001339,IL-LAKESTOREY-NS7,IL-LS-NS7,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Service Drive off N. Lake Storey Rd",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180536,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS7,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000744,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000744_S265_L007_R1_001.fastq.gz,OAK-MOR-000744_S265_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001339
