JCB-21 QUE002637
JCB-23 QUE002631
JCB-30 QUE002647
JCB-40 QUE002613
JCB-41 QUE002614
JCB-43 QUE002616
JCB-44 QUE002617
JCB-54 QUE002599
JCB-58 QUE002628
JCB-68 QUE002601
JCB-73 QUE002638
JCB-79 QUE002615
JCB-85 QUE002595
JCB-90 QUE002634
JCB-91 QUE002590
JCB-97 QUE002608
JCB-99 QUE002641
OAK-MOR-000076 QUE000128
OAK-MOR-000342 QUE000136
OAK-MOR-000639 QUE000322
OAK-MOR-000738 QUE001333
OAK-MOR-000739 QUE001334
OAK-MOR-000740 QUE001335
OAK-MOR-000741 QUE001336
OAK-MOR-000742 QUE001337
OAK-MOR-000743 QUE001338
OAK-MOR-000744 QUE001339
OAK-MOR-000746 QUE001341
OAK-MOR-000747 QUE001342
OAK-MOR-000748 QUE001343
OAK-MOR-000749 QUE001344
OAK-MOR-000750 QUE001345
OAK-MOR-000751 QUE001346
OAK-MOR-000752 QUE001347
OAK-MOR-000753 QUE001348
OAK-MOR-000754 QUE001349
OAK-MOR-000755 QUE001350
OAK-MOR-000756 QUE001351
OAK-MOR-000757 QUE001352
OAK-MOR-000758 QUE001353
OAK-MOR-000759 QUE001354
OAK-MOR-000760 QUE001355
OAK-MOR-000761 QUE001356
OAK-MOR-000762 QUE001357
OAK-MOR-000764 QUE001359
OAK-MOR-000765 QUE001360
OAK-MOR-000766 QUE001361
OAK-MOR-000767 QUE001362
OAK-MOR-000768 QUE001363
OAK-MOR-000769 QUE001364
OAK-MOR-000770 QUE001365
OAK-MOR-000771 QUE001340
OAK-MOR-000772 QUE001366
OAK-MOR-000773 QUE001367
OAK-MOR-000774 QUE001368
OAK-MOR-000775 QUE001369
OAK-MOR-000776 QUE001370
OAK-MOR-000777 QUE001371
OAK-MOR-000778 QUE001372
OAK-MOR-000779 QUE001373
OAK-MOR-000780 QUE001374
OAK-MOR-000781 QUE001375
OAK-MOR-000782 QUE001376
OAK-MOR-000783 QUE001377
OAK-MOR-000784 QUE001378
OAK-MOR-000785 QUE001379
OAK-MOR-000786 QUE001380
OAK-MOR-000787 QUE001381
OAK-MOR-000788 QUE001382
OAK-MOR-000789 QUE001383
OAK-MOR-000790 QUE001384
OAK-MOR-000791 QUE001385
OAK-MOR-000792 QUE001386
OAK-MOR-000793 QUE001387
OAK-MOR-000795 QUE001389
OAK-MOR-000796 QUE001390
OAK-MOR-000797 QUE001391
OAK-MOR-000798 QUE001392
OAK-MOR-000799 QUE001393
OAK-MOR-000891 QUE001444
OAK-MOR-000961 QUE001483
OAK-MOR-000962 QUE001484
OAK-MOR-000963 QUE001485
OAK-MOR-000964 QUE001486
OAK-MOR-000965 QUE001487
OAK-MOR-000966 QUE001488
OAK-MOR-000967 QUE001489
OAK-MOR-001004 QUE001526
OAK-MOR-001005 QUE001527
OAK-MOR-001006 QUE001528
OAK-MOR-001007 QUE001529
OAK-MOR-001008 QUE001530
OAK-MOR-001009 QUE001531
OAK-MOR-001010 QUE001532
OAK-MOR-001011 QUE001533
OAK-MOR-001012 QUE001534
OAK-MOR-001013 QUE001535
OAK-MOR-001014 QUE001536
OAK-MOR-001015 QUE001537
OAK-MOR-001016 QUE001538
OAK-MOR-001017 QUE001539
OAK-MOR-001018 QUE001540
OAK-MOR-001019 QUE001541
OAK-MOR-001020 QUE001542
OAK-MOR-001021 QUE001543
OAK-MOR-001022 QUE001544
OAK-MOR-001023 QUE001545
OAK-MOR-001024 QUE001546
OAK-MOR-001025 QUE001547
OAK-MOR-001026 QUE001548
OAK-MOR-001027 QUE001549
OAK-MOR-001039 QUE001463
OAK-MOR-001062 QUE001451
OAK-MOR-001063 QUE001452
OAK-MOR-001064 QUE001550
OAK-MOR-001065 QUE001551
OAK-MOR-001066 QUE001552
OAK-MOR-001067 QUE001553
OAK-MOR-001068 QUE001554
OAK-MOR-001069 QUE001555
OAK-MOR-001070 QUE001556
OAK-MOR-001071 QUE001557
OAK-MOR-001072 QUE001388
OAK-MOR-001073 QUE001400
OAK-MOR-001074 QUE001403
OAK-MOR-001075 QUE001406
OAK-MOR-001076 QUE001408
OAK-MOR-001077 QUE001409
OAK-MOR-001078 QUE001410
OAK-MOR-001079 QUE001411
OAK-MOR-001080 QUE001412
OAK-MOR-001081 QUE001419
OAK-MOR-001236 QUE001758
OAK-MOR-001237 QUE001759
OAK-MOR-001237 QUE001759
OAK-MOR-001237 QUE001759
OAK-MOR-001238 QUE001804
OAK-MOR-001241 QUE001814
OAK-MOR-001242 QUE001815
OAK-MOR-001243 QUE001819
OAK-MOR-001244 QUE001839
OAK-MOR-001245 QUE001840
OAK-MOR-001246 QUE001841
OAK-MOR-001247 QUE001862
OAK-MOR-001248 QUE001863
OAK-MOR-001249 QUE001893
OAK-MOR-001250 QUE001894
OAK-MOR-001252 QUE001915
OAK-MOR-001253 QUE001916
OAK-MOR-001254 QUE001918
OAK-MOR-001255 QUE001932
OAK-MOR-001256 QUE001933
OAK-MOR-001257 QUE001783
OAK-MOR-001258 QUE001880
OAK-MOR-001259 QUE001884
OAK-MOR-001260 QUE001907
OAK-MOR-001261 QUE001937
OAK-MOR-001262 QUE001951
OAK-MOR-001263 QUE001963
OAK-MOR-001264 QUE001971
OAK-MOR-001265 QUE001982
OAK-MOR-001266 QUE002057
OAK-MOR-001267 QUE002074
OAK-MOR-001267 QUE002074
OAK-MOR-001268 QUE002075
OAK-MOR-001269 QUE002081
OAK-MOR-001270 QUE002082
OAK-MOR-001271 QUE002085
OAK-MOR-001272 QUE002086
OAK-MOR-001273 QUE002091
OAK-MOR-001274 QUE002098
OAK-MOR-001274 QUE002098
OAK-MOR-001275 QUE002101
OAK-MOR-001276 QUE002102
OAK-MOR-001276 QUE002102
OAK-MOR-001277 QUE002105
OAK-MOR-001277 QUE002105
OAK-MOR-001278 QUE002108
OAK-MOR-001279 QUE002121
OAK-MOR-001279 QUE002121
OAK-MOR-001280 QUE002129
OAK-MOR-001280 QUE002129
OAK-MOR-001281 QUE002130
OAK-MOR-001281 QUE002130
OAK-MOR-001282 QUE002133
OAK-MOR-001283 QUE002133
OAK-MOR-001283 QUE002137
OAK-MOR-001284 QUE002137
OAK-MOR-001284 QUE002138
OAK-MOR-001285 QUE002153
OAK-MOR-001286 QUE002154
OAK-MOR-001287 QUE002155
OAK-MOR-001288 QUE002187
OAK-MOR-001288 QUE002187
OAK-MOR-001289 QUE002188
OAK-MOR-001290 QUE002189
OAK-MOR-001291 QUE002196
OAK-MOR-001292 QUE002208
OAK-MOR-001292 QUE002208
OAK-MOR-001293 QUE002209
OAK-MOR-001294 QUE002210
OAK-MOR-001294 QUE002210
OAK-MOR-001295 QUE002219
OAK-MOR-001296 QUE002247
OAK-MOR-001297 QUE002250
OAK-MOR-001298 QUE002251
OAK-MOR-001299 QUE002252
OAK-MOR-001300 QUE002253
OAK-MOR-001301 QUE002282
OAK-MOR-001302 QUE002283
OAK-MOR-001303 QUE002284
OAK-MOR-001304 QUE002285
OAK-MOR-001305 QUE002295
OAK-MOR-001305 QUE002295
OAK-MOR-001305 QUE002295
OAK-MOR-001306 QUE002302
OAK-MOR-001307 QUE002303
OAK-MOR-001308 QUE002304
OAK-MOR-001308 QUE002304
OAK-MOR-001309 QUE002326
OAK-MOR-001309 QUE002326
OAK-MOR-001309 QUE002326
OAK-MOR-001310 QUE002336
OAK-MOR-001311 QUE002337
OAK-MOR-001312 QUE002355
OAK-MOR-001313 QUE002356
OAK-MOR-001314 QUE002360
OAK-MOR-001315 QUE002361
OAK-MOR-001317 QUE002367
OAK-MOR-001318 QUE002399
OAK-MOR-001319 QUE002400
OAK-MOR-001319 QUE002400
OAK-MOR-001320 QUE002424
OAK-MOR-001321 QUE002436
OAK-MOR-001322 QUE002471
OAK-MOR-001323 QUE002480
OAK-MOR-001324 QUE002481
OAK-MOR-001325 QUE002493
OAK-MOR-001326 QUE002526
OAK-MOR-001327 QUE002527
OAK-MOR-001328 QUE002528
OAK-MOR-001329 QUE002535
OAK-MOR-001330 QUE002536
OAK-MOR-001331 QUE002539
OAK-MOR-001332 QUE002574
OAK-MOR-001333 QUE002579
OAK-MOR-001334 QUE002585
OAK-MOR-001335 QUE002589
OAK-MOR-001336 QUE002363
OAK-MOR-001337 QUE002364
OAK-MOR-001338 QUE002365
OAK-MOR-001339 QUE002366
OAK-MOR-001341 QUE002368
OAK-MOR-001342 QUE002369
OAK-MOR-001343 QUE002370
OAK-MOR-001344 QUE002371
OAK-MOR-001345 QUE002373
OAK-MOR-001346 QUE002374
OAK-MOR-001347 QUE002375
OAK-MOR-001348 QUE001610
OAK-MOR-001349 QUE001611
OAK-MOR-001350 QUE001629
OAK-MOR-001351 QUE001630
OAK-MOR-001352 QUE001728
OAK-MOR-001353 QUE001729
OAK-MOR-001354 QUE001750
OAK-MOR-001355 QUE001764
OAK-MOR-001356 QUE001767
OAK-MOR-001357 QUE001778
OAK-MOR-001358 QUE001780
OAK-MOR-001359 QUE001789
OAK-MOR-001360 QUE001792
OAK-MOR-001361 QUE001796
OAK-MOR-001362 QUE001800
OAK-MOR-001363 QUE001816
OAK-MOR-001364 QUE001817
OAK-MOR-001365 QUE001820
OAK-MOR-001370 QUE001835
OAK-MOR-001371 QUE001846
OAK-MOR-001372 QUE001857
OAK-MOR-001373 QUE001858
OAK-MOR-001374 QUE001860
OAK-MOR-001375 QUE001866
OAK-MOR-001376 QUE001870
OAK-MOR-001377 QUE001871
OAK-MOR-001378 QUE001877
OAK-MOR-001379 QUE001878
OAK-MOR-001380 QUE001882
OAK-MOR-001381 QUE001885
OAK-MOR-001382 QUE001886
OAK-MOR-001383 QUE001898
OAK-MOR-001384 QUE001900
OAK-MOR-001385 QUE001902
OAK-MOR-001386 QUE001904
OAK-MOR-001387 QUE001912
OAK-MOR-001388 QUE001920
OAK-MOR-001389 QUE001922
OAK-MOR-001390 QUE001923
OAK-MOR-001391 QUE001924
OAK-MOR-001392 QUE001925
OAK-MOR-001393 QUE001928
OAK-MOR-001394 QUE001929
OAK-MOR-001395 QUE001930
OAK-MOR-001396 QUE001936
OAK-MOR-001397 QUE001938
OAK-MOR-001398 QUE001940
OAK-MOR-001399 QUE001943
OAK-MOR-001400 QUE001947
OAK-MOR-001401 QUE001955
OAK-MOR-001402 QUE001959
OAK-MOR-001403 QUE001960
OAK-MOR-001404 QUE001969
OAK-MOR-001405 QUE001974
OAK-MOR-001406 QUE001979
OAK-MOR-001407 QUE001980
OAK-MOR-001408 QUE001985
OAK-MOR-001409 QUE002058
OAK-MOR-001410 QUE002059
OAK-MOR-001411 QUE002068
OAK-MOR-001412 QUE002069
OAK-MOR-001413 QUE002072
OAK-MOR-001414 QUE002073
OAK-MOR-001415 QUE002076
OAK-MOR-001416 QUE002083
