,HYB-SEQ-EXTRACT,Hyb-SEQ.subproject,Specimen.CODE,Species,determinationOriginal,Determination_HIST_PIPED,detBy,detDate,latitude_georef,longitude_georef,Georeference_source,Elevation-USETHIS,country-georef,state_province_georef,County_georef,City_georef,Voucher.Imaged,collectors,collectionDate,CollNum,MOR_Acc_Num,MOR_Barcode,habitat,associates,site
OAK-MOR-000688,OAK-MOR-000688,phylo|macrocarpa,QUE000105,Quercus michauxii,Quercus michauxii Nutt.,Quercus michauxii Nutt.,,,36.644722,-89.285,GPS in provenance info,n/a,USA,MO,Mississippi,,https://quercus.myspecies.info/sites/quercus.myspecies.info/files/mor_174516_quercus_michaixii.jpg,"Ken Potenberg, Kathy Matejka",41121,IL-MOR-MH001 ,174516,0058269MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus L-97/89-72 "
OAK-MOR-000354,OAK-MOR-000354,phylo,QUE000106,Quercus pagoda,Quercus pagoda Raf.,Quercus pagoda Raf.,,,38.000455,-87.894178,"Google Earth to Posey County, Indiana",n/a,USA,IN,Posey,,https://quercus.myspecies.info/sites/quercus.myspecies.info/files/mor_174511_quercus_pagoda.jpg,"Marlene Hahn, Bethany Hayward Brown",41008,IL-MOR-MH002_A.B,174528/174511,0058257MOR/0058276MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus N-103/91-44 "
OAK-MOR-000358,OAK-MOR-000358,phylo,QUE000108,Quercus palustris,Quercus palustris Mϋnchh.,Quercus palustris Mϋnchh.,,,40.842163,-91.080078,"Google Earth to Mississippi river in Henderson Co., IL",n/a,USA,IL,Henderson,,http://quercus.lifedesks.org/node/984,"Ken Potenberg, Kathy Matejka, Joan Dorrell",41107,IL-MOR-MH004 ,174523,0058259MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest N-58/78-66 "
OAK-MOR-000392,OAK-MOR-000392,phylo,QUE000126,Quercus robur,Quercus robur L.,Quercus robur L.,,,55.838647,37.600483,Google Earth Moscow Botanical Garden of Academy of Sciences,n/a,Russia,,,,http://quercus.lifedesks.org/node/1028,"Marlene Hahn, Donna J Wetta, Breane G. Budaitis, Becky Ventura",41123,IL-MOR-MH084 ,174567,0059572MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Central & Western Asia: CC-70/59-75 "
OAK-MOR-000498,OAK-MOR-000498,phylo,QUE000127,Quercus rubra,Quercus rubra L.,Quercus rubra L.,,,41.486556,-87.79976,Google Earth to Sauk Lake Forest Preserve,n/a,USA,IL,Cook,,http://quercus.lifedesks.org/node/1012,"Marlene Hahn, Elsa M. Meza, Kathy Stephens",41046,IL-MOR-MH085,174465,0058280MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Appalachia CC-73/85-96 "
OAK-MOR-000076,OAK-MOR-000076,phylo|macrocarpa,QUE000128,Quercus alba,Quercus alba L.,Quercus alba L.,,,41.864917,-86.35075,GPS in provenance info,n/a,USA,MI,Berrien,,http://quercus.lifedesks.org/node/1035,"Marlene Hahn, Breane G. Budaitis, Donna J Wetta",41120,IL-MOR-MH086,174513,0058266MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest O-68/49-28 "
OAK-MOR-000390,OAK-MOR-000390,phylo,QUE000129,Quercus ellipsoidalis,Quercus ellipsoidalis E.J.Hill,Quercus ellipsoidalis E.J.Hill,,,42.447578,-90.057799,Google earth to Apple River Canyon State Park,n/a,USA,IL,Jo Daviess,,http://quercus.lifedesks.org/node/1039,"Marlene Hahn, Breane G. Budaitis, Donna J Wetta",41120,IL-MOR-MH087 ,174547,0058235MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest M-69/61-15 "
OAK-MOR-000391,OAK-MOR-000391,phylo,QUE000130,Quercus imbricaria,Quercus imbricaria Michx.,Quercus imbricaria Michx.,,,38.742718,-88.562463,"Google Earth to Clay Count, IL",n/a,USA,IL,Clay,,http://quercus.lifedesks.org/node/1011,"Marlene Hahn, Donna J Wetta, Breane G. Budaitis",41120,IL-MOR-MH088 ,174464,0058281MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest M-68/68-72 "
OAK-MOR-000142,OAK-MOR-000142,phylo,QUE000131,Quercus coccinea,Quercus coccinea Mϋnchh.,Quercus coccinea Mϋnchh.,A. Hipp,41528,40.428166,-74.394271,"Google earth to middle of Middlesex Co, NJ",n/a,USA,NJ,Middlesex,,http://quercus.lifedesks.org/node/1034,"Ken Potenberg, Gladys Connolly, Kathy Matejka, Joan Dorrell",41097,IL-MOR-MH089 ,174509,0058274MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Quercus:  M-94/30-66 "
OAK-MOR-000342,OAK-MOR-000342,Hyb-SEQ-macrocarpa,QUE000136,Quercus bicolor,Quercus bicolor Willd.,Quercus bicolor Willd.,,,41.740864,-87.860335,"Google earth to Willow Springs, IL",n/a,USA,IL,Cook,,http://quercus.lifedesks.org/node/1022,"Marlene Hahn, Breane G. Budaitis, , Elsa M. Meza",41053,IL-MOR-MH094,174534,0058251MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Midwest: N-58/22-22 "
OAK-MOR-000068,OAK-MOR-000068,phylo,QUE000142,Quercus falcata,Quercus falcata Michx.,Quercus falcata Michx.,A. Hipp,41528,35.162806,-90.7175,GPS in provenance info,n/a,USA,AR,Cross,,http://quercus.lifedesks.org/node/986,"Marlene Hahn, Breane G. Budaitis",41061,IL-MOR-MH100 ,174536,0058246MOR,Arboretum,,"The Morton Arboretum (DuPage County, IL, U.S.A.):Ozark: R-26/17-01  "
OAK-MOR-000537,OAK-MOR-000537,phylo,QUE000159,Quercus turbinella,Quercus turbinella Greene,Quercus turbinella Greene,,,32.15897304,-109.2431153,wild collected- GPS,4607',USA,AZ,,,https://quercus.myspecies.info/sites/quercus.myspecies.info/files/mor_174227_quercus_turbinella_greene.jpg,"Andrew Hipp, Paul Manos, Jeannine Cavender-Bares, Jeanne Romero-Severson, & Beth Fallon",41061,AZ-CH-6,174227,,"Above dried riverbed - calcareous, 282","Arctostapholus, Sideroxylon, Prosopis, Juniperis monospermum, Bouteloua curtipendula, Celtis reticulata, Opuntia spp",Chiracauha Mountains Southwestern Research Station
