# This file was produced by samtools stats (1.17+htslib-1.17) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats --threads 48 merged-files-samtools.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	784209c0	e70ca8aa	ad2d23ce
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	488205874	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	488205874
SN	is sorted:	1
SN	1st fragments:	244102937
SN	last fragments:	244102937
SN	reads mapped:	482809332
SN	reads mapped and paired:	481441732	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	5396542
SN	reads properly paired:	461315588	# proper-pair bit set
SN	reads paired:	488205874	# paired-end technology bit set
SN	reads duplicated:	99473104	# PCR or optical duplicate bit set
SN	reads MQ0:	24758323	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	8420555
SN	supplementary alignments:	0
SN	total length:	83712935461	# ignores clipping
SN	total first fragment length:	45290604946	# ignores clipping
SN	total last fragment length:	38422330515	# ignores clipping
SN	bases mapped:	82967504307	# ignores clipping
SN	bases mapped (cigar):	81409726039	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	14595153639
SN	mismatches:	1630671658	# from NM fields
SN	error rate:	2.003043e-02	# mismatches / bases mapped (cigar)
SN	average length:	171
SN	average first fragment length:	186
SN	average last fragment length:	157
SN	maximum length:	301
SN	maximum first fragment length:	301
SN	maximum last fragment length:	301
SN	average quality:	37.4
SN	insert size average:	501.5
SN	insert size standard deviation:	182.3
SN	inward oriented pairs:	229995695
SN	outward oriented pairs:	2878784
SN	pairs with other orientation:	747723
SN	pairs on different chromosomes:	7098664
SN	percentage of properly paired reads (%):	94.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173058	5	129723	450385	2	35	4857207	49	0	48883	1500757	153760231	913241	82266260	0	4	3091	0	0	0	6	0
FFQ	2	0	0	142425	0	0	0	0	0	0	0	6	3797	2922635	0	0	0	0	0	0	0	0	89736	127	81220	387713	3	32	5443164	24	0	66384	1105459	149471968	739755	83200271	8	59	447867	4	0	0	280	0
FFQ	3	0	0	2	0	0	0	0	0	0	0	9	6098	2300279	0	0	0	0	0	0	0	0	73606	7253	66926	393343	7	79	4636795	60	0	75903	1012722	29576672	608993	83603968	59	362	121734492	204	0	0	5105	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	24	7200	1722425	0	0	0	0	0	0	0	0	56455	273186	54682	375631	80	271	3601781	146	10	79549	914546	11513740	529537	83977711	715	2880	140920128	5195	0	0	67045	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	163	7889	1273987	0	0	0	0	0	0	44	4	48105	522926	47590	363840	628	1632	2509554	503	126	81017	850343	7103418	466656	83902963	12325	36487	144645800	173780	0	0	2053157	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	6506	7499	1214067	0	0	0	0	0	0	12	59	43682	462701	8628	333110	20699	42750	2113499	5420	9118	29314	417588	5205202	34523	1498256	798410	1653294	22820385	74185239	0	0	133192976	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	6715	9350	926331	0	0	0	0	0	0	1	2	43047	539126	8446	326703	21610	41454	1873442	4784	9688	27600	408767	4653394	32011	1468886	790838	1614792	20287635	74533489	0	0	136474826	0
FFQ	8	0	0	1	0	0	0	0	0	0	12	10168	35417	947045	0	0	0	2	0	0	24	18	60006	596808	27719	417119	27786	51857	1898546	4726	13380	38179	493983	4400339	36127	1721581	954483	1773080	19710095	73196778	0	0	137687658	0
FFQ	9	0	0	4	0	0	0	0	0	0	11	10900	81954	876221	0	0	0	2	0	1	33	61	68710	629171	59831	374214	30069	58044	1874879	5029	12671	35874	530308	4248064	44034	1776709	944959	1889282	19469063	72649951	0	0	138432888	0
FFQ	10	0	0	0	0	0	0	0	0	0	15	11428	42587	892017	0	3	0	6	2	1	329	391	70836	670633	33104	397005	31835	60126	1865988	5047	12786	34642	548798	4124678	49386	1800720	943805	1947853	19303715	72398101	0	0	138857100	0
FFQ	11	0	0	1	0	0	0	0	0	0	18	12325	73457	863114	0	2	0	4	4	5	398	574	71728	755208	53193	390934	32883	61741	1890272	5246	13742	37232	557836	4048948	51941	1827913	958205	1977424	19288659	72179240	0	0	138950690	0
FFQ	12	0	0	0	0	0	0	0	0	0	36	18120	69246	1014291	0	8	0	54	21	54	382	598	71861	831093	51100	396148	33543	61244	1936799	6710	13442	37826	553498	3949022	52254	1808677	943317	1988460	19318316	72041316	0	0	138905501	0
FFQ	13	0	0	0	0	0	0	0	0	1	43	13154	111126	841516	0	3	44	3	21	57	806	881	75515	867906	79456	372342	37247	80989	2049808	112250	13703	40745	566552	3875040	57292	1857048	965596	1998465	19325476	71898141	0	0	138861711	0
FFQ	14	0	0	0	0	0	0	0	0	9	394	12682	128459	940030	0	12	87	35	39	109	556	1830	74205	913788	87884	334596	35340	73971	2124263	50276	13357	37789	557493	3918729	60380	1866534	941249	1989692	19629115	72092770	0	0	138217264	0
FFQ	15	0	0	1	0	0	0	0	0	360	634	12253	194532	767435	0	5	187	89	15	64	663	2581	71344	908366	135895	295793	36128	65142	2125725	10697	15210	36392	559536	3934249	59807	1847314	953811	2002259	19675054	72154270	0	0	138237126	0
FFQ	16	0	0	19	0	0	0	0	0	362	712	12712	211681	720465	0	13	228	77	14	97	966	2993	68875	890351	151879	287564	35533	62414	2120044	9120	15889	37297	560449	3813683	60048	1806348	958977	1987491	19531694	72180612	0	0	138574330	0
FFQ	17	0	0	620	0	0	0	0	0	401	715	12855	207872	737731	0	11	238	189	54	173	463	2983	68344	905045	149288	289498	36119	61304	2185302	8681	15094	37408	560223	3770739	59435	1808170	961510	1981687	19536507	72194882	0	0	138509396	0
FFQ	18	0	0	1	0	0	0	0	0	621	1023	12297	204183	738590	1	10	437	167	72	232	449	3173	66907	910343	147367	277085	34880	59625	2230244	9828	14525	38501	546596	3721794	59556	1766581	946813	1957532	19571916	72413102	0	0	138368486	0
