QUE002083,IL-MG604
QUE002324,MI-MG661
QUE002326,MI-MG663
QUE002331,MI-MG668
QUE002335,MI-MG672
QUE002336,MI-MG673
QUE002337,MI-MG674
QUE002338,MI-MG675
QUE002339,MI-MG676
QUE002341,MI-MG678
QUE002342,MI-MG679
QUE002346,MI-MG683
QUE002347,MI-MG684
QUE002351,MI-MG688
QUE002362,MI-MG699
QUE001938,MN-MG494
QUE001940,MN-MG496
QUE001943,MN-MG499
QUE001947,MN-MG503
QUE002424,MN-MG761
QUE002430,MN-MG767
QUE002433,MN-MG770
QUE002436,MN-MG773
QUE002445,MN-MG782
QUE002450,MN-MG787
QUE002453,MN-MG790
QUE002170,MO-MG546
QUE002175,MO-MG551
QUE002176,MO-MG552
QUE002180,MO-MG556
QUE002183,MO-MG559
QUE002187,MO-MG563
QUE002188,MO-MG564
QUE002189,MO-MG565
QUE002193,MO-MG569
QUE002194,MO-MG570
QUE002195,MO-MG571
QUE002196,MO-MG572
QUE002202,MO-MG578
QUE002208,MO-MG584
QUE002209,MO-MG585
QUE002210,MO-MG586
QUE002216,MO-MG592
QUE002219,MO-MG595
QUE002225,MO-MG601
QUE002131,QU__-1030
QUE002156,QU__-1055
QUE002130,QUAL-1029
QUE002138,QUAL-1037
QUE002149,QUAL-1048
QUE002155,QUAL-1054
QUE002157,QUAL-1056
QUE002153,QUBI-1052
QUE002129,QUMAC-1028
QUE002132,QUMAC-1031
QUE002133,QUMAC-1032
QUE002134,QUMAC-1033
QUE002136,QUMAC-1035
QUE002137,QUMAC-1036
QUE002139,QUMAC-1038
QUE002140,QUMAC-1039
QUE002143,QUMAC-1042
QUE002147,QUMAC-1046
QUE002148,QUMAC-1047
QUE002150,QUMAC-1049
QUE002151,QUMAC-1050
QUE002154,QUMAC-1053
QUE002158,QUMAC-1057
QUE002159,QUMAC-1058
QUE002160,QUMAC-1059
QUE001980,WI-MG536
QUE001982,WI-MG538
QUE001985,WI-MG541
QUE001927,AR-MG396
QUE001928,AR-MG397
QUE001792,IA-MG-248
QUE001800,IA-MG-256
QUE001728,IL-MG136
QUE001729,IL-MG137
QUE002085,IN-MG606
QUE002086,IN-MG607
QUE002091,IN-MG612
QUE002092,IN-MG613
QUE002099,IN-MG620
QUE002101,IN-MG622
QUE002102,IN-MG623
QUE002105,IN-MG626
QUE002106,IN-MG627
QUE002107,IN-MG628
QUE002108,IN-MG629
QUE002109,IN-MG630
QUE002114,IN-MG635
QUE002119,IN-MG640
QUE002121,IN-MG642
QUE002124,IN-MG645
QUE002128,IN-MG649
QUE002454,IN-MG791
QUE002455,IN-MG792
QUE002459,IN-MG796
QUE002226,KS-MG406
QUE002229,KS-MG409
QUE002232,KS-MG412
QUE002239,KS-MG419
QUE002240,KS-MG420
QUE002247,KS-MG427
QUE002251,KS-MG431
QUE002252,KS-MG432
QUE002253,KS-MG433
QUE002256,KS-MG436
QUE002261,KS-MG441
QUE002265,KS-MG445
QUE002267,KS-MG447
QUE002268,KS-MG448
QUE002269,KS-MG449
QUE002275,KS-MG455
QUE002282,KS-MG462
QUE002283,KS-MG463
QUE002285,KS-MG465
QUE002290,KS-MG470
QUE002291,KS-MG471
QUE002295,KS-MG475
QUE002299,KS-MG479
QUE002302,KS-MG482
QUE002303,KS-MG483
QUE002304,KS-MG484
QUE002310,KS-MG490
QUE001951,MB-MG507
QUE001955,MB-MG511
QUE001959,MB-MG515
QUE001963,MB-MG519
QUE001969,MB-MG525
QUE001971,MB-MG527
QUE001974,MB-MG530
QUE001979,MB-MG535
QUE002313,MI-MG650
QUE002314,MI-MG651
QUE002315,MI-MG652
QUE002319,MI-MG656
QUE001929,MO-MG398
QUE001930,MO-MG399
QUE001936,MO-MG405
QUE001636,SH-MG108
QUE001638,SH-MG110
QUE001640,SH-MG112
QUE001642,SH-MG114
QUE001663,SH-MG158
QUE001664,SH-MG159
QUE001750,WI-MG221
QUE001778,WI-MG304
QUE002363,WI-MG700
QUE002365,WI-MG702
QUE002366,WI-MG703
QUE002366,WI-MG703
QUE002370,WI-MG707
QUE002375,WI-MG712
QUE002385,WI-MG722
QUE002392,WI-MG729
QUE002393,WI-MG730
QUE002399,WI-MG736
QUE002400,WI-MG737
QUE002404,WI-MG741
QUE002410,WI-MG747
QUE002416,WI-MG753
QUE002422,WI-MG759
QUE001914,AR-MG383
QUE001915,AR-MG384
QUE001916,AR-MG385
QUE001918,AR-MG387
QUE001920,AR-MG389
QUE001922,AR-MG391
QUE001923,AR-MG392
QUE001924,AR-MG393
QUE001925,AR-MG394
QUE002560,BT 134
QUE002074,Chickenbristle 3
QUE002076,Chickenbristle 5
QUE001780,IA-MG-236
QUE001783,IA-MG-239
QUE001804,IA-MG-261
QUE001805,IA-MG-262
QUE001814,IA-MG-269
QUE001815,IA-MG-270
QUE001816,IA-MG-271
QUE001817,IA-MG-272
QUE001819,IA-MG-274
QUE001820,IA-MG-306
QUE001823,IA-MG-309
QUE001824,IA-MG-310
QUE001830,IA-MG-316
QUE002081,IL-MG602
QUE002356,MI-MG693
QUE001857,MO-MG277
QUE001858,MO-MG278
QUE001860,MO-MG280
QUE001833,MO-MG319
QUE001835,MO-MG321
QUE001839,MO-MG325
QUE001840,MO-MG326
QUE001841,MO-MG327
QUE001846,MO-MG332
QUE001933,MO-MG402
