ind_ID,site
QUE000128,BuchananMI
QUE000136,MortonArbIL
QUE000322,GuadalupeTX
QUE001333,GalesburgIL
QUE001334,GalesburgIL
QUE001335,GalesburgIL
QUE001336,GalesburgIL
QUE001337,GalesburgIL
QUE001338,GalesburgIL
QUE001339,GalesburgIL
QUE001340,GalesburgIL
QUE001341,GalesburgIL
QUE001342,GalesburgIL
QUE001343,GalesburgIL
QUE001344,GalesburgIL
QUE001345,GalesburgIL
QUE001346,GalesburgIL
QUE001347,GalesburgIL
QUE001348,GalesburgIL
QUE001349,GalesburgIL
QUE001350,GalesburgIL
QUE001351,GalesburgIL
QUE001352,GalesburgIL
QUE001353,AuroraIL
QUE001354,AuroraIL
QUE001355,AuroraIL
QUE001356,AuroraIL
QUE001357,AuroraIL
QUE001359,AuroraIL
QUE001360,AuroraIL
QUE001361,AuroraIL
QUE001362,GothamWI
QUE001363,GothamWI
QUE001364,GothamWI
QUE001365,GothamWI
QUE001366,GothamWI
QUE001367,GothamWI
QUE001368,GothamWI
QUE001369,GothamWI
QUE001370,GothamWI
QUE001371,GothamWI
QUE001372,GothamWI
QUE001373,GothamWI
QUE001374,GothamWI
QUE001375,GothamWI
QUE001376,GothamWI
QUE001377,GothamWI
QUE001378,GothamWI
QUE001379,GothamWI
QUE001380,GothamWI
QUE001381,GothamWI
QUE001382,GothamWI
QUE001383,GothamWI
QUE001384,GothamWI
QUE001385,GothamWI
QUE001386,GothamWI
QUE001387,GothamWI
QUE001388,GothamWI
QUE001389,GothamWI
QUE001390,GothamWI
QUE001391,GothamWI
QUE001392,GothamWI
QUE001393,GothamWI
QUE001400,BienvilleMS
QUE001403,BienvilleMS
QUE001406,BienvilleMS
QUE001408,BienvilleMS
QUE001409,BienvilleMS
QUE001410,BienvilleMS
QUE001411,BienvilleMS
QUE001412,BienvilleMS
QUE001419,CalvinLA
QUE001444,BuescherTX
QUE001451,BuescherTX
QUE001452,BuescherTX
QUE001463,LittleRockAR
QUE001483,CranberrySloughIL
QUE001484,CranberrySloughIL
QUE001485,CranberrySloughIL
QUE001486,CranberrySloughIL
QUE001487,CranberrySloughIL
QUE001488,CranberrySloughIL
QUE001489,CranberrySloughIL
QUE001526,CranberrySloughIL
QUE001527,CranberrySloughIL
QUE001528,CranberrySloughIL
QUE001529,CranberrySloughIL
QUE001530,CranberrySloughIL
QUE001531,CranberrySloughIL
QUE001532,CranberrySloughIL
QUE001533,CranberrySloughIL
QUE001534,CranberrySloughIL
QUE001535,CranberrySloughIL
QUE001536,CranberrySloughIL
QUE001537,RyersonWoodsIL
QUE001538,RyersonWoodsIL
QUE001539,RyersonWoodsIL
QUE001540,RyersonWoodsIL
QUE001541,RyersonWoodsIL
QUE001542,RyersonWoodsIL
QUE001543,RyersonWoodsIL
QUE001544,RyersonWoodsIL
QUE001545,RyersonWoodsIL
QUE001546,RyersonWoodsIL
QUE001547,RyersonWoodsIL
QUE001548,RyersonWoodsIL
QUE001549,RyersonWoodsIL
QUE001550,RyersonWoodsIL
QUE001551,RyersonWoodsIL
QUE001552,RyersonWoodsIL
QUE001553,RyersonWoodsIL
QUE001554,RyersonWoodsIL
QUE001555,RyersonWoodsIL
QUE001556,RyersonWoodsIL
QUE001557,RyersonWoodsIL
QUE001610,MortonArbIL
QUE001611,MortonArbIL
QUE001629,MortonArbIL
QUE001630,MortonArbIL
QUE001632,NA
QUE001633,NA
QUE001634,NA
QUE001635,NA
QUE001636,NA
QUE001637,NewBerlinIL
QUE001638,NA
QUE001640,NA
QUE001642,NA
QUE001643,NA
QUE001644,NA
QUE001645,NA
QUE001646,NA
QUE001647,NA
QUE001648,NA
QUE001649,NA
QUE001650,NA
QUE001651,NA
QUE001652,NA
QUE001653,NA
QUE001654,NA
QUE001655,NA
QUE001656,NA
QUE001658,NA
QUE001660,NA
QUE001661,NA
QUE001662,NA
QUE001663,NA
QUE001664,NA
QUE001665,NA
QUE001666,NA
QUE001667,NA
QUE001668,NA
QUE001669,NA
QUE001670,NA
QUE001671,NA
QUE001672,NA
QUE001673,NA
QUE001675,NA
QUE001676,NA
QUE001677,NA
QUE001678,NA
QUE001679,NA
QUE001680,NA
QUE001682,NA
QUE001683,NA
QUE001684,NA
QUE001686,NA
QUE001687,NA
QUE001688,NA
QUE001689,NA
QUE001690,NA
QUE001691,NA
QUE001692,NA
QUE001693,NA
QUE001694,NA
QUE001695,NA
QUE001697,NA
QUE001700,NA
QUE001701,NA
QUE001702,NA
QUE001703,NA
QUE001705,NA
QUE001706,NA
QUE001708,NA
QUE001709,NA
QUE001710,NA
QUE001711,NA
QUE001712,NA
QUE001713,NA
QUE001714,NA
QUE001715,NA
QUE001716,NA
QUE001719,NA
QUE001720,NA
QUE001721,StarhillIL
QUE001723,StarhillIL
QUE001724,NA
QUE001725,NA
QUE001728,MortonArbIL
QUE001729,MortonArbIL
QUE001750,PleasantValleyWI
QUE001758,PleasantValleyWI
QUE001759,PleasantValleyWI
QUE001764,PleasantValleyWI
QUE001767,PleasantValleyWI
QUE001778,PleasantValleyWI
QUE001780,CedarRapidsIA
QUE001783,CedarRapidsIA
QUE001789,CedarRapidsIA
QUE001792,AmesIA
QUE001796,AmesIA
QUE001800,AmesIA
QUE001804,AmesIA
QUE001814,BonaparteIA
QUE001815,BonaparteIA
QUE001816,BonaparteIA
QUE001817,BonaparteIA
QUE001819,BonaparteIA
QUE001820,AmesIA
QUE001835,HaHaTonkaMO
QUE001839,HaHaTonkaMO
QUE001840,HaHaTonkaMO
QUE001841,HaHaTonkaMO
QUE001846,HaHaTonkaMO
QUE001857,HaHaTonkaMO
QUE001858,HaHaTonkaMO
QUE001860,HaHaTonkaMO
QUE001862,PawhuskaOK
QUE001863,PawhuskaOK
QUE001866,PawhuskaOK
QUE001870,PawhuskaOK
QUE001871,PawhuskaOK
QUE001877,PawhuskaOK
QUE001878,TulsaOK
QUE001880,TulsaOK
QUE001882,TulsaOK
QUE001884,TulsaOK
QUE001885,TulsaOK
QUE001886,HintonOK
QUE001893,HintonOK
QUE001894,HintonOK
QUE001898,HintonOK
QUE001900,HintonOK
QUE001902,HintonOK
QUE001904,NormanOK
QUE001907,NormanOK
QUE001912,NormanOK
QUE001915,LittleRockAR
QUE001916,LittleRockAR
QUE001918,LittleRockAR
QUE001920,LittleRockAR
QUE001922,LittleRockAR
QUE001923,LittleRockAR
QUE001924,LittleRockAR
QUE001925,LittleRockAR
QUE001927,LittleRockAR
QUE001928,LittleRockAR
QUE001929,EminenceMO
QUE001930,EminenceMO
QUE001932,EminenceMO
QUE001933,EminenceMO
QUE001936,EminenceMO
QUE001937,WinonaMN
QUE001938,WinonaMN
QUE001940,WinonaMN
QUE001943,WinonaMN
QUE001947,WinonaMN
QUE001951,WhiteshellMB
QUE001955,WhiteshellMB
QUE001959,WhiteshellMB
QUE001960,SpruceWoodsMB
QUE001963,SpruceWoodsMB
QUE001969,SpruceWoodsMB
QUE001971,AssiniboineMB
QUE001974,AssiniboineMB
QUE001979,AssiniboineMB
QUE001980,RoundLakeWI
QUE001982,RoundLakeWI
QUE001985,RoundLakeWI
QUE002057,MinookaKS
QUE002058,MinookaKS
QUE002059,MinookaKS
QUE002068,SalinaKS
QUE002069,SalinaKS
QUE002072,ChickenbristleIL
QUE002073,ChickenbristleIL
QUE002074,ChickenbristleIL
QUE002075,ChickenbristleIL
QUE002076,ChickenbristleIL
QUE002081,ShawneeIL
QUE002082,ShawneeIL
QUE002083,ShawneeIL
QUE002084,ShawneeIL
QUE002085,SpringMillIN
QUE002086,SpringMillIN
QUE002087,SpringMillIN
QUE002091,SpringMillIN
QUE002092,SpringMillIN
QUE002096,SpringMillIN
QUE002098,SpringMillIN
QUE002099,TaylorIN
QUE002101,TaylorIN
QUE002102,TaylorIN
QUE002103,TaylorIN
QUE002105,TaylorIN
QUE002106,TaylorIN
QUE002107,TaylorIN
QUE002108,TaylorIN
QUE002109,TaylorIN
QUE002110,HobartIN
QUE002114,HobartIN
QUE002119,HobartIN
QUE002121,DunesIN
QUE002124,DunesIN
QUE002128,DunesIN
QUE002129,LitchfieldCT
QUE002130,LitchfieldCT
QUE002132,BerkshireMA
QUE002133,BerkshireMA
QUE002134,BenningtonVT
QUE002135,BenningtonVT
QUE002136,BenningtonVT
QUE002137,RutlandVT
QUE002138,RutlandVT
QUE002139,RutlandVT
QUE002140,RutlandVT
QUE002141,AddisonVT
QUE002143,AddisonVT
QUE002147,AddisonVT
QUE002148,FerrisburghVT
QUE002149,FerrisburghVT
QUE002150,FerrisburghVT
QUE002151,FerrisburghVT
QUE002153,BurlingtonVT
QUE002154,BurlingtonVT
QUE002155,BurlingtonVT
QUE002157,BurlingtonVT
QUE002158,BurlingtonVT
QUE002159,BurlingtonVT
QUE002160,GrandIsleVT
QUE002161,GrandIsleVT
QUE002164,GrandIsleVT
QUE002166,ShawMO
QUE002170,ShawMO
QUE002175,ShawMO
QUE002176,EurekaMO
QUE002180,EurekaMO
QUE002183,EurekaMO
QUE002187,EurekaMO
QUE002188,EurekaMO
QUE002189,EurekaMO
QUE002193,EurekaMO
QUE002194,SullivanMO
QUE002195,SullivanMO
QUE002196,SullivanMO
QUE002202,SullivanMO
QUE002208,SullivanMO
QUE002209,SullivanMO
QUE002210,SullivanMO
QUE002216,SullivanMO
QUE002219,SullivanMO
QUE002225,SullivanMO
QUE002226,ShawneeMissionKS
QUE002229,ShawneeMissionKS
QUE002232,ShawneeMissionKS
QUE002239,ShawneeMissionKS
QUE002240,ShawneeMissionKS
QUE002247,ShawneeMissionKS
QUE002250,ShawneeMissionKS
QUE002251,ShawneeMissionKS
QUE002252,ShawneeMissionKS
QUE002253,ShawneeMissionKS
QUE002256,ShawneeMissionKS
QUE002261,ShawneeMissionKS
QUE002265,ShawneeMissionKS
QUE002267,BaldwinKS
QUE002268,BaldwinKS
QUE002269,BaldwinKS
QUE002275,BaldwinKS
QUE002282,BaldwinKS
QUE002283,BaldwinKS
QUE002284,BaldwinKS
QUE002285,BaldwinKS
QUE002290,BaldwinKS
QUE002291,BaldwinKS
QUE002295,KonzaKS
QUE002299,KonzaKS
QUE002302,KonzaKS
QUE002303,KonzaKS
QUE002304,KonzaKS
