"","mukey","surf_texture","min_surf_texture"
"1",106737,"sicl","sicl"
"2",160670,"fs","fs"
"3",164707,"l","l"
"4",165348,"s","s"
"5",168542,"sil","sil"
"6",168593,"sil","sil"
"7",169076,"sil","sil"
"8",169080,"sicl","sicl"
"9",169094,"sicl","sicl"
"10",169899,"sicl","sicl"
"11",183392,"sil","sil"
"12",183393,"sil","sil"
"13",183395,"sicl","sicl"
"14",183402,"sil","sil"
"15",183423,"sil","sil"
"16",183424,"sil","sil"
"17",186292,"ls","ls"
"18",186293,"ls","ls"
"19",186526,"ls","ls"
"20",186541,"fs","fs"
"21",186545,"fs","fs"
"22",186745,"ls","ls"
"23",186746,"ls","ls"
"24",186749,"muck","sil"
"25",186759,"ls","ls"
"26",191650,"l","l"
"27",191668,"l","l"
"28",191687,"sl","sl"
"29",198805,"sicl","sicl"
"30",198818,"sil","sil"
"31",199539,"sic","sic"
"32",200200,"sil","sil"
"33",272444,"sil","sil"
"34",276600,"gr-fsl","gr-fsl"
"35",279234,"sil","sil"
"36",279244,"sicl","sicl"
"37",279245,"sicl","sicl"
"38",281273,"c","c"
"39",281287,"muck","sil"
"40",281316,"c","c"
"41",281409,"mpm","ls"
"42",281687,"fsl","fsl"
"43",281712,"fsl","fsl"
"44",281733,"sil","sil"
"45",281761,"c","c"
"46",282264,"muck","ls"
"47",282441,"gr-fsl","gr-fsl"
"48",285938,"sil","sil"
"49",285946,"muck","grv-lcos"
"50",381887,"fsl","fsl"
"51",381905,"fsl","fsl"
"52",382099,"sic","sic"
"53",382161,"fsl","fsl"
"54",393399,"gr-fsl","gr-fsl"
"55",395967,"fs","fs"
"56",396888,"sil","sil"
"57",398415,"fs","fs"
"58",398959,"l","l"
"59",398973,"l","l"
"60",400425,"l","l"
"61",400433,"cl","cl"
"62",400464,"l","l"
"63",400470,"l","l"
"64",411278,"fsl","fsl"
"65",411285,"l","l"
"66",411320,"l","l"
"67",413086,"l","l"
"68",413090,"sil","sil"
"69",413152,"l","l"
"70",424561,"sil","sil"
"71",424571,"sil","sil"
"72",424708,"sil","sil"
"73",425812,"l","l"
"74",425817,"l","l"
"75",425860,"sil","sil"
"76",425907,"sil","sil"
"77",428086,"fsl","fsl"
"78",429016,"sil","sil"
"79",429045,"sil","sil"
"80",429076,"sil","sil"
"81",429660,"l","l"
"82",565498,"sicl","sicl"
"83",566179,"gr-fsl","gr-fsl"
"84",566193,"c","c"
"85",572317,"gr-sil","gr-sil"
"86",623453,"st-sil","st-sil"
"87",623461,"sil","sil"
"88",623462,"sil","sil"
"89",625371,"sl","sl"
"90",626794,"mpm","sl"
"91",634362,"sicl","sicl"
"92",680863,"sil","sil"
"93",680876,"sil","sil"
"94",680952,"sil","sil"
"95",680953,"sil","sil"
"96",680984,"sil","sil"
"97",753482,"sil","sil"
"98",753489,"sil","sil"
"99",753505,"sl","sl"
"100",753580,"sl","sl"
"101",753584,"sil","sil"
"102",763030,"sil","sil"
"103",766065,"sicl","sicl"
"104",766075,"sil","sil"
"105",777731,"sil","sil"
"106",777732,"sil","sil"
"107",777737,"sil","sil"
"108",777743,"l","l"
"109",868745,"sil","sil"
"110",1150981,"sil","sil"
"111",1155385,"fsl","fsl"
"112",1155388,"vfsl","vfsl"
"113",1382182,"sil","sil"
"114",1399845,"sil","sil"
"115",1468815,"sil","sil"
"116",1468827,"l","l"
"117",1468847,"l","l"
"118",1472299,"sicl","sicl"
"119",1472320,"sicl","sicl"
"120",1486923,"sil","sil"
"121",1541809,"sil","sil"
"122",1651539,"sil","sil"
"123",1652078,"sil","sil"
"124",1677198,"sil","sil"
"125",1677280,"sl","sl"
"126",1725959,"sil","sil"
"127",2108701,"sil","sil"
"128",2108716,"sil","sil"
"129",2108717,"sil","sil"
"130",2108718,"sil","sil"
"131",2108721,"sil","sil"
"132",2108725,"sil","sil"
"133",2108731,"sicl","sicl"
"134",2108738,"sil","sil"
"135",2108755,"sicl","sicl"
"136",2108767,"fsl","fsl"
"137",2375836,"gr-l","gr-l"
"138",2431379,"sil","sil"
"139",2499062,"gr-sl","gr-sl"
"140",2501325,"grx-cos","grx-cos"
"141",2501377,"mpm","sl"
"142",2501585,"sil","sil"
"143",2501629,"spm","grv-sil"
"144",2501760,"gr-sil","gr-sil"
"145",2504291,"sil","sil"
"146",2504320,"muck","sil"
"147",2532847,"sil","sil"
"148",2533532,"sil","sil"
"149",2533925,"gr-sil","gr-sil"
"150",2534519,"grv-sil","grv-sil"
"151",2536161,"sil","sil"
"152",2561807,"cb-sil","cb-sil"
"153",2561809,"sl","sl"
"154",2567855,"sil","sil"
"155",2586534,"spm","gr-l"
"156",2606448,"l","l"
"157",2606465,"sicl","sicl"
"158",2668810,"sic","sic"
"159",2733259,"sil","sil"
"160",2745688,"l","l"
"161",2800480,"l","l"
"162",2809845,"sil","sil"
"163",2809846,"sl","sl"
"164",2834933,"l","l"
"165",2835194,"cl","cl"
"166",2916702,"l","l"
"167",3056115,"sil","sil"
"168",3056117,"cl","cl"
