mukey,ind_ID,lat,long,ffd,areasymbol,musym,muname,caco3_r,cec7_r,ec_r,ecec_r,gypsum_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,lep_r,om_r,ksat_r,awc_r,pondfreqcl_dc,flodfreqcl_dc,drclassdcd,aws0100wta,surf_texture,min_surf_texture,total_aws,avg_soildepth
106737,QUE001885,36.21812,-95.90014,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001880,36.2204,-95.89845,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001884,36.21813,-95.89998,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001882,36.22064,-95.89876,190,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
106737,QUE001878,36.2107,-95.89476,191,OK143,53,Wynona silty clay loam; 0 to 1 percent slopes; occasionally flooded,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19,None,Occasional,Somewhat poorly drained,18.64,sicl,sicl,36.39,200
160670,QUE002128,41.65947,-87.04994,158,IN127,OaC,Oakville fine sand; 4 to 12 percent slopes,0,4.15,0,NA,0,6.04,2.52,94.24,3.24,1.53,1.5,0.43,91.74,0.07,None,None,Well drained,7.3,fs,fs,10.42,152
160670,QUE002124,41.65955,-87.06218,158,IN127,OaC,Oakville fine sand; 4 to 12 percent slopes,0,4.15,0,NA,0,6.04,2.52,94.24,3.24,1.53,1.5,0.43,91.74,0.07,None,None,Well drained,7.3,fs,fs,10.42,152
160670,QUE002121,41.65738,-87.06045,158,IN127,OaC,Oakville fine sand; 4 to 12 percent slopes,0,4.15,0,NA,0,6.04,2.52,94.24,3.24,1.53,1.5,0.43,91.74,0.07,None,None,Well drained,7.3,fs,fs,10.42,152
164707,QUE002454,41.08874,-85.12054,148,IN003,McB,Martinsville loam; 2 to 6 percent slopes,0,11.87,0,10.37,0,6.2,22.94,49.91,27.15,1.49,2.3,0.56,9.17,0.18,None,None,Well drained,17.56,l,l,38.71,203
164707,QUE002459,41.08937,-85.11921,148,IN003,McB,Martinsville loam; 2 to 6 percent slopes,0,11.87,0,10.37,0,6.2,22.94,49.91,27.15,1.49,2.3,0.56,9.17,0.18,None,None,Well drained,17.56,l,l,38.71,203
