"","ffd","ind_ID"
"1",136,"QUE000128"
"2",156,"QUE000136"
"3",192,"QUE000322"
"4",151,"QUE001333"
"5",151,"QUE001334"
"6",151,"QUE001335"
"7",151,"QUE001336"
"8",151,"QUE001337"
"9",151,"QUE001338"
"10",151,"QUE001339"
"11",151,"QUE001340"
"12",151,"QUE001341"
"13",151,"QUE001342"
"14",151,"QUE001343"
"15",151,"QUE001344"
"16",151,"QUE001345"
"17",151,"QUE001346"
"18",151,"QUE001347"
"19",151,"QUE001348"
"20",151,"QUE001349"
"21",151,"QUE001350"
"22",151,"QUE001351"
"23",151,"QUE001352"
"24",143,"QUE001353"
"25",143,"QUE001354"
"26",143,"QUE001355"
"27",143,"QUE001356"
"28",143,"QUE001357"
"29",141,"QUE001359"
"30",143,"QUE001360"
"31",143,"QUE001361"
"32",131,"QUE001362"
"33",131,"QUE001363"
"34",131,"QUE001364"
"35",131,"QUE001365"
"36",131,"QUE001366"
"37",131,"QUE001367"
"38",131,"QUE001368"
"39",131,"QUE001369"
"40",131,"QUE001370"
"41",131,"QUE001371"
"42",131,"QUE001372"
"43",131,"QUE001373"
"44",131,"QUE001374"
"45",131,"QUE001375"
"46",131,"QUE001376"
"47",131,"QUE001377"
"48",131,"QUE001378"
"49",131,"QUE001384"
"50",131,"QUE001385"
"51",131,"QUE001386"
"52",131,"QUE001387"
"53",131,"QUE001388"
"54",131,"QUE001389"
"55",131,"QUE001390"
"56",131,"QUE001391"
"57",131,"QUE001392"
"58",131,"QUE001393"
"59",201,"QUE001400"
"60",201,"QUE001403"
"61",201,"QUE001406"
"62",201,"QUE001408"
"63",201,"QUE001409"
"64",201,"QUE001410"
"65",201,"QUE001411"
"66",201,"QUE001412"
"67",213,"QUE001419"
"68",221,"QUE001444"
"69",221,"QUE001451"
"70",221,"QUE001452"
"71",198,"QUE001463"
"72",154,"QUE001483"
"73",NA,"QUE001484"
"74",NA,"QUE001485"
"75",154,"QUE001486"
"76",154,"QUE001487"
"77",154,"QUE001488"
"78",154,"QUE001489"
"79",154,"QUE001526"
"80",154,"QUE001527"
"81",154,"QUE001528"
"82",154,"QUE001529"
"83",154,"QUE001530"
"84",154,"QUE001531"
"85",154,"QUE001532"
"86",154,"QUE001533"
"87",154,"QUE001534"
"88",154,"QUE001535"
"89",154,"QUE001536"
"90",147,"QUE001537"
"91",147,"QUE001538"
"92",147,"QUE001539"
"93",147,"QUE001540"
"94",147,"QUE001541"
"95",147,"QUE001542"
"96",147,"QUE001543"
"97",147,"QUE001544"
"98",147,"QUE001545"
"99",147,"QUE001546"
"100",147,"QUE001547"
"101",147,"QUE001548"
"102",147,"QUE001549"
"103",149,"QUE001550"
"104",149,"QUE001551"
"105",149,"QUE001552"
"106",153,"QUE001553"
"107",149,"QUE001554"
"108",149,"QUE001555"
"109",149,"QUE001556"
"110",147,"QUE001557"
"111",143,"QUE001610"
"112",143,"QUE001611"
