"","mukey","total_aws"
"1","106737",36.39
"2","160670",10.42
"3","164707",38.71
"4","165348",13.38
"5","168542",18.52
"6","168593",25.6
"7","169076",22.11
"8","169080",18.44
"9","169094",23.33
"10","169899",27.92
"11","183392",17.19
"12","183393",17.19
"13","183395",28.73
"14","183402",19.46
"15","183423",17.84
"16","183424",18.38
"17","186292",17.5
"18","186293",17.37
"19","186526",27.95
"20","186541",12.18
"21","186545",16.37
"22","186745",14.16
"23","186746",13.9
"24","186749",55.08
"25","186759",13.4
"26","191650",26.01
"27","191668",17.86
"28","191687",13.75
"29","198805",28.59
"30","198818",38.12
"31","199539",24.36
"32","200200",18.99
"33","272444",18.67
"34","276600",7.57
"35","279234",8.17
"36","279244",17.32
"37","279245",17.32
"38","281273",17.75
"39","281287",54.22
"40","281316",16.46
"41","281409",10.9
"42","281687",23.65
"43","281712",23.63
"44","281733",24.85
"45","281761",16.32
"46","282264",62.3
"47","282441",8.4
"48","285938",27.27
"49","285946",42.08
"50","381887",23.89
"51","381905",26.18
"52","382099",30.21
"53","382161",21.84
"54","393399",28.44
"55","395967",10.01
"56","396888",18
"57","398415",15.27
"58","398959",34.91
"59","398973",18.99
"60","400425",19.35
"61","400433",26.56
"62","400464",56.36
"63","400470",14.23
"64","411278",27.57
"65","411285",29.73
"66","411320",35.87
"67","413086",30.17
"68","413090",30.86
"69","413152",30.77
"70","424561",14.93
"71","424571",24.57
"72","424708",7.05
"73","425812",17.04
"74","425817",13.12
"75","425860",29.32
"76","425907",36.94
"77","428086",18.02
"78","429016",20.99
"79","429045",40.46
"80","429076",18.34
"81","429660",34.91
"82","565498",33.34
"83","566179",9.11
"84","566193",22.95
"85","572317",9.29
"86","623453",10.67
"87","623461",38.98
"88","623462",38.76
"89","625371",20.55
"90","626794",17.58
"91","634362",33.01
"92","680863",38.86
"93","680876",37.91
"94","680952",30.84
"95","680953",30.16
"96","680984",38.18
"97","753482",30.75
"98","753489",21.46
"99","753505",6.09
"100","753580",29.26
"101","753584",41.8
"102","763030",14.86
"103","766065",17.13
"104","766075",8.83
"105","777731",48.57
"106","777732",36.44
"107","777737",29.9
"108","777743",20.78
"109","868745",17.35
"110","1150981",42.42
"111","1155385",11.18
"112","1155388",10.05
"113","1382182",32.16
"114","1399845",25.04
"115","1468815",30.5
"116","1468827",11.58
"117","1468847",11.77
"118","1472299",40.55
"119","1472320",30.56
"120","1486923",30.67
"121","1541809",12.06
"122","1651539",27.09
"123","1652078",11.52
"124","1677198",25.9
"125","1677280",8.54
"126","1725959",40.16
"127","2108701",18.67
"128","2108716",18.52
"129","2108717",19.35
"130","2108718",17.84
"131","2108721",19.98
"132","2108725",18.85
"133","2108731",20.46
"134","2108738",17.19
"135","2108755",24.86
"136","2108767",18.03
"137","2375836",12.05
"138","2431379",37.91
"139","2499062",6.83
"140","2501325",2
"141","2501377",23.31
"142","2501585",17.43
"143","2501629",15.64
"144","2501760",16.15
"145","2504291",34.39
"146","2504320",49.08
"147","2532847",38.36
"148","2533532",38.45
"149","2533925",18.03
"150","2534519",11.67
"151","2536161",18.18
"152","2561807",16.9
"153","2561809",9.12
"154","2567855",20.78
"155","2586534",18.77
"156","2606448",31.52
"157","2606465",35.68
"158","2668810",10.42
"159","2733259",19.84
"160","2745688",20.72
"161","2800480",37.04
"162","2809845",11.3
"163","2809846",13.34
"164","2834933",35.86
"165","2835194",36.98
"166","2916702",36
"167","3056115",15.09
"168","3056117",14
