"","mukey","avg_soildepth"
"1","106737",200
"2","160670",152
"3","164707",203
"4","165348",203
"5","168593",200
"6","169076",152
"7","169080",152
"8","169094",203
"9","169899",200
"10","183395",165
"11","183423",152
"12","186292",203
"13","186293",203
"14","186526",203
"15","186541",203
"16","186545",203
"17","186745",152
"18","186746",152
"19","186749",203
"20","186759",152
"21","191650",152
"22","191687",152
"23","198805",152
"24","198818",165
"25","199539",203
"26","200200",152
"27","276600",163
"28","279244",165
"29","279245",165
"30","281273",157
"31","281287",160
"32","281316",165
"33","281409",165
"34","281687",165
"35","281712",165
"36","281733",158
"37","281761",165
"38","282264",152
"39","282441",152
"40","285938",165
"41","285946",174
"42","381887",177
"43","381905",183
"44","382099",152
"45","382161",163
"46","393399",203
"47","395967",152
"48","396888",152
"49","398415",203
"50","398959",200
"51","398973",152
"52","400425",152
"53","400433",200
"54","400464",152
"55","400470",152
"56","411278",152
"57","411285",152
"58","411320",200
"59","413090",203
"60","413152",200
"61","424561",1
"62","424571",1
"63","424708",203
"64","425812",200
"65","425817",152
"66","425860",152
"67","425907",152
"68","429016",152
"69","429045",200
"70","429076",152
"71","429660",200
"72","565498",198
"73","566179",1
"74","566193",153
"75","572317",1
"76","623453",122
"77","623461",200
"78","623462",200
"79","625371",200
"80","626794",200
"81","634362",152
"82","680863",200
"83","680876",200
"84","680952",152
"85","680953",152
"86","680984",200
"87","753482",200
"88","753580",152
"89","753584",200
"90","763030",190
"91","766065",129
"92","777731",200
"93","777732",163
"94","777737",152
"95","777743",200
"96","1150981",200
"97","1155385",1
"98","1155388",1
"99","1382182",200
"100","1468815",152
"101","1468827",40
"102","1472299",200
"103","1472320",200
"104","1486923",152
"105","1651539",203
"106","1652078",152
"107","1677198",152
"108","1677280",152
"109","1725959",203
"110","2108701",152
"111","2108725",152
"112","2108731",152
"113","2108755",152
"114","2108767",152
"115","2431379",183
"116","2499062",157
"117","2501377",103
"118","2501585",1
"119","2501629",200
"120","2501760",200
"121","2504291",200
"122","2504320",152
"123","2532847",200
"124","2533532",200
"125","2533925",200
"126","2534519",1
"127","2561807",169
"128","2586534",155
"129","2606448",200
"130","2606465",200
"131","2668810",1
"132","2733259",1
"133","2745688",107
"134","2800480",200
"135","2809845",1
"136","2809846",203
"137","2834933",200
"138","2835194",200
"139","2916702",200
"140","3056117",200
