"","mukey","surf_texture","min_surf_texture"
"1",106737,"sicl","sicl"
"2",160670,"fs","fs"
"3",164707,"l","l"
"4",165348,"s","s"
"5",166414,"sicl","sicl"
"6",168542,"sil","sil"
"7",168593,"sil","sil"
"8",169076,"sil","sil"
"9",169080,"sicl","sicl"
"10",169094,"sicl","sicl"
"11",169899,"sicl","sicl"
"12",183392,"sil","sil"
"13",183393,"sil","sil"
"14",183395,"sicl","sicl"
"15",183402,"sil","sil"
"16",183423,"sil","sil"
"17",183424,"sil","sil"
"18",186292,"ls","ls"
"19",186293,"ls","ls"
"20",186526,"ls","ls"
"21",186541,"fs","fs"
"22",186545,"fs","fs"
"23",186745,"ls","ls"
"24",186746,"ls","ls"
"25",186749,"muck","sil"
"26",186759,"ls","ls"
"27",191650,"l","l"
"28",191668,"l","l"
"29",191687,"sl","sl"
"30",198805,"sicl","sicl"
"31",198818,NA,NA
"32",199539,"sic","sic"
"33",272444,"sil","sil"
"34",276600,"gr-fsl","gr-fsl"
"35",279234,"sil","sil"
"36",279244,"sicl","sicl"
"37",279245,"sicl","sicl"
"38",281273,"c","c"
"39",281287,"muck","sil"
"40",281316,"c","c"
"41",281409,"mpm","ls"
"42",281687,"fsl","fsl"
"43",281712,"fsl","fsl"
"44",281733,"sil","sil"
"45",281761,"c","c"
"46",282264,"muck","ls"
"47",282441,"gr-fsl","gr-fsl"
"48",285938,"sil","sil"
"49",285946,"muck","grv-lcos"
"50",381887,"fsl","fsl"
"51",381905,"fsl","fsl"
"52",382099,"sic","sic"
"53",382161,"fsl","fsl"
"54",393399,"gr-fsl","gr-fsl"
"55",395967,"fs","fs"
"56",396888,"sil","sil"
"57",398415,"fs","fs"
"58",398959,"l","l"
"59",398973,"l","l"
"60",400425,"l","l"
"61",400433,"cl","cl"
"62",400464,"l","l"
"63",400470,"l","l"
"64",411278,"fsl","fsl"
"65",411285,"l","l"
"66",411320,"l","l"
"67",413086,"l","l"
"68",413090,"sil","sil"
"69",413152,"l","l"
"70",424112,"l","l"
"71",424561,"sil","sil"
"72",424571,"sil","sil"
"73",424708,"sil","sil"
"74",425812,"l","l"
"75",425817,"l","l"
"76",425860,"sil","sil"
"77",425907,"sil","sil"
"78",428086,"fsl","fsl"
"79",429016,"sil","sil"
"80",429045,"sil","sil"
"81",429076,"sil","sil"
"82",429660,"l","l"
"83",565498,"sicl","sicl"
"84",566179,"gr-fsl","gr-fsl"
"85",566193,"c","c"
"86",572317,"gr-sil","gr-sil"
"87",623453,"st-sil","st-sil"
"88",623461,"sil","sil"
"89",623462,"sil","sil"
"90",625371,"sl","sl"
"91",626794,"mpm","sl"
"92",634362,"sicl","sicl"
"93",680863,"sil","sil"
"94",680876,"sil","sil"
"95",680952,"sil","sil"
"96",680953,"sil","sil"
"97",680984,"sil","sil"
"98",753482,"sil","sil"
"99",753489,"sil","sil"
"100",753505,"sl","sl"
"101",753580,"sl","sl"
"102",753584,"sil","sil"
"103",763030,"sil","sil"
"104",766065,"sicl","sicl"
"105",766075,"sil","sil"
"106",777731,"sil","sil"
"107",777732,"sil","sil"
"108",777737,"sil","sil"
"109",777743,"l","l"
"110",868745,NA,NA
"111",1150981,"sil","sil"
"112",1155385,"fsl","fsl"
"113",1155388,"vfsl","vfsl"
"114",1382182,"sil","sil"
"115",1399845,"sil","sil"
"116",1468815,"sil","sil"
"117",1468827,"l","l"
"118",1468847,"l","l"
"119",1472299,"sicl","sicl"
"120",1472320,"sicl","sicl"
"121",1486923,"sil","sil"
"122",1541809,"sil","sil"
"123",1651539,"sil","sil"
"124",1652078,"sil","sil"
"125",1677198,"sil","sil"
"126",1677280,"sl","sl"
"127",1725959,"sil","sil"
"128",2108701,"sil","sil"
"129",2108716,"sil","sil"
"130",2108717,"sil","sil"
"131",2108718,"sil","sil"
"132",2108721,"sil","sil"
"133",2108725,"sil","sil"
"134",2108731,"sicl","sicl"
"135",2108738,"sil","sil"
"136",2108755,"sicl","sicl"
"137",2108767,"fsl","fsl"
"138",2375836,"gr-l","gr-l"
"139",2431379,"sil","sil"
"140",2499014,"lfs","lfs"
"141",2499062,"gr-sl","gr-sl"
"142",2501325,"grx-cos","grx-cos"
"143",2501377,"mpm","sl"
"144",2501585,"sil","sil"
"145",2501629,"spm","grv-sil"
"146",2501760,"gr-sil","gr-sil"
"147",2504291,"sil","sil"
"148",2504320,"muck","sil"
"149",2532847,"sil","sil"
"150",2533532,"sil","sil"
"151",2533925,"gr-sil","gr-sil"
"152",2534519,"grv-sil","grv-sil"
"153",2536161,"sil","sil"
"154",2561807,"cb-sil","cb-sil"
"155",2561809,"sl","sl"
"156",2567855,"sil","sil"
"157",2586534,"spm","gr-l"
"158",2606448,"l","l"
"159",2606465,"sicl","sicl"
"160",2668810,"sic","sic"
"161",2733259,"sil","sil"
"162",2745688,"l","l"
"163",2800480,"l","l"
"164",2809845,"sil","sil"
"165",2809846,"sl","sl"
"166",2834933,"l","l"
"167",2835194,"cl","cl"
"168",2916702,"l","l"
"169",3056115,"sil","sil"
"170",3056117,"cl","cl"
