"","mukey","pondfreqcl_dc","flodfreqcl_dc","drclassdcd","aws0100wta"
"1",106737,"None","Occasional","Somewhat poorly drained","18.64"
"2",160670,"None","None","Well drained","7.3"
"3",164707,"None","None","Well drained","17.56"
"4",165348,"None","None","Somewhat excessively drained","7.35"
"5",166414,"Frequent","Frequent","Poorly drained","17.75"
"6",168542,"None","None","Somewhat poorly drained","14.68"
"7",168593,"None","None","Somewhat poorly drained","16.35"
"8",169076,"None","None","Somewhat poorly drained","16.91"
"9",169080,"None","None","Somewhat poorly drained","13.24"
"10",169094,"Frequent","None","Poorly drained","12"
"11",169899,"Frequent","None","Very poorly drained","15.4"
"12",183392,"None","None","Somewhat poorly drained","14.83"
"13",183393,"None","None","Somewhat poorly drained","14.83"
"14",183395,"Frequent","Frequent","Poorly drained","17.78"
"15",183402,"None","None","Well drained","12.93"
"16",183423,"None","None","Moderately well drained","13.16"
"17",183424,"None","None","Moderately well drained","13.72"
"18",186292,"None","None","Well drained","8.81"
"19",186293,"None","None","Well drained","8.7"
"20",186526,"Frequent","None","Poorly drained","9.47"
"21",186541,"Frequent","None","Very poorly drained","6"
"22",186545,"Frequent","None","Poorly drained","9.95"
"23",186745,"None","None","Well drained","10.7"
"24",186746,"None","None","Well drained","10.77"
"25",186749,"Frequent","None","Very poorly drained","33.63"
"26",186759,"None","None","Somewhat poorly drained","8.87"
"27",191650,"None","None","Well drained","18"
"28",191668,"Frequent","None","Poorly drained","14.8"
"29",191687,"None","None","Somewhat poorly drained","12.11"
"30",198805,"Frequent","None","Poorly drained","17.39"
"31",198818,"None","None","Somewhat poorly drained","19.18"
"32",199539,"Occasional","Occasional","Poorly drained","12"
"33",272444,"None","None","Somewhat poorly drained","14.45"
"34",276600,"None","None","Somewhat excessively drained","5.49"
"35",279234,"None","None","Somewhat excessively drained","7.15"
"36",279244,"None","None","Poorly drained","11.51"
"37",279245,"None","None","Poorly drained","11.51"
"38",281273,"None","None","Very poorly drained","11.65"
"39",281287,"Frequent","None","Very poorly drained","36.98"
"40",281316,"None","None","Moderately well drained","10.69"
"41",281409,"None","None","Excessively drained","8.4"
"42",281687,"None","None","Poorly drained","13.46"
"43",281712,"None","None","Well drained","11.74"
"44",281733,"None","None","Moderately well drained","16.56"
"45",281761,"None","None","Moderately well drained","10.71"
"46",282264,"Frequent","None","Very poorly drained","39.37"
"47",282441,"None","None","Moderately well drained","7.24"
"48",285938,"None","Frequent","Poorly drained","16.93"
"49",285946,"Frequent","Rare","Very poorly drained","33.87"
"50",381887,"None","Frequent","Somewhat poorly drained","13.44"
"51",381905,"None","None","Well drained","14.44"
"52",382099,"None","Occasional","Somewhat poorly drained","14.9"
"53",382161,"None","Rare","Well drained","13.02"
"54",393399,"None","None","Well drained","13.43"
"55",395967,"None","None","Excessively drained","6.89"
"56",396888,"None","None","missing.data","16.44"
"57",398415,"None","None","Somewhat excessively drained","8.02"
"58",398959,"None","None","Poorly drained","19.29"
"59",398973,"None","None","Well drained","13.13"
"60",400425,"None","None","Somewhat poorly drained","14.87"
"61",400433,"None","Frequent","Poorly drained","12.92"
"62",400464,"None","Frequent","Poorly drained","18.54"
"63",400470,"None","None","Well drained","12.62"
