"","ffd","ind_ID"
"1",136,"QUE000128_alb"
"2",156,"QUE000136_bic"
"3",192,"QUE000322_mue"
"4",151,"QUE001333_mac"
"5",151,"QUE001334_mac"
"6",151,"QUE001335_mac"
"7",151,"QUE001336_mac"
"8",151,"QUE001337_mac"
"9",151,"QUE001338_mac"
"10",151,"QUE001339_mac"
"11",151,"QUE001340_mac"
"12",151,"QUE001341_mac"
"13",151,"QUE001342_mac"
"14",151,"QUE001343_mac"
"15",151,"QUE001344_mac"
"16",151,"QUE001345_mac"
"17",151,"QUE001346_mac"
"18",151,"QUE001347_mac"
"19",151,"QUE001348_mac"
"20",151,"QUE001349_mac"
"21",151,"QUE001350_mac"
"22",151,"QUE001351_mac"
"23",151,"QUE001352_mac"
"24",143,"QUE001353_bic"
"25",143,"QUE001354_bic"
"26",143,"QUE001355_bic"
"27",143,"QUE001356_bic"
"28",143,"QUE001357_bic"
"29",141,"QUE001359_bic"
"30",143,"QUE001360_bic"
"31",143,"QUE001361_mac"
"32",131,"QUE001362_bic"
"33",131,"QUE001363_bic"
"34",131,"QUE001364_bic"
"35",131,"QUE001365_bic"
"36",131,"QUE001366_bic"
"37",131,"QUE001367_bic"
"38",131,"QUE001368_bic"
"39",131,"QUE001369_mac"
"40",131,"QUE001370_mac"
"41",131,"QUE001371_mac"
"42",131,"QUE001372_mac"
"43",131,"QUE001373_bic"
"44",131,"QUE001374_bic"
"45",131,"QUE001375_bic"
"46",131,"QUE001376_mac"
"47",131,"QUE001377_mac"
"48",131,"QUE001378_bic"
"49",131,"QUE001384_bic"
"50",131,"QUE001385_bic"
"51",131,"QUE001386_bic"
"52",131,"QUE001387_bic"
"53",131,"QUE001388_bic"
"54",131,"QUE001389_bic"
"55",131,"QUE001390_bic"
"56",131,"QUE001391_bic"
"57",131,"QUE001392_bic"
"58",131,"QUE001393_mac"
"59",201,"QUE001400_ste"
"60",201,"QUE001403_ste"
"61",201,"QUE001406_ste"
"62",201,"QUE001408_ste"
"63",201,"QUE001409_ste"
"64",201,"QUE001410_ste"
"65",201,"QUE001411_ste"
"66",201,"QUE001412_ste"
"67",213,"QUE001419_ste"
"68",221,"QUE001444_ste"
"69",221,"QUE001451_ste"
"70",221,"QUE001452_ste"
"71",198,"QUE001463_alb"
"72",154,"QUE001483_mac"
"73",154,"QUE001484_mac"
"74",146,"QUE001485_mac"
"75",154,"QUE001486_bic"
"76",154,"QUE001487_mac"
"77",154,"QUE001488_mac"
"78",154,"QUE001489_mac"
"79",154,"QUE001526_mac"
"80",154,"QUE001527_bic"
"81",154,"QUE001528_bic"
"82",154,"QUE001529_bic"
"83",154,"QUE001530_mac"
"84",154,"QUE001531_mac"
"85",154,"QUE001532_mac"
"86",154,"QUE001533_mac"
"87",154,"QUE001534_bic"
"88",154,"QUE001535_bic"
"89",154,"QUE001536_mac"
"90",147,"QUE001537_bic"
"91",147,"QUE001538_bic"
"92",147,"QUE001539_bic"
"93",147,"QUE001540_mac"
"94",147,"QUE001541_mac"
"95",147,"QUE001542_mac"
"96",147,"QUE001543_bic"
"97",147,"QUE001544_bic"
"98",147,"QUE001545_bic"
"99",147,"QUE001546_mac"
"100",147,"QUE001547_mac"
"101",147,"QUE001548_mac"
"102",147,"QUE001549_mac"
"103",149,"QUE001550_bic"
"104",149,"QUE001551_mac"
"105",149,"QUE001552_bic"
"106",153,"QUE001553_bic"
"107",149,"QUE001554_mac"
"108",149,"QUE001555_bic"
"109",149,"QUE001556_mac"
"110",147,"QUE001557_bic"
"111",143,"QUE001610_mac"
"112",143,"QUE001611_alb"
"113",143,"QUE001629_mac"
"114",144,"QUE001630_alb"
"115",161,"QUE001720_mac"
"116",161,"QUE001721_mac"
"117",147,"QUE001728_mac"
"118",147,"QUE001729_alb"
"119",130,"QUE001750_alb"
"120",130,"QUE001758_alb"
"121",130,"QUE001759_mac"
"122",130,"QUE001764_alb"
"123",130,"QUE001767_mac"
"124",130,"QUE001778_mac"
"125",140,"QUE001780_mac"
"126",140,"QUE001783_mac"
"127",140,"QUE001789_mac"
"128",136,"QUE001792_mac"
"129",136,"QUE001796_mac"
"130",136,"QUE001800_mac"
"131",137,"QUE001804_mac"
"132",165,"QUE001814_mac"
"133",165,"QUE001815_alb"
"134",165,"QUE001816_alb"
"135",165,"QUE001817_alb"
"136",165,"QUE001819_mue"
"137",137,"QUE001820_mac"
"138",170,"QUE001835_mue"
"139",170,"QUE001839_ste"
"140",170,"QUE001840_mue"
"141",170,"QUE001841_alb"
"142",170,"QUE001846_alb"
"143",170,"QUE001857_ste"
"144",170,"QUE001858_alb"
"145",170,"QUE001860_mue"
"146",184,"QUE001862_ste"
"147",184,"QUE001863_mac"
"148",184,"QUE001866_mac"
"149",184,"QUE001870_mac"
"150",184,"QUE001871_ste"
"151",184,"QUE001877_ste"
"152",191,"QUE001878_mac"
"153",190,"QUE001880_mac"
"154",190,"QUE001882_mac"
"155",190,"QUE001884_alb"
"156",190,"QUE001885_alb"
"157",193,"QUE001886_mac"
"158",193,"QUE001893_mue"
"159",193,"QUE001894_mac"
"160",193,"QUE001898_mue"
"161",193,"QUE001900_mac"
"162",193,"QUE001902_mac"
"163",195,"QUE001904_mac"
"164",195,"QUE001907_mac"
"165",195,"QUE001912_mac"
"166",205,"QUE001915_ste"
"167",205,"QUE001916_mac"
"168",205,"QUE001918_alb"
"169",205,"QUE001920_alb"
"170",205,"QUE001922_mac"
"171",205,"QUE001923_ste"
"172",205,"QUE001924_mac"
"173",205,"QUE001925_ste"
"174",205,"QUE001927_bic"
"175",205,"QUE001928_mac"
"176",147,"QUE001929_mac"
"177",147,"QUE001930_mue"
"178",147,"QUE001932_alb"
"179",147,"QUE001933_mac"
"180",147,"QUE001936_mac"
"181",133,"QUE001937_mac"
"182",133,"QUE001938_mue"
"183",133,"QUE001940_mac"
"184",129,"QUE001943_alb"
"185",129,"QUE001947_mue"
"186",NA,"QUE001951_mac"
"187",NA,"QUE001955_mac"
"188",NA,"QUE001959_mac"
"189",NA,"QUE001960_mac"
"190",NA,"QUE001963_mac"
"191",NA,"QUE001969_mac"
"192",NA,"QUE001971_mac"
"193",NA,"QUE001974_mac"
"194",NA,"QUE001979_mac"
"195",103,"QUE001980_mac"
"196",103,"QUE001982_mac"
"197",103,"QUE001985_mac"
"198",158,"QUE002057_mac"
"199",158,"QUE002058_mac"
"200",158,"QUE002059_mac"
"201",162,"QUE002068_mac"
"202",162,"QUE002069_mac"
"203",157,"QUE002072_mac"
"204",157,"QUE002073_mac"
"205",157,"QUE002074_mac"
"206",157,"QUE002075_alb"
"207",157,"QUE002076_mac"
"208",174,"QUE002081_mac"
"209",174,"QUE002082_mac"
"210",174,"QUE002083_mac"
"211",174,"QUE002084_mac"
"212",151,"QUE002085_mac"
"213",154,"QUE002086_mue"
"214",151,"QUE002087_mac"
"215",151,"QUE002091_alb"
"216",151,"QUE002092_bic"
"217",154,"QUE002096_mac"
"218",151,"QUE002098_mue"
"219",147,"QUE002099_bic"
"220",147,"QUE002101_mue"
"221",147,"QUE002102_mac"
"222",147,"QUE002103_mac"
"223",147,"QUE002105_mac"
"224",147,"QUE002106_mac"
"225",147,"QUE002107_mac"
"226",147,"QUE002108_alb"
"227",147,"QUE002109_alb"
"228",154,"QUE002110_mac"
"229",154,"QUE002114_mac"
"230",154,"QUE002119_mac"
"231",158,"QUE002121_alb"
"232",158,"QUE002124_alb"
"233",158,"QUE002128_alb"
"234",129,"QUE002129_mac"
"235",129,"QUE002130_mac"
"236",122,"QUE002132_mac"
"237",122,"QUE002133_mac"
"238",130,"QUE002134_mac"
"239",130,"QUE002135_mac"
"240",130,"QUE002136_mac"
"241",129,"QUE002137_mac"
"242",129,"QUE002138_alb"
"243",122,"QUE002139_mac"
"244",128,"QUE002140_mac"
"245",122,"QUE002141_mac"
"246",123,"QUE002143_mac"
"247",122,"QUE002147_mac"
"248",135,"QUE002148_mac"
"249",135,"QUE002149_alb"
"250",135,"QUE002150_mac"
"251",137,"QUE002151_mac"
"252",135,"QUE002153_bic"
"253",135,"QUE002154_mac"
"254",135,"QUE002155_alb"
"255",135,"QUE002157_alb"
"256",134,"QUE002158_mac"
"257",134,"QUE002159_mac"
"258",135,"QUE002160_mac"
"259",135,"QUE002161_mac"
"260",135,"QUE002164_mac"
"261",164,"QUE002166_mac"
"262",164,"QUE002170_mac"
"263",164,"QUE002175_mac"
"264",191,"QUE002176_alb"
"265",191,"QUE002180_ste"
"266",191,"QUE002183_ste"
"267",190,"QUE002187_mac"
"268",190,"QUE002188_ste"
"269",190,"QUE002189_mue"
"270",191,"QUE002193_alb"
"271",160,"QUE002194_mac"
"272",160,"QUE002195_ste"
"273",160,"QUE002196_bic"
"274",160,"QUE002202_mac"
"275",160,"QUE002208_mac"
"276",160,"QUE002209_ste"
"277",160,"QUE002210_alb"
"278",155,"QUE002216_alb"
"279",155,"QUE002219_ste"
"280",155,"QUE002225_alb"
"281",150,"QUE002226_mue"
"282",177,"QUE002229_ste"
"283",182,"QUE002232_alb"
"284",182,"QUE002239_mue"
"285",182,"QUE002240_ste"
"286",177,"QUE002247_mue"
"287",177,"QUE002250_mue"
"288",182,"QUE002251_mac"
"289",182,"QUE002252_ste"
"290",182,"QUE002253_alb"
"291",182,"QUE002256_mac"
"292",182,"QUE002261_alb"
"293",182,"QUE002265_mac"
"294",171,"QUE002267_mue"
"295",171,"QUE002268_mac"
"296",171,"QUE002269_alb"
"297",171,"QUE002275_alb"
"298",171,"QUE002282_alb"
"299",171,"QUE002283_ste"
"300",171,"QUE002284_mac"
"301",171,"QUE002285_mue"
"302",171,"QUE002290_mue"
"303",171,"QUE002291_mac"
"304",153,"QUE002295_mac"
"305",153,"QUE002299_mac"
"306",153,"QUE002302_mac"
"307",153,"QUE002303_mue"
"308",153,"QUE002304_mac"
"309",153,"QUE002310_mue"
"310",137,"QUE002313_alb"
"311",139,"QUE002314_alb"
"312",137,"QUE002315_alb"
"313",137,"QUE002319_alb"
"314",137,"QUE002324_alb"
"315",135,"QUE002326_mac"
"316",135,"QUE002331_mac"
"317",135,"QUE002335_mac"
"318",129,"QUE002336_mac"
"319",129,"QUE002337_alb"
"320",129,"QUE002338_mac"
"321",129,"QUE002339_alb"
"322",129,"QUE002341_mac"
"323",129,"QUE002342_alb"
"324",127,"QUE002346_alb"
"325",127,"QUE002347_bic"
"326",127,"QUE002351_alb"
"327",127,"QUE002355_alb"
"328",127,"QUE002356_mac"
"329",127,"QUE002360_bic"
"330",127,"QUE002361_bic"
"331",127,"QUE002362_alb"
"332",125,"QUE002363_alb"
"333",125,"QUE002364_mac"
"334",125,"QUE002365_mac"
"335",125,"QUE002366_alb"
"336",125,"QUE002367_mac"
"337",125,"QUE002368_mac"
"338",134,"QUE002369_mac"
"339",134,"QUE002370_alb"
"340",125,"QUE002371_mac"
"341",125,"QUE002373_mac"
"342",125,"QUE002374_mac"
"343",125,"QUE002375_alb"
"344",125,"QUE002379_mac"
"345",125,"QUE002383_alb"
"346",138,"QUE002384_mac"
"347",138,"QUE002385_alb"
"348",138,"QUE002392_alb"
"349",138,"QUE002393_mac"
"350",138,"QUE002399_alb"
"351",138,"QUE002400_mac"
"352",117,"QUE002404_mac"
"353",117,"QUE002410_alb"
"354",117,"QUE002411_mac"
"355",117,"QUE002416_alb"
"356",117,"QUE002417_mac"
"357",117,"QUE002422_alb"
"358",137,"QUE002424_mac"
"359",137,"QUE002427_mac"
"360",137,"QUE002430_mac"
"361",129,"QUE002433_mac"
"362",129,"QUE002436_mac"
"363",129,"QUE002443_mac"
"364",146,"QUE002445_mac"
"365",146,"QUE002450_mac"
"366",148,"QUE002453_mac"
"367",148,"QUE002454_mac"
"368",148,"QUE002455_mac"
"369",148,"QUE002459_mac"
"370",148,"QUE002460_mac"
"371",148,"QUE002463_mac"
"372",148,"QUE002467_mac"
"373",147,"QUE002471_mac"
"374",147,"QUE002474_mac"
"375",147,"QUE002478_mac"
"376",146,"QUE002480_mac"
"377",146,"QUE002481_mue"
"378",146,"QUE002484_mue"
"379",146,"QUE002487_alb"
