"","mukey","total_aws"
"1","106737",36.39
"2","160670",10.42
"3","164707",38.71
"4","165348",13.38
"5","166414",28.45
"6","168542",18.52
"7","168593",25.6
"8","169076",22.11
"9","169080",18.44
"10","169094",23.33
"11","169899",27.92
"12","183392",17.19
"13","183393",17.19
"14","183395",28.73
"15","183402",19.46
"16","183423",17.84
"17","183424",18.38
"18","186292",17.5
"19","186293",17.37
"20","186526",27.95
"21","186541",12.18
"22","186545",16.37
"23","186745",14.16
"24","186746",13.9
"25","186749",55.08
"26","186759",13.4
"27","191650",26.01
"28","191668",17.86
"29","191687",13.75
"30","198805",28.59
"31","198818",38.12
"32","199539",24.36
"33","272444",18.67
"34","276600",7.57
"35","279234",8.17
"36","279244",17.32
"37","279245",17.32
"38","281273",17.75
"39","281287",54.22
"40","281316",16.46
"41","281409",10.9
"42","281687",23.65
"43","281712",23.63
"44","281733",24.85
"45","281761",16.32
"46","282264",62.3
"47","282441",8.4
"48","285938",27.27
"49","285946",42.08
"50","381887",23.89
"51","381905",26.18
"52","382099",30.21
"53","382161",21.84
"54","393399",28.44
"55","395967",10.01
"56","396888",18
"57","398415",15.27
"58","398959",34.91
"59","398973",18.99
"60","400425",19.35
"61","400433",26.56
"62","400464",56.36
"63","400470",14.23
"64","411278",27.57
"65","411285",29.73
"66","411320",35.87
"67","413086",30.17
"68","413090",30.86
"69","413152",30.77
"70","424112",21.3
"71","424561",14.93
"72","424571",24.57
"73","424708",7.05
"74","425812",17.04
"75","425817",13.12
"76","425860",29.32
"77","425907",36.94
"78","428086",18.02
"79","429016",20.99
"80","429045",40.46
"81","429076",18.34
"82","429660",34.91
"83","565498",33.34
"84","566179",9.11
"85","566193",22.95
"86","572317",9.29
"87","623453",10.67
"88","623461",38.98
"89","623462",38.76
"90","625371",20.55
"91","626794",17.58
"92","634362",33.01
"93","680863",38.86
"94","680876",37.91
"95","680952",30.84
"96","680953",30.16
"97","680984",38.18
"98","753482",30.75
"99","753489",21.46
"100","753505",6.09
"101","753580",29.26
"102","753584",41.8
"103","763030",14.86
"104","766065",17.13
"105","766075",8.83
"106","777731",48.57
"107","777732",36.44
"108","777737",29.9
"109","777743",20.78
"110","868745",17.35
"111","1150981",42.42
"112","1155385",11.18
"113","1155388",10.05
"114","1382182",32.16
"115","1399845",25.04
"116","1468815",30.5
"117","1468827",11.58
"118","1468847",11.77
"119","1472299",40.55
"120","1472320",30.56
"121","1486923",30.67
"122","1541809",12.06
"123","1651539",27.09
"124","1652078",11.52
"125","1677198",25.9
"126","1677280",8.54
"127","1725959",40.16
"128","2108701",18.67
"129","2108716",18.52
"130","2108717",19.35
"131","2108718",17.84
"132","2108721",19.98
"133","2108725",18.85
"134","2108731",20.46
"135","2108738",17.19
"136","2108755",24.86
"137","2108767",18.03
"138","2375836",12.05
"139","2431379",37.91
"140","2499014",11.14
"141","2499062",6.83
"142","2501325",2
"143","2501377",23.31
"144","2501585",17.43
"145","2501629",15.64
"146","2501760",16.15
"147","2504291",34.39
"148","2504320",49.08
"149","2532847",38.36
"150","2533532",38.45
"151","2533925",18.03
"152","2534519",11.67
"153","2536161",18.18
"154","2561807",16.9
"155","2561809",9.12
"156","2567855",20.78
"157","2586534",18.77
"158","2606448",31.52
"159","2606465",35.68
"160","2668810",10.42
"161","2733259",19.84
"162","2745688",20.72
"163","2800480",37.04
"164","2809845",11.3
"165","2809846",13.34
"166","2834933",35.86
"167","2835194",36.98
"168","2916702",36
"169","3056115",15.09
"170","3056117",14
