"","areasymbol","musym","muname","mukey","caco3_r","cec7_r","ec_r","ecec_r","gypsum_r","ph1to1h2o_r","claytotal_r","sandtotal_r","silttotal_r","dbthirdbar_r","lep_r","om_r","ksat_r","awc_r"
"1","OK143","53","Wynona silty clay loam, 0 to 1 percent slopes, occasionally flooded",106737,0,16.54,1,NA,0,5.8,30.88,7.89,61.23,1.44,3.24,1.47,2.56,0.19
"2","IN127","OaC","Oakville fine sand, 4 to 12 percent slopes",160670,0,4.15,0,NA,0,6.04,2.52,94.24,3.24,1.53,1.5,0.43,91.74,0.07
"3","IN003","McB","Martinsville loam, 2 to 6 percent slopes",164707,0,11.87,0,10.37,0,6.2,22.94,49.91,27.15,1.49,2.3,0.56,9.17,0.18
"4","IN039","CnbC","Coloma sand, 5 to 10 percent slopes",165348,0,2.56,0,NA,0,6.1,2.85,91.75,5.4,1.53,0.23,0.39,55,0.07
"5","IL041","3107A","Sawmill silty clay loam, 0 to 2 percent slopes, frequently flooded",166414,0,24.96,1,NA,0,6.73,30.75,9.65,59.6,1.37,4.45,1.79,9.17,0.18
"6","OH033","Blg1B1","Blount silt loam, ground moraine, 2 to 4 percent slopes",168542,3,21.48,0,14.86,0,6.71,36.41,18.91,44.68,1.58,3.81,0.8,2.81,0.14
"7","OH033","TrA","Tiro silt loam, 0 to 2 percent slopes",168593,0.18,14.16,0,NA,0,6.17,26.68,20.62,52.7,1.5,2.83,1.27,9.1,0.16
"8","OH051","DfA","Del Rey silt loam, 0 to 3 percent slopes",169076,6.27,18.91,0,NA,0,6.59,33.62,18.89,47.49,1.51,3.75,0.94,2.98,0.17
"9","OH051","FtA","Fulton silty clay loam, 0 to 2 percent slopes",169080,8.2,24.82,0,NA,0,6.6,42.59,8.95,48.46,1.55,6.81,0.72,1.3,0.13
"10","OH051","Lf","Lenawee silty clay loam, 0 to 1 percent slopes",169094,1.54,19.92,0.18,NA,0,7.04,35,14,51,1.56,4.59,2.24,0.05,0.12
"11","OH097","Ko","Kokomo silty clay loam, 0 to 2 percent slopes",169899,0,27.9,0,NA,0,6.42,34.6,21.44,43.96,1.48,5.18,2.34,2.82,0.16
"12","IL043","298A","Beecher silt loam, 0 to 2 percent slopes",183392,1.32,15.2,0.2,NA,0,6.96,32.22,8.94,58.84,1.51,2.83,1.25,3.92,0.15
"13","IL043","298B","Beecher silt loam, 2 to 4 percent slopes",183393,1.32,15.2,0.2,NA,0,6.96,32.22,8.94,58.84,1.51,2.83,1.25,3.92,0.15
"14","IL043","3107A","Sawmill silty clay loam, heavy till plain, 0 to 2 percent slopes, frequently flooded",183395,0,24.96,1,NA,0,6.73,30.75,9.65,59.6,1.37,4.45,1.89,9.17,0.18
"15","IL043","327B","Fox silt loam, 2 to 4 percent slopes",183402,12.95,11.63,0,NA,0,7.62,20.77,48.58,30.65,1.56,3.09,0.47,129.3,0.13
"16","IL043","530C2","Ozaukee silt loam, 4 to 6 percent slopes, eroded",183423,4.3,15.77,0,NA,0,7.11,35.58,11.64,52.78,1.57,2.72,0.64,3.07,0.13
"17","IL043","530D2","Ozaukee silt loam, 6 to 12 percent slopes, eroded",183424,5.95,15.28,0,NA,0,6.9,33.9,12.13,53.97,1.58,2.67,0.65,3.78,0.14
"18","MI021","W","Water",186213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","MI149","5C","Spinks loamy sand, 6 to 12 percent slopes",186292,0,2.41,0.05,NA,0,6.06,4.01,86.38,9.6,1.66,0.25,0.44,55,0.08
"20","MI149","5D","Spinks loamy sand, 12 to 18 percent slopes",186293,0,2.35,0.05,NA,0,6.06,4.01,86.45,9.54,1.66,0.25,0.42,55,0.08
"21","MI037","W","Water",186406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","MI017","13","Belleville loamy sand",186526,0,2.12,0,NA,0,6.36,5.72,85.83,8.45,1.47,0.38,1.64,83.74,0.09
"23","MI017","55","Aquents, sandy and loamy",186541,0,5.1,0,NA,0,5.9,7,91.7,1.3,1.53,0.5,0.25,92,0.06
"24","MI017","59","Tobico fine sand",186545,0.15,4.3,0,NA,0,6.88,5,94.4,0.6,1.46,0.42,1.2,91.74,0.1
"25","MI065","OtB","Oshtemo-Spinks loamy sands, 0 to 6 percent slopes",186745,0,5.98,0,NA,0,6.31,8.87,79.73,11.4,1.5,1.5,0.81,58.74,0.1
"26","MI065","OtC","Oshtemo-Spinks loamy sands, 6 to 12 percent slopes",186746,0,5.97,0,NA,0,6.31,9.3,79.19,11.51,1.5,1.5,0.73,55.16,0.11
