"","mukey","avg_soildepth"
"1","106737",200
"2","160670",152
"3","164707",203
"4","165348",203
"5","166414",165
"6","168542",200
"7","168593",200
"8","169076",152
"9","169080",152
"10","169094",203
"11","169899",200
"12","183395",165
"13","183423",152
"14","186292",203
"15","186293",203
"16","186526",203
"17","186541",203
"18","186545",203
"19","186745",152
"20","186746",152
"21","186749",203
"22","186759",152
"23","191650",152
"24","191687",152
"25","198805",152
"26","198818",165
"27","199539",203
"28","276600",163
"29","279244",165
"30","279245",165
"31","281273",157
"32","281287",160
"33","281316",165
"34","281409",165
"35","281687",165
"36","281712",165
"37","281733",158
"38","281761",165
"39","282264",152
"40","282441",152
"41","285938",165
"42","285946",174
"43","381887",177
"44","381905",183
"45","382099",152
"46","382161",163
"47","393399",203
"48","395967",152
"49","396888",152
"50","398415",203
"51","398959",200
"52","398973",152
"53","400425",152
"54","400433",200
"55","400464",152
"56","400470",152
"57","411278",152
"58","411285",152
"59","411320",200
"60","413090",203
"61","413152",200
"62","424112",152
"63","424561",1
"64","424571",1
"65","424708",203
"66","425812",200
"67","425817",152
"68","425860",152
"69","425907",152
"70","429016",152
"71","429045",200
"72","429076",152
"73","429660",200
"74","565498",198
"75","566179",1
"76","566193",153
"77","572317",1
"78","623453",122
"79","623461",200
"80","623462",200
"81","625371",200
"82","626794",200
"83","634362",152
"84","680863",200
"85","680876",200
"86","680952",152
"87","680953",152
"88","680984",200
"89","753482",200
"90","753580",152
"91","753584",200
"92","763030",190
"93","766065",200
"94","766075",40
"95","777731",200
"96","777732",163
"97","777737",152
"98","777743",200
"99","1150981",200
"100","1155385",1
"101","1155388",1
"102","1382182",200
"103","1399845",180
"104","1468815",152
"105","1468827",40
"106","1472299",200
"107","1472320",200
"108","1486923",152
"109","1651539",203
"110","1652078",152
"111","1677198",152
"112","1677280",152
"113","1725959",203
"114","2108701",152
"115","2108725",152
"116","2108731",152
"117","2108755",152
"118","2108767",152
"119","2375836",203
"120","2431379",183
"121","2499014",152
"122","2499062",157
"123","2501377",103
"124","2501585",1
"125","2501629",200
"126","2501760",200
"127","2504291",200
"128","2504320",152
"129","2532847",200
"130","2533532",200
"131","2533925",200
"132","2534519",1
"133","2536161",200
"134","2561807",169
"135","2586534",155
"136","2606448",200
"137","2606465",200
"138","2668810",1
"139","2733259",1
"140","2745688",107
"141","2800480",200
"142","2809845",1
"143","2809846",203
"144","2834933",200
"145","2835194",200
"146","2916702",200
"147","3056117",200
