long,lat,spp
-87.00705,36.3839,alb
-87.03522,36.39846,ste
-87.03522,36.39846,ste
-87.03522,36.39846,ste
-87.28743,36.0933,alb
-87.0075,36.38356,alb
-88.05336,36.78873,ste
-86.93238,36.34692,ste
-87.55984,36.51777,mue
-87.00746,36.38356,alb
-87.00735,36.38357,alb
-83.528666,38.81278,ste
-83.574293,38.837904,ste
-83.411669,38.766537,mue
-73.32647,44.71585,mac
-73.359489,43.690195,mue
-84.070197,42.339245,mac
-73.240748,44.411494,alb
-77.517635,37.87389,alb
-76.789262,37.248256,alb
-73.098053,43.614653,alb
-73.148362,43.620158,alb
-73.061936,43.627378,alb
-73.303914,44.239972,alb
-73.194621,43.593688,bic
-73.053415,43.764651,alb
-73.182335,43.601801,mac
-72.99264,43.618009,alb
-73.35223,44.075463,bic
-73.232963,43.659746,alb
-73.228018,43.656059,alb
-82.476575,35.588728,ste
-73.137108,44.16657,alb
-73.250098,44.330947,mac
-73.095646,43.616287,alb
-97.510368,32.735433,mac
-82.370242,35.544606,alb
-96.588809,43.476985,mac
-73.229638,43.817368,alb
-73.278119,44.066772,alb
-97.102473,32.587199,ste
-72.303855,43.67998,alb
-88.539847,41.641123,bic
-73.32794,44.74305,bic
-99.283333,49.666667,mac
-98.783333,51.55,mac
-73.109219,44.443025,alb
-75.178333,41.442167,alb
-72.739882,41.264378,alb
-72.744614,41.263561,alb
-73.30975,44.74509,mac
-95.901417,31.943242,ste
-96.59121,39.278434,mue
-89.020178,37.413907,alb
-96.734216,39.442588,mue
-96.582405,39.102951,mue
-95.255,30.938833,ste
-96.602232,39.106082,mac
-73.229113,43.662346,alb
-83.435945,43.424675,mac
-94.52556,47.541189,mac
-97.680676,32.756126,ste
-95.959493,30.239493,ste
-70.029823,42.003947,alb
-84.792167,43.0675,mac
-73.315287,43.64651,bic
-71.623685,42.735487,alb
-73.214425,43.698891,alb
-73.236584,43.617038,alb
-92.001402,43.761821,alb
-72.9563,43.621196,alb
-80.811879,36.106508,alb
-81.878966,35.751512,alb
-82.046842,35.705155,alb
-82.042533,35.765462,alb
-82.036111,35.729739,alb
-73.2395,44.625667,mac
