Sample	Top over-represented sequence	Sum of remaining over-represented sequences
home | gabe | qmac | analyses | qc | JCB-21_S42_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-21_S42_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-23_S40_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-23_S40_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-30_S45_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-30_S45_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-40_S32_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-40_S32_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-41_S33_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-41_S33_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-43_S35_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-43_S35_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-44_S36_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-44_S36_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-54_S48_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-54_S48_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-58_S39_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-58_S39_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-68_S37_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-68_S37_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-73_S43_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-73_S43_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-79_S34_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-79_S34_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-85_S47_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-85_S47_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-90_S41_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-90_S41_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-91_S46_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-91_S46_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-97_S38_L001_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-97_S38_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | JCB-99_S44_L001_R1_001	0.10423996038881504	0.0
home | gabe | qmac | analyses | qc | JCB-99_S44_L001_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | MVX_1002_EGX_P6_S32_L001_R1_001	0.24905967266443024	0.0
home | gabe | qmac | analyses | qc | MVX_1002_EGX_P6_S32_L001_R2_001	0.16646335264816509	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000068_S321_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000068_S321_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000076_S323_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000076_S323_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000127_S330_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000127_S330_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000133_S360_L007_R1_001	0.0	0.0
