****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 10 threads.
Random seed: 1722618050
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 364x3412
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.088	Loglikelihood: -453282	(delta): 1.14607e+06
2 (EM) 	Elapsed: 0.085	Loglikelihood: -421730	(delta): 31551.9
3 (EM) 	Elapsed: 0.085	Loglikelihood: -416642	(delta): 5087.43
4 (EM) 	Elapsed: 0.085	Loglikelihood: -413708	(delta): 2934.09
5 (EM) 	Elapsed: 0.085	Loglikelihood: -411333	(delta): 2375.14
Initial loglikelihood: -411333
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -329566	(delta): 81767.5
2 (QN/Block) 	Elapsed: 0.264	Loglikelihood: -299336	(delta): 30229.9
3 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -288012	(delta): 11323.8
4 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -282053	(delta): 5958.55
5 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -279855	(delta): 2198.23
6 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -279243	(delta): 612.029
7 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -279085	(delta): 158.455
8 (QN/Block) 	Elapsed: 0.267	Loglikelihood: -279034	(delta): 50.9335
9 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -279016	(delta): 17.7962
10 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -279001	(delta): 15.3145
11 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -278994	(delta): 6.75808
12 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -278991	(delta): 3.24596
13 (QN/Block) 	Elapsed: 0.268	Loglikelihood: -278988	(delta): 2.45782
14 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278984	(delta): 3.867
15 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -278983	(delta): 0.99098
16 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278983	(delta): 0.36651
17 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278982	(delta): 0.498713
18 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278982	(delta): 0.341577
19 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278982	(delta): 0.513328
20 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -278981	(delta): 0.791065
21 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278980	(delta): 0.9002
22 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -278979	(delta): 0.570877
23 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278979	(delta): 0.639958
24 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278978	(delta): 0.790206
25 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -278977	(delta): 0.998398
26 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -278976	(delta): 0.868289
27 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278975	(delta): 1.50444
28 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -278973	(delta): 1.82215
29 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -278970	(delta): 2.29339
