ind_ID sppcode mac_frac alb_frac bic_frac ste_frac mue_frac
QUE002637_mac mac 0.99452 1e-05 1e-05 1e-05 0.00545
QUE002631_mac mac 0.986379 0.005244 1e-05 1e-05 0.008357
QUE002647_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002613_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002614_mac mac 0.990682 1e-05 0.009288 1e-05 1e-05
QUE002616_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002617_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002599_mac mac 0.999759 1e-05 1e-05 0.000211 1e-05
QUE002628_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002601_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002638_mac mac 0.992409 0.005983 0.001589 1e-05 1e-05
QUE002615_mac mac 0.986717 0.013253 1e-05 1e-05 1e-05
QUE002595_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002634_mac mac 0.991259 0.008711 1e-05 1e-05 1e-05
QUE002590_mac mac 0.99044 1e-05 1e-05 1e-05 0.00953
QUE002608_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002641_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001334_mac mac 0.981302 0.01244 1e-05 1e-05 0.006238
QUE001337_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001338_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001339_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001342_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001343_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001344_mac mac 0.477636 0.522333 1e-05 1.1e-05 1e-05
QUE001345_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001346_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001347_mac mac 0.989355 1e-05 0.010615 1e-05 1e-05
QUE001348_mac mac 0.987417 1e-05 0.012553 1e-05 1e-05
QUE001350_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001351_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001352_mac mac 0.977566 1e-05 0.022404 1e-05 1e-05
QUE001354_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001355_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001356_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001357_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001360_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001366_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001368_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001370_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001371_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001372_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001375_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001386_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE001487_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
