ind_ID sppcode mac1_frac mac2_frac alb_frac bic_frac ste_frac mue_frac
QUE002637_mac mac 0.993686 1e-05 1e-05 1e-05 1e-05 0.006274
QUE002631_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002647_mac mac 0.90318 0.09678 1e-05 1e-05 1e-05 1e-05
QUE002613_mac mac 0.913097 0.079213 1e-05 1e-05 1e-05 0.007659
QUE002614_mac mac 0.804168 0.188877 1e-05 0.006925 1e-05 1e-05
QUE002616_mac mac 0.763666 0.236294 1e-05 1e-05 1e-05 1e-05
QUE002617_mac mac 0.902489 0.097471 1e-05 1e-05 1e-05 1e-05
QUE002599_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002628_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002601_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002638_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002615_mac mac 0.882803 0.107523 0.009644 1e-05 1e-05 1e-05
QUE002595_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002634_mac mac 0.960077 0.033841 0.006052 1e-05 1e-05 1e-05
QUE002590_mac mac 0.990673 1e-05 1e-05 1e-05 1e-05 0.009287
QUE002608_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002641_mac mac 0.999945 1e-05 1e-05 1.3e-05 1e-05 1.2e-05
QUE001334_mac mac 0.516095 0.472507 0.008593 1e-05 1e-05 0.002785
QUE001337_mac mac 0.360978 0.638982 1e-05 1e-05 1e-05 1e-05
QUE001338_mac mac 0.602136 0.397824 1e-05 1e-05 1e-05 1e-05
QUE001339_mac mac 0.550471 0.449489 1e-05 1e-05 1e-05 1e-05
QUE001342_mac mac 0.523104 0.476856 1e-05 1e-05 1e-05 1e-05
QUE001343_mac mac 0.768679 0.231128 1e-05 0.000164 1e-05 1e-05
QUE001344_mac mac 0.291972 0.185469 0.522528 1e-05 1e-05 1e-05
QUE001345_mac mac 0.631292 0.368668 1e-05 1e-05 1e-05 1e-05
QUE001346_mac mac 0.858472 0.141488 1e-05 1e-05 1e-05 1e-05
QUE001347_mac mac 0.460487 0.530065 1e-05 0.009419 1e-05 1e-05
QUE001348_mac mac 0.555077 0.439792 1e-05 0.005101 1e-05 1e-05
QUE001350_mac mac 0.578947 0.421009 1.4e-05 1e-05 1e-05 1e-05
QUE001351_mac mac 0.646082 0.353878 1e-05 1e-05 1e-05 1e-05
QUE001352_mac mac 0.603149 0.375491 1e-05 0.02133 1e-05 1e-05
QUE001354_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001355_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001356_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001357_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001360_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001366_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001368_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001370_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001371_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001372_mac mac 0.916518 0.083442 1e-05 1e-05 1e-05 1e-05
QUE001375_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001386_bic bic 1e-05 1.7e-05 1e-05 0.999943 1e-05 1e-05
QUE001487_mac mac 0.838208 0.161752 1e-05 1e-05 1e-05 1e-05
QUE001526_mac mac 0.704544 0.268205 1e-05 0.027221 1e-05 1e-05
QUE001527_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001528_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001529_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE001530_mac mac 0.905509 0.094451 1e-05 1e-05 1e-05 1e-05
QUE001532_mac mac 0.838891 0.159475 1e-05 0.001604 1e-05 1e-05
QUE001533_mac mac 0.818455 0.181505 1e-05 1e-05 1e-05 1e-05
QUE001534_bic bic 1e-05 1.7e-05 1e-05 0.999943 1e-05 1e-05
QUE001536_mac mac 0.670614 0.304042 1e-05 0.018505 0.00122 0.005608
QUE001537_bic bic 0.050548 1e-05 1e-05 0.949412 1e-05 1e-05
QUE001538_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
