ind_ID,sppcode,species_frac,admix_frac,lat,long,site,dist_from_rangeedge,sympspp_bin,sympspp_num,hab_suit
QUE002637_mac,mac,0.993696,0.00630400000000009,43.68836,-92.92859,AustinMN,230787.10577974,Y,2,0.803598761558533
QUE002631_mac,mac,0.99996,4.000000000004e-05,43.68481,-92.92696,AustinMN,231067.854693404,Y,2,0.803598761558533
QUE002647_mac,mac,0.99996,4.000000000004e-05,43.677,-92.93769,AustinMN,232245.612876054,Y,2,0.804566264152527
QUE002613_mac,mac,0.99231,0.00768999999999997,42.04141,-93.678679,AmesIA,398180.983409945,Y,3,0.804004669189453
QUE002614_mac,mac,0.993045,0.00695500000000004,42.049533,-93.679052,AmesIA,398116.673864859,Y,3,0.805148720741272
QUE002616_mac,mac,0.99996,4.000000000004e-05,42.030898,-93.632418,AmesIA,402055.02746311,Y,3,0.849085748195648
QUE002617_mac,mac,0.99996,4.000000000004e-05,42.023609,-93.633087,AmesIA,402033.887304417,Y,3,0.853101670742035
QUE002599_mac,mac,0.99996,4.000000000004e-05,44.2261111,-93.471944,SakatahLakeMN,210580.406005883,Y,2,0.818405985832214
QUE002601_mac,mac,0.99996,4.000000000004e-05,44.86798,-93.03203,TwinCitiesMN,139374.855679833,Y,2,0.877583861351013
QUE002638_mac,mac,0.99996,4.000000000004e-05,43.677,-92.93769,AustinMN,232245.612876054,Y,2,0.804566264152527
QUE002615_mac,mac,0.990326,0.00967399999999996,42.036203,-93.639256,AmesIA,401465.371545832,Y,3,0.844156324863434
QUE002595_mac,mac,0.99996,4.000000000004e-05,44.2244444,-93.528333,SakatahLakeMN,214039.974896403,Y,2,0.841579258441925
QUE002634_mac,mac,0.993918,0.00608200000000003,43.68461,-92.92134,AustinMN,230868.008795603,Y,2,0.80232709646225
QUE002590_mac,mac,0.990683,0.00931700000000002,45.38953,-93.19485,CedarCreekMN,129764.664445906,Y,2,0.846661746501923
QUE002608_mac,mac,0.99996,4.000000000004e-05,45.4222222,-93.188056,SakatahLakeMN,128679.389613495,Y,2,0.846595942974091
QUE002641_mac,mac,0.999955,4.50000000000728e-05,43.68531,-92.92292,AustinMN,230861.58446467,Y,2,0.803598761558533
QUE001334_mac,mac,0.988602,0.011398,40.990945,-90.402384,GalesburgIL,435519.865667645,Y,3,0.774079024791718
