ind_ID,sppcode,mac1_frac,mac2_frac,alb_frac,bic_frac,ste_frac,mue_frac,lat,long
QUE002637_mac,mac,0.993686,1e-05,1e-05,1e-05,1e-05,0.006274,43.68836,-92.92859
QUE002631_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.68481,-92.92696
QUE002647_mac,mac,0.90318,0.09678,1e-05,1e-05,1e-05,1e-05,43.677,-92.93769
QUE002613_mac,mac,0.913097,0.079213,1e-05,1e-05,1e-05,0.007659,42.04141,-93.678679
QUE002614_mac,mac,0.804168,0.188877,1e-05,0.006925,1e-05,1e-05,42.049533,-93.679052
QUE002616_mac,mac,0.763666,0.236294,1e-05,1e-05,1e-05,1e-05,42.030898,-93.632418
QUE002617_mac,mac,0.902489,0.097471,1e-05,1e-05,1e-05,1e-05,42.023609,-93.633087
QUE002599_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,44.2261111,-93.471944
QUE002601_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,44.86798,-93.03203
QUE002638_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.677,-92.93769
QUE002615_mac,mac,0.882803,0.107523,0.009644,1e-05,1e-05,1e-05,42.036203,-93.639256
QUE002595_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,44.2244444,-93.528333
QUE002634_mac,mac,0.960077,0.033841,0.006052,1e-05,1e-05,1e-05,43.68461,-92.92134
QUE002590_mac,mac,0.990673,1e-05,1e-05,1e-05,1e-05,0.009287,45.38953,-93.19485
QUE002608_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,45.4222222,-93.188056
QUE002641_mac,mac,0.999945,1e-05,1e-05,1.3e-05,1e-05,1.2e-05,43.68531,-92.92292
QUE001334_mac,mac,0.516095,0.472507,0.008593,1e-05,1e-05,0.002785,40.990945,-90.402384
QUE001337_mac,mac,0.360978,0.638982,1e-05,1e-05,1e-05,1e-05,40.9904574,-90.405752
QUE001338_mac,mac,0.602136,0.397824,1e-05,1e-05,1e-05,1e-05,40.9904574,-90.405752
QUE001339_mac,mac,0.550471,0.449489,1e-05,1e-05,1e-05,1e-05,40.9904574,-90.405752
QUE001342_mac,mac,0.523104,0.476856,1e-05,1e-05,1e-05,1e-05,40.9905535,-90.399817
QUE001343_mac,mac,0.768679,0.231128,1e-05,0.000164,1e-05,1e-05,40.989198,-90.398409
QUE001344_mac,mac,0.291972,0.185469,0.522528,1e-05,1e-05,1e-05,40.9887178,-90.398239
QUE001345_mac,mac,0.631292,0.368668,1e-05,1e-05,1e-05,1e-05,40.9887178,-90.398239
QUE001346_mac,mac,0.858472,0.141488,1e-05,1e-05,1e-05,1e-05,40.9887178,-90.398239
QUE001347_mac,mac,0.460487,0.530065,1e-05,0.009419,1e-05,1e-05,40.98749154,-90.393722
QUE001348_mac,mac,0.555077,0.439792,1e-05,0.005101,1e-05,1e-05,40.9878018,-90.393579
QUE001350_mac,mac,0.578947,0.421009,1.4e-05,1e-05,1e-05,1e-05,40.987996,-90.393384
QUE001351_mac,mac,0.646082,0.353878,1e-05,1e-05,1e-05,1e-05,40.98879,-90.391843
QUE001352_mac,mac,0.603149,0.375491,1e-05,0.02133,1e-05,1e-05,40.9898984,-90.384677
QUE001354_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.7871378,-88.272995
QUE001355_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.7871378,-88.272995
QUE001356_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.7873037,-88.273141
QUE001357_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.7873037,-88.273045
QUE001360_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.7895934,-88.272206
QUE001366_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,43.219807,-90.305408
QUE001368_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,43.215162,-90.304929
QUE001370_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.241424,-90.302268
QUE001371_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.241424,-90.302268
QUE001372_mac,mac,0.916518,0.083442,1e-05,1e-05,1e-05,1e-05,43.264793,-90.303891
QUE001375_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,43.240287,-90.302314
QUE001386_bic,bic,1e-05,1.7e-05,1e-05,0.999943,1e-05,1e-05,43.264793,-90.303891
QUE001487_mac,mac,0.838208,0.161752,1e-05,1e-05,1e-05,1e-05,41.721525,-87.86057
QUE001526_mac,mac,0.704544,0.268205,1e-05,0.027221,1e-05,1e-05,41.724335,-87.859901
QUE001527_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.726608,-87.866086
QUE001528_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.7258,-87.865461
QUE001529_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,41.725382,-87.86371
QUE001530_mac,mac,0.905509,0.094451,1e-05,1e-05,1e-05,1e-05,41.725689,-87.862598
QUE001532_mac,mac,0.838891,0.159475,1e-05,0.001604,1e-05,1e-05,41.718072,-87.866357
QUE001533_mac,mac,0.818455,0.181505,1e-05,1e-05,1e-05,1e-05,41.71809,-87.866302
QUE001534_bic,bic,1e-05,1.7e-05,1e-05,0.999943,1e-05,1e-05,41.718213,-87.866311
QUE001536_mac,mac,0.670614,0.304042,1e-05,0.018505,0.00122,0.005608,41.72124,-87.866644
QUE001537_bic,bic,0.050548,1e-05,1e-05,0.949412,1e-05,1e-05,42.183259,-87.914855
QUE001538_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.183259,-87.914855
QUE001539_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.183259,-87.914855
QUE001541_mac,mac,0.897651,0.102309,1e-05,1e-05,1e-05,1e-05,42.183917,-87.91512
QUE001542_mac,mac,0.889331,0.110629,1e-05,1e-05,1e-05,1e-05,42.183917,-87.91512
QUE001543_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.184283,-87.914622
QUE001545_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.184204,-87.913637
QUE001547_mac,mac,0.916025,0.083935,1e-05,1e-05,1e-05,1e-05,42.183468,-87.9143
QUE001548_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,42.183468,-87.9143
QUE001549_mac,mac,0.980062,1e-05,1e-05,0.019898,1e-05,1e-05,42.181511,-87.918994
QUE001463_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,34.933333,-92.414722
QUE001451_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,30.076389,-97.181667
QUE001452_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,30.076389,-97.181667
QUE001550_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.177593,-87.920503
QUE001551_mac,mac,0.992401,1e-05,1e-05,0.007559,1e-05,1e-05,42.17597,-87.91698
QUE001552_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.17597,-87.91698
QUE001553_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.174555,-87.912008
QUE001554_mac,mac,0.79694,0.188616,1e-05,0.014415,1e-05,1e-05,42.175674,-87.914878
QUE001555_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,42.175536,-87.914478
QUE001556_mac,mac,0.727881,0.24056,1e-05,0.020058,1e-05,0.01148,42.175701,-87.914442
QUE001388_bic,bic,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,43.264793,-90.303891
QUE001400_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,32.3582421,-89.547185
QUE001403_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,32.3582421,-89.547185
QUE001406_ste,ste,1e-05,1e-05,1.6e-05,1e-05,0.999944,1e-05,32.3582421,-89.547185
QUE001408_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,32.3582421,-89.547185
