collection_number,specimen_code,current_determination,hybrid_class,mac1_frac,mac2_frac,alb_frac,bic_frac,ste_frac,mue_frac
MN_FS_110,QUE002637,Q. macrocarpa,Unadmixed,0.993686,1e-05,1e-05,1e-05,1e-05,0.006274
MN_FS_104,QUE002631,Q. macrocarpa,Unadmixed,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
MN_JCH_111,QUE002647,Q. macrocarpa,Unadmixed,0.90318,0.09678,1e-05,1e-05,1e-05,1e-05
IA_101,QUE002613,Q. macrocarpa,Unadmixed,0.913097,0.079213,1e-05,1e-05,1e-05,0.007659
IA_102,QUE002614,Q. macrocarpa,Unadmixed,0.804168,0.188877,1e-05,0.006925,1e-05,1e-05
IA_104,QUE002616,Q. macrocarpa,Unadmixed,0.763666,0.236294,1e-05,1e-05,1e-05,1e-05
IA_105,QUE002617,Q. macrocarpa,Unadmixed,0.902489,0.097471,1e-05,1e-05,1e-05,1e-05
MN_SL_112,QUE002599,Q. macrocarpa,Unadmixed,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
MN_FS_101,QUE002628,Q. macrocarpa,Unadmixed,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
MN_CDR_102,QUE002601,Q. macrocarpa,Unadmixed,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
MN_JCH_101,QUE002638,Q. macrocarpa,Unadmixed,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
IA_103,QUE002615,Q. macrocarpa,Unadmixed,0.882803,0.107523,0.009644,1e-05,1e-05,1e-05
MN_SL_108,QUE002595,Q. macrocarpa,Unadmixed,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
MN_FS_107,QUE002634,Q. macrocarpa,Unadmixed,0.960077,0.033841,0.006052,1e-05,1e-05,1e-05
MN_SL_101,QUE002590,Q. macrocarpa,Unadmixed,0.990673,1e-05,1e-05,1e-05,1e-05,0.009287
MN_CDR_109,QUE002608,Q. macrocarpa,Unadmixed,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05
MN_JCH_105,QUE002641,Q. macrocarpa,Unadmixed,0.999945,1e-05,1e-05,1.3e-05,1e-05,1.2e-05
IL-LAKESTOREY-NS2,QUE001334,Q. macrocarpa,Unadmixed,0.516095,0.472507,0.008593,1e-05,1e-05,0.002785
IL-LAKESTOREY-NS5,QUE001337,Q. macrocarpa,Unadmixed,0.360978,0.638982,1e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS6,QUE001338,Q. macrocarpa,Unadmixed,0.602136,0.397824,1e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS7,QUE001339,Q. macrocarpa,Unadmixed,0.550471,0.449489,1e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS10,QUE001342,Q. macrocarpa,Unadmixed,0.523104,0.476856,1e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS11,QUE001343,Q. macrocarpa,Unadmixed,0.768679,0.231128,1e-05,0.000164,1e-05,1e-05
IL-LAKESTOREY-NS12,QUE001344,Q. macrocarpa,F1,0.291972,0.185469,0.522528,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS13,QUE001345,Q. macrocarpa,Unadmixed,0.631292,0.368668,1e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS14,QUE001346,Q. macrocarpa,Unadmixed,0.858472,0.141488,1e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS15,QUE001347,Q. macrocarpa,Unadmixed,0.460487,0.530065,1e-05,0.009419,1e-05,1e-05
IL-LAKESTOREY-NS16,QUE001348,Q. macrocarpa,Unadmixed,0.555077,0.439792,1e-05,0.005101,1e-05,1e-05
IL-LAKESTOREY-NS18,QUE001350,Q. macrocarpa,Unadmixed,0.578947,0.421009,1.4e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS19,QUE001351,Q. macrocarpa,Unadmixed,0.646082,0.353878,1e-05,1e-05,1e-05,1e-05
IL-LAKESTOREY-NS20,QUE001352,Q. macrocarpa,Unadmixed,0.603149,0.375491,1e-05,0.02133,1e-05,1e-05
IL-PPWS-NS2,QUE001354,Q. bicolor,Unadmixed,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
IL-PPWS-NS3,QUE001355,Q. bicolor,Unadmixed,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
IL-PPWS-NS4,QUE001356,Q. bicolor,Unadmixed,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
IL-PPWS-NS5,QUE001357,Q. bicolor,Unadmixed,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
IL-PPWS-NS8,QUE001360,Q. bicolor,Unadmixed,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
WI-PINERIVER-NS6,QUE001366,Q. bicolor,Unadmixed,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
WI-PINERIVER-NS8,QUE001368,Q. bicolor,Unadmixed,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05
