ind_ID spp Pure_alb Pure_bic F1 F2 Bx1_alb Bx1_bic Bx2_alb Bx2_bic Bx3_alb Bx3_bic
QUE001354_bic bic 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE001355_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001356_bic bic 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001357_bic bic 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001360_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001366_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001368_bic bic 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001375_bic bic 0 1 0 0 0 0 0 0 0 0
QUE001386_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001527_bic bic 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE001528_bic bic 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE001529_bic bic 0 1 0 0 0 0 0 0 0 0
QUE001534_bic bic 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001538_bic bic 0 1 0 0 0 0 0 0 0 0
QUE001539_bic bic 0 1 0 0 0 0 0 0 0 0
QUE001543_bic bic 0 1 0 0 0 0 0 0 0 0
QUE001545_bic bic 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001463_alb alb 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001550_bic bic 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001552_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001553_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001555_bic bic 0 0.99952 0 0 0 0 0 0 0 0.00048
QUE001388_bic bic 0 0.99789 0 0 0 0 0 1e-05 0 0.0021
QUE001758_alb alb 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001815_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE001918_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001932_alb alb 0.99976 0 0 0 0 0 0 0 0.00024 0
QUE002075_alb alb 0.9992 0 0 0 0 0 1e-05 0 8e-04 0
QUE002091_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002108_alb alb 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002121_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002138_alb alb 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE002196_bic bic 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002210_alb alb 0.99954 0 0 0 0 0 0 0 0.00046 0
