ind_ID spp Pure_alb Pure_mue F1 F2 Bx1_alb Bx1_mue Bx2_alb Bx2_mue Bx3_alb Bx3_mue
QUE001463_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001758_alb alb 0.99969 0 0 0 0 0 0 0 0.00031 0
QUE001815_alb alb 0.99967 0 0 0 0 0 0 0 0.00032 0
QUE001819_mue mue 0 0.99962 0 0 0 0 0 0 0 0.00038
QUE001840_mue mue 0 0.99893 0 0 0 0 0 1e-05 0 0.00106
QUE001893_mue mue 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE001918_alb alb 0.99979 0 0 0 0 0 0 0 0.00021 0
QUE001932_alb alb 0.99939 0 0 0 0 0 2e-05 0 0.00058 0
QUE002075_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002091_alb alb 0.99923 0 0 0 0 0 2e-05 0 0.00075 0
QUE002098_mue mue 0 0.99984 0 0 0 0 0 0 0 0.00016
QUE002108_alb alb 0.99969 0 0 0 0 0 0 0 0.00031 0
QUE002121_alb alb 0.99958 0 0 0 0 0 0 0 0.00042 0
QUE002138_alb alb 0.99988 0 0 0 0 0 0 0 0.00012 0
QUE002189_mue mue 0 1 0 0 0 0 0 0 0 0
QUE002210_alb alb 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE002247_mue mue 0 0.99913 0 0 0 0 0 1e-05 0 0.00086
QUE002253_alb alb 0.99957 0 0 0 0 0 0 0 0.00042 0
QUE002285_mue mue 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002303_mue mue 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002337_alb alb 0.9996 0 0 0 0 0 0 0 0.00039 0
QUE002355_alb alb 0.99905 0 0 0 0 0 1e-05 0 0.00094 0
QUE002399_alb alb 0.99955 0 0 0 0 0 1e-05 0 0.00044 0
QUE002481_mue mue 0 1 0 0 0 0 0 0 0 0
QUE002493_alb alb 0.99704 0 0 0 0 0 1e-04 0 0.00285 0
QUE002526_alb alb 0.99956 0 0 0 0 0 1e-05 0 0.00043 0
QUE002535_alb alb 0.99963 0 0 0 0 0 0 0 0.00037 0
QUE002370_alb alb 0.99973 0 0 0 0 0 0 0 0.00027 0
QUE002375_alb alb 0.72665 0 0 0 0.00166 0 0.16045 0 0.11124 0
QUE001846_alb alb 0.9984 0 0 0 0 0 0.00011 0 0.00149 0
QUE001930_mue mue 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001938_mue mue 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001943_alb alb 0.9974 0 0 0 0 0 0.00019 0 0.00241 0
QUE002099_mue mue 0 0 0.99998 0 2e-05 0 0 0 0 0
QUE002109_alb alb 0.99795 0 0 0 0 0 9e-05 0 0.00196 0
QUE002124_alb alb 0.99969 0 0 0 0 0 0 0 0.00031 0
QUE002128_alb alb 0.99888 0 0 0 0 0 3e-05 0 0.00109 0
QUE002176_alb alb 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002216_alb alb 0.99989 0 0 0 0 0 0 0 1e-04 0
QUE002225_alb alb 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE002226_mue mue 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002232_alb alb 0.99989 0 0 0 0 0 0 0 0.00011 0
QUE002261_alb alb 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002267_mue mue 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002269_alb alb 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002275_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002290_mue mue 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002310_mue mue 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002313_alb alb 0.99966 0 0 0 0 0 0 0 0.00034 0
QUE002314_alb alb 0.99224 0 0 0 0 0 0.00071 0 0.00705 0
QUE002315_alb alb 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002319_alb alb 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE002324_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002339_alb alb 0.99991 0 0 0 0 0 0 0 9e-05 0
QUE002342_alb alb 0.99846 0 0 0 0 0 3e-05 0 0.00152 0
QUE002346_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002351_alb alb 0.99828 0 0 0 0 0 4e-05 0 0.00168 0
QUE002362_alb alb 0.9995 0 0 0 0 0 0 0 5e-04 0
QUE002383_alb alb 0.99971 0 0 0 0 0 0 0 0.00028 0
QUE002392_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002410_alb alb 0.99852 0 0 0 0 0 4e-05 0 0.00144 0
QUE002416_alb alb 0.99934 0 0 0 0 0 3e-05 0 0.00063 0
QUE002422_alb alb 0.99832 0 0 0 0 0 5e-05 0 0.00162 0
QUE002484_mue mue 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002487_alb alb 0.99956 0 0 0 0 0 0 0 0.00043 0
QUE002488_mue mue 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002494_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002495_alb alb 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE002503_alb alb 0.99987 0 0 0 0 0 0 0 0.00013 0
QUE002511_alb alb 0.99539 0 0 0 0 0 0.00032 0 0.00428 0
QUE002522_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002534_alb alb 0.99991 0 0 0 0 0 0 0 8e-05 0
QUE002544_alb alb 0.9999 0 0 0 0 0 0 0 1e-04 0
