ind_ID spp Pure_ste Pure_alb F1 F2 Bx1_ste Bx1_alb Bx2_ste Bx2_alb Bx3_ste Bx3_alb
QUE001463_alb alb 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001451_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001452_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001400_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001403_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001406_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001408_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001409_ste ste 1 0 0 0 0 0 0 0 0 0
QUE001410_ste ste 1 0 0 0 0 0 0 0 0 0
QUE001411_ste ste 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE001412_ste ste 0.99965 0 0 0 0 0 0 0 0.00035 0
QUE001758_alb alb 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE001815_alb alb 0 1 0 0 0 0 0 0 0 0
QUE001839_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001862_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001918_alb alb 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001932_alb alb 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE002075_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002091_alb alb 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002108_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002121_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002138_alb alb 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002188_ste ste 0.99818 0 0 0 0 0 1e-05 0 0.00181 0
QUE002209_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002210_alb alb 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002219_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002252_ste ste 0.99908 0 0 0 0 0 0 0 0.00092 0
QUE002253_alb alb 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002337_alb alb 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002355_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002399_alb alb 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002493_alb alb 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002526_alb alb 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002535_alb alb 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE002370_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002375_alb alb 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001846_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001943_alb alb 0 1 0 0 0 0 0 0 0 0
QUE002109_alb alb 0 0.99783 0 0 0 0 0 7e-05 0 0.00209
QUE002124_alb alb 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002128_alb alb 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002176_alb alb 0 0.99996 0 0 0 0 0 0 0 3e-05
QUE002180_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002195_ste ste 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE002216_alb alb 0 1 0 0 0 0 0 0 0 0
QUE002225_alb alb 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002229_ste ste 0.99967 0 0 0 0 0 0 0 0.00033 0
QUE002232_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002240_ste ste 1 0 0 0 0 0 0 0 0 0
QUE002261_alb alb 0 0.99978 0 0 0 0 0 0 0 0.00022
QUE002269_alb alb 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE002275_alb alb 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE002313_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002314_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002315_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002319_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002324_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002339_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002342_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002346_alb alb 0 1 0 0 0 0 0 0 0 0
QUE002351_alb alb 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002362_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002383_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002392_alb alb 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002410_alb alb 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002416_alb alb 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002422_alb alb 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002487_alb alb 0 1 0 0 0 0 0 0 0 0
QUE002494_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002495_alb alb 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002503_alb alb 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002511_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002522_alb alb 0 0.99943 0 0 0 0 0 1e-05 0 0.00056
QUE002534_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002544_alb alb 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002555_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001654_alb alb 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001663_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
