ind_ID spp Pure_bic Pure_mue F1 F2 Bx1_bic Bx1_mue Bx2_bic Bx2_mue Bx3_bic Bx3_mue
QUE001354_bic bic 0.9987 0 0 0 0 0 3e-05 0 0.00126 0
QUE001355_bic bic 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE001356_bic bic 0.99275 0 0 0 0 0 0.00029 0 0.00696 0
QUE001357_bic bic 0.99965 0 0 0 0 0 0 0 0.00035 0
QUE001360_bic bic 0.9998 0 0 0 0 0 0 0 2e-04 0
QUE001366_bic bic 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001368_bic bic 0.99991 0 0 0 0 0 0 0 8e-05 0
QUE001375_bic bic 0.99968 0 0 0 0 0 0 0 0.00032 0
QUE001386_bic bic 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE001527_bic bic 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE001528_bic bic 0.99965 0 0 0 0 0 1e-05 0 0.00035 0
QUE001529_bic bic 0.99978 0 0 0 0 0 0 0 0.00022 0
QUE001534_bic bic 0.99986 0 0 0 0 0 0 0 0.00013 0
QUE001538_bic bic 0.99961 0 0 0 0 0 0 0 0.00038 0
QUE001539_bic bic 0.99991 0 0 0 0 0 0 0 9e-05 0
QUE001543_bic bic 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001545_bic bic 0.99946 0 0 0 0 0 1e-05 0 0.00053 0
QUE001550_bic bic 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE001552_bic bic 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE001553_bic bic 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE001555_bic bic 0.99812 0 0 0 0 0 4e-05 0 0.00183 0
QUE001388_bic bic 0.99987 0 0 0 0 0 0 0 0.00013 0
QUE001819_mue mue 0 0.99854 0 0 0 0 0 3e-05 0 0.00143
QUE001840_mue mue 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001893_mue mue 0 0.99938 0 0 0 0 0 1e-05 0 0.00061
QUE002098_mue mue 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002189_mue mue 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002196_bic bic 0.9998 0 0 0 0 0 0 0 2e-04 0
QUE002247_mue mue 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE002285_mue mue 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002303_mue mue 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002481_mue mue 0 0.98934 0 0 0 0 0 0.00049 0 0.01017
QUE002528_bic bic 0.99968 0 0 0 0 0 0 0 0.00031 0
QUE001930_mue mue 0 0.99951 0 0 0 0 0 0 0 0.00049
QUE001938_mue mue 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE002226_mue mue 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002267_mue mue 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE002290_mue mue 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002310_mue mue 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002484_mue mue 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE002488_mue mue 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002529_bic bic 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002531_bic bic 0.99989 0 0 0 0 0 0 0 0.00011 0
QUE002556_bic bic 0.99989 0 0 0 0 0 0 0 0.00011 0
QUE001649_mue mue 0 0.99968 0 0 0 0 0 0 0 0.00032
QUE001665_mue mue 0 0.95213 0 0 0 0 0 0.00514 0 0.04273
