ind_ID	Pure_0	Pure_1	F1	F2	P0_F1	P1_F1	P0_P0F1	P1_P1F1	P0_P0P0F1	P1_P1P1F1
QUE001354_bic	0.99870	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00126	0.00000
QUE001355_bic	0.99993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000
QUE001356_bic	0.99275	0.00000	0.00000	0.00000	0.00000	0.00000	0.00029	0.00000	0.00696	0.00000
QUE001357_bic	0.99965	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00035	0.00000
QUE001360_bic	0.99980	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000
QUE001366_bic	0.99998	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000
QUE001368_bic	0.99991	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000
QUE001375_bic	0.99968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00032	0.00000
QUE001386_bic	0.99993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000
QUE001527_bic	0.99993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000
QUE001528_bic	0.99965	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00035	0.00000
QUE001529_bic	0.99978	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00022	0.00000
QUE001534_bic	0.99986	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000
QUE001538_bic	0.99961	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00038	0.00000
QUE001539_bic	0.99991	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000
QUE001543_bic	0.99998	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000
QUE001545_bic	0.99946	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00053	0.00000
QUE001550_bic	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000
QUE001552_bic	0.99992	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000
QUE001553_bic	0.99995	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000
QUE001555_bic	0.99812	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.00183	0.00000
QUE001388_bic	0.99987	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000
QUE001819_mue	0.00000	0.99854	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00143
QUE001840_mue	0.00000	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006
QUE001893_mue	0.00000	0.99938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00061
QUE002098_mue	0.00000	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006
QUE002189_mue	0.00000	0.99995	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005
QUE002196_bic	0.99980	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000
QUE002247_mue	0.00000	0.99989	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011
QUE002285_mue	0.00000	0.99996	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004
QUE002303_mue	0.00000	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003
QUE002481_mue	0.00000	0.98934	0.00000	0.00000	0.00000	0.00000	0.00000	0.00049	0.00000	0.01017
QUE002528_bic	0.99968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00031	0.00000
QUE001930_mue	0.00000	0.99951	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00049
QUE001938_mue	0.00000	0.99990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010
QUE002226_mue	0.00000	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006
QUE002267_mue	0.00000	0.99986	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014
QUE002290_mue	0.00000	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003
QUE002310_mue	0.00000	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003
QUE002484_mue	0.00000	0.99988	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012
QUE002488_mue	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
QUE002529_bic	0.99996	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000
QUE002531_bic	0.99989	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000
QUE002556_bic	0.99989	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000
QUE001649_mue	0.00000	0.99968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00032
QUE001665_mue	0.00000	0.95213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00514	0.00000	0.04273
