ind_ID spp Pure_ste Pure_bic F1 F2 Bx1_ste Bx1_bic Bx2_ste Bx2_bic Bx3_ste Bx3_bic
QUE001354_bic bic 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001355_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001356_bic bic 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001357_bic bic 0 0.99977 0 0 0 0 0 0 0 0.00023
QUE001360_bic bic 0 0.99945 0 0 0 0 0 1e-05 0 0.00054
QUE001366_bic bic 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001368_bic bic 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001375_bic bic 0 0.99968 0 0 0 0 0 0 0 0.00032
QUE001386_bic bic 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001527_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001528_bic bic 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001529_bic bic 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001534_bic bic 0 0.99834 0 0 0 0 0 4e-05 0 0.00162
QUE001538_bic bic 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001539_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001543_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001545_bic bic 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001451_ste ste 0.99964 0 0 0 0 0 0 0 0.00036 0
QUE001452_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001550_bic bic 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001552_bic bic 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001553_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001555_bic bic 0 0.9995 0 0 0 0 0 0 0 0.00049
QUE001388_bic bic 0 0.99969 0 0 0 0 0 0 0 3e-04
QUE001400_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001403_ste ste 0.9999 0 0 0 0 0 0 0 1e-04 0
QUE001406_ste ste 0.99987 0 0 0 0 0 0 0 0.00013 0
QUE001408_ste ste 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE001409_ste ste 0.99878 0 0 0 0 0 1e-05 0 0.00121 0
QUE001410_ste ste 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE001411_ste ste 0.99954 0 0 0 0 0 0 0 0.00046 0
QUE001412_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001839_ste ste 0.99962 0 0 0 0 0 0 0 0.00038 0
QUE001862_ste ste 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002188_ste ste 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE002196_bic bic 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002209_ste ste 0.99988 0 0 0 0 0 0 0 0.00012 0
QUE002219_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002252_ste ste 0.97714 0 0 0 0 0 0.00109 0 0.02177 0
QUE002528_bic bic 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE002180_ste ste 1 0 0 0 0 0 0 0 0 0
QUE002195_ste ste 0.99977 0 0 0 0 0 0 0 0.00022 0
QUE002229_ste ste 0.99961 0 0 0 0 0 0 0 0.00039 0
QUE002240_ste ste 0.99988 0 0 0 0 0 0 0 0.00012 0
QUE002529_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002531_bic bic 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002556_bic bic 0 1 0 0 0 0 0 0 0 0
QUE001663_ste ste 0.99996 0 0 0 0 0 0 0 4e-05 0
