ind_ID spp Pure_alb Pure_mac F1 F2 Bx1_alb Bx1_mac Bx2_alb Bx2_mac Bx3_alb Bx3_mac
QUE002637_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002631_mac mac 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE002647_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002613_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002614_mac mac 0 0.9997 0 0 0 0 0 0 0 3e-04
QUE002616_mac mac 0 0.99976 0 0 0 0 0 0 0 0.00024
QUE002617_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002599_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002628_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002601_mac mac 0 0.99978 0 0 0 0 0 0 0 0.00022
QUE002638_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002615_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002595_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002634_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002590_mac mac 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE002608_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002641_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001334_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001337_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE001338_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001339_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001342_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE001343_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001344_mac mac 0 0 1 0 0 0 0 0 0 0
QUE001345_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001346_mac mac 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE001347_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001348_mac mac 0 0.99956 0 0 0 0 0 0 0 0.00044
QUE001350_mac mac 0 0.99624 0 0 0 0 0 1e-05 0 0.00375
QUE001351_mac mac 0 0.99961 0 0 0 0 0 0 0 0.00039
QUE001352_mac mac 0 0.99825 0 0 0 0 0 2e-05 0 0.00173
QUE001370_mac mac 0 0.99953 0 0 0 0 0 0 0 0.00046
QUE001371_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001372_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE001487_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001526_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001530_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001532_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001533_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001536_mac mac 0 0.99962 0 0 0 0 0 0 0 0.00038
QUE001541_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001542_mac mac 0 0.99971 0 0 0 0 0 0 0 0.00029
QUE001547_mac mac 0 0.99975 0 0 0 0 0 0 0 0.00025
QUE001548_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001549_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001463_alb alb 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE001551_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001554_mac mac 0 0.99984 0 0 0 0 0 0 0 0.00016
QUE001556_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE001758_alb alb 0.99933 0 0 0 0 0 0 0 0.00067 0
QUE001759_mac mac 0 0.99974 0 0 0 0 0 0 0 0.00025
QUE001804_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001814_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001815_alb alb 0.99978 0 0 0 0 0 0 0 0.00022 0
QUE001841_alb alb 0 0 0 0 0.00027 0 0.74614 0 0.25359 0
QUE001863_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001916_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001918_alb alb 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE001932_alb alb 0.99991 0 0 0 0 0 0 0 9e-05 0
QUE001933_mac mac 0 0.99813 0 0 0 0 0 1e-05 0 0.00186
QUE001783_mac mac 0 0.99937 0 0 0 0 0 0 0 0.00063
QUE001880_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001907_mac mac 0 0.99978 0 0 0 0 0 0 0 0.00022
QUE001937_mac mac 0 0.99979 0 0 0 0 0 0 0 0.00021
QUE001963_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001971_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
