ind_ID spp Pure_mac Pure_bic F1 F2 Bx1_mac Bx1_bic Bx2_mac Bx2_bic Bx3_mac Bx3_bic
QUE002637_mac mac 0.99636 0 0 0 0 0 0 0 0.00364 0
QUE002631_mac mac 0.9985 0 0 0 0 0 0 0 0.0015 0
QUE002647_mac mac 0.98285 0 0 0 0 0 2e-05 0 0.01713 0
QUE002613_mac mac 0.99689 0 0 0 0 0 0 0 0.00311 0
QUE002614_mac mac 0.99224 0 0 0 0 0 0 0 0.00776 0
QUE002616_mac mac 0.99607 0 0 0 0 0 0 0 0.00393 0
QUE002617_mac mac 0.99861 0 0 0 0 0 0 0 0.00139 0
QUE002599_mac mac 0.9995 0 0 0 0 0 0 0 5e-04 0
QUE002628_mac mac 0.99953 0 0 0 0 0 0 0 0.00047 0
QUE002601_mac mac 0.99872 0 0 0 0 0 0 0 0.00128 0
QUE002638_mac mac 0.9541 0 0 0 0 0 9e-05 0 0.0458 0
QUE002615_mac mac 0.99943 0 0 0 0 0 0 0 0.00057 0
QUE002595_mac mac 0.99715 0 0 0 0 0 0 0 0.00285 0
QUE002634_mac mac 0.95704 0 0 0 0 0 2e-05 0 0.04294 0
QUE002590_mac mac 0.99555 0 0 0 0 0 0 0 0.00444 0
QUE002608_mac mac 0.9997 0 0 0 0 0 0 0 3e-04 0
QUE002641_mac mac 0.99983 0 0 0 0 0 0 0 0.00017 0
QUE001334_mac mac 0.9985 0 0 0 0 0 0 0 0.0015 0
QUE001337_mac mac 0.99973 0 0 0 0 0 0 0 0.00027 0
QUE001338_mac mac 0.99678 0 0 0 0 0 0 0 0.00322 0
QUE001339_mac mac 0.99979 0 0 0 0 0 0 0 0.00021 0
QUE001342_mac mac 0.99521 0 0 0 0 0 0 0 0.00478 0
QUE001343_mac mac 0.99156 0 0 0 0 0 0 0 0.00844 0
QUE001345_mac mac 0.99758 0 0 0 0 0 0 0 0.00242 0
QUE001346_mac mac 0.99759 0 0 0 0 0 0 0 0.00241 0
QUE001347_mac mac 0.99414 0 0 0 0 0 0 0 0.00586 0
QUE001348_mac mac 0.98637 0 0 0 0 0 3e-05 0 0.0136 0
QUE001350_mac mac 0.99895 0 0 0 0 0 0 0 0.00105 0
QUE001351_mac mac 0.93871 0 0 0 0 0 0.00014 0 0.06116 0
QUE001352_mac mac 0.96723 0 0 0 0 0 1e-05 0 0.03276 0
QUE001354_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001355_bic bic 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE001356_bic bic 0 0.99939 0 0 0 0 0 0 0 0.00061
QUE001357_bic bic 0 0.99963 0 0 0 0 0 0 0 0.00037
QUE001360_bic bic 0 0.99611 0 0 0 0 0 2e-05 0 0.00386
QUE001366_bic bic 0 0.99971 0 0 0 0 0 0 0 0.00029
QUE001368_bic bic 0 0.99448 0 0 0 0 0 6e-05 0 0.00546
QUE001370_mac mac 0.99703 0 0 0 0 0 0 0 0.00297 0
QUE001371_mac mac 0.99899 0 0 0 0 0 0 0 0.00101 0
QUE001372_mac mac 0.99945 0 0 0 0 0 0 0 0.00055 0
QUE001375_bic bic 0 0.99379 0 0 0 0 0 3e-05 0 0.00619
QUE001386_bic bic 0 0.99819 0 0 0 0 0 0 0 0.00181
QUE001487_mac mac 0.99826 0 0 0 0 0 0 0 0.00174 0
QUE001526_mac mac 0.87173 0 0 0 0 0 0.00045 0 0.12782 0
QUE001527_bic bic 0 0.99639 0 0 0 0 0 3e-05 0 0.00358
QUE001528_bic bic 0 0.99967 0 0 0 0 0 0 0 0.00033
QUE001529_bic bic 0 0.99084 0 0 0 0 0 2e-05 0 0.00914
QUE001530_mac mac 0.97914 0 0 0 0 0 3e-05 0 0.02083 0
QUE001532_mac mac 0.95251 0 0 0 0 0 0.00018 0 0.04731 0
QUE001533_mac mac 0.99731 0 0 0 0 0 0 0 0.00269 0
QUE001534_bic bic 0 0.98674 0 0 0 0 0 7e-05 0 0.01318
QUE001536_mac mac 0.99983 0 0 0 0 0 0 0 0.00017 0
QUE001537_bic bic 0 0.95196 0 0 0 0 0 0.00018 0 0.04786
QUE001538_bic bic 0 0.99981 0 0 0 0 0 0 0 0.00019
QUE001539_bic bic 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001541_mac mac 0.98655 0 0 0 0 0 1e-05 0 0.01343 0
QUE001542_mac mac 0.98217 0 0 0 0 0 3e-05 0 0.01781 0
QUE001543_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001545_bic bic 0 0.99951 0 0 0 0 0 0 0 0.00049
QUE001547_mac mac 0.99941 0 0 0 0 0 0 0 0.00059 0
QUE001548_mac mac 0.99341 0 0 0 0 0 0 0 0.00659 0
QUE001549_mac mac 0.99779 0 0 0 0 0 0 0 0.00221 0
QUE001550_bic bic 0 0.94597 0 0 0 0 0 0.00152 0 0.05252
QUE001551_mac mac 0.99942 0 0 0 0 0 0 0 0.00058 0
QUE001552_bic bic 0 0.99859 0 0 0 0 0 0 0 0.00141
QUE001553_bic bic 0 0.99927 0 0 0 0 0 0 0 0.00073
QUE001554_mac mac 0.99115 0 0 0 0 0 0 0 0.00885 0
QUE001555_bic bic 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001556_mac mac 0.99941 0 0 0 0 0 0 0 0.00059 0
QUE001388_bic bic 0 0.97224 0 0 0 0 0 0.00011 0 0.02765
QUE001759_mac mac 0.99709 0 0 0 0 0 0 0 0.00291 0
QUE001804_mac mac 0.99975 0 0 0 0 0 0 0 0.00025 0
QUE001814_mac mac 0.99951 0 0 0 0 0 0 0 0.00049 0
QUE001863_mac mac 0.99914 0 0 0 0 0 0 0 0.00086 0
QUE001916_mac mac 0.99698 0 0 0 0 0 0 0 0.00302 0
QUE001933_mac mac 0.99875 0 0 0 0 0 0 0 0.00125 0
QUE001783_mac mac 0.9991 0 0 0 0 0 0 0 9e-04 0
QUE001880_mac mac 0.99361 0 0 0 0 0 0 0 0.00638 0
QUE001907_mac mac 0.99292 0 0 0 0 0 0 0 0.00708 0
QUE001937_mac mac 0.89107 0 0 0 0 0 0.00014 0 0.10879 0
QUE001963_mac mac 0.99987 0 0 0 0 0 0 0 0.00013 0
QUE001971_mac mac 0.99959 0 0 0 0 0 0 0 0.00041 0
QUE001982_mac mac 0.98813 0 0 0 0 0 0 0 0.01187 0
QUE002057_mac mac 0.99946 0 0 0 0 0 0 0 0.00054 0
QUE002074_mac mac 0.89357 0 0 0 0 0 7e-05 0 0.10636 0
QUE002081_mac mac 0.99856 0 0 0 0 0 0 0 0.00144 0
QUE002082_mac mac 0.99204 0 0 0 0 0 0 0 0.00796 0
QUE002085_mac mac 0.99723 0 0 0 0 0 0 0 0.00277 0
QUE002105_mac mac 0.92484 0 0 0 0 0 7e-05 0 0.07509 0
QUE002129_mac mac 0.99914 0 0 0 0 0 0 0 0.00086 0
QUE002133_mac mac 0.8245 0 0 0 0 0 0.00076 0 0.17473 0
QUE002154_mac mac 0.98974 0 0 0 0 0 0 0 0.01025 0
QUE002187_mac mac 0.99929 0 0 0 0 0 0 0 0.00071 0
QUE002196_bic bic 0 0.99974 0 0 0 0 0 0 0 0.00026
QUE002251_mac mac 0.98921 0 0 0 0 0 1e-05 0 0.01079 0
QUE002302_mac mac 0.98188 0 0 0 0 0 1e-05 0 0.01811 0
QUE002304_mac mac 0.99977 0 0 0 0 0 0 0 0.00023 0
QUE002326_mac mac 0 0 0.99749 0.00246 4e-05 0 0 0 0 0
QUE002336_mac mac 0.99864 0 0 0 0 0 0 0 0.00136 0
QUE002361_bic bic 0 0 1 0 0 0 0 0 0 0
QUE002367_mac mac 0.99948 0 0 0 0 0 0 0 0.00052 0
QUE002400_mac mac 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE002424_mac mac 0.99948 0 0 0 0 0 0 0 0.00052 0
QUE002471_mac mac 0.98894 0 0 0 0 0 1e-05 0 0.01105 0
QUE002480_mac mac 0.69265 0 0 0 0 0 0.00556 0 0.30178 0
QUE002528_bic bic 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002579_mac mac 0.96127 0 0 0 0 0 4e-05 0 0.0387 0
QUE002364_mac mac 0.99987 0 0 0 0 0 0 0 0.00013 0
QUE002369_mac mac 0.99663 0 0 0 0 0 0 0 0.00337 0
QUE002371_mac mac 0.99836 0 0 0 0 0 0 0 0.00164 0
QUE002373_mac mac 0.99709 0 0 0 0 0 0 0 0.00291 0
QUE002374_mac mac 0.96831 0 0 0 0 0 1e-04 0 0.03158 0
QUE001610_mac mac 0.97041 0 0 0 0 0 3e-05 0 0.02956 0
QUE001796_mac mac 0.99747 0 0 0 0 0 0 0 0.00253 0
QUE001878_mac mac 0.79807 0 0 0 3e-05 0 0.00618 0 0.19572 0
QUE001882_mac mac 0.75275 0 0 0 1e-04 0 0.00922 0 0.23792 0
QUE001900_mac mac 0.99888 0 0 0 0 0 0 0 0.00112 0
QUE001904_mac mac 0.98907 0 0 0 0 0 1e-05 0 0.01092 0
QUE001912_mac mac 0.71231 0 0 0 6e-05 0 0.00848 0 0.27915 0
QUE001924_mac mac 0.82214 0 0 0 0 0 0.00095 0 0.17691 0
QUE001928_mac mac 0.99916 0 0 0 0 0 0 0 0.00084 0
QUE001929_mac mac 0.9441 0 0 0 0 0 0.00019 0 0.05571 0
QUE001936_mac mac 0.99936 0 0 0 0 0 0 0 0.00064 0
QUE001959_mac mac 0.9914 0 0 0 0 0 0 0 0.0086 0
QUE001969_mac mac 0.99968 0 0 0 0 0 0 0 0.00032 0
QUE001980_mac mac 0.99882 0 0 0 0 0 0 0 0.00118 0
QUE001985_mac mac 0.99935 0 0 0 0 0 0 0 0.00065 0
QUE002058_mac mac 0.99016 0 0 0 0 0 0 0 0.00984 0
QUE002068_mac mac 0.98632 0 0 0 0 0 1e-05 0 0.01367 0
QUE002069_mac mac 0.99644 0 0 0 0 0 0 0 0.00356 0
QUE002072_mac mac 0.98529 0 0 0 0 0 0 0 0.01471 0
QUE002073_mac mac 0.99263 0 0 0 0 0 1e-05 0 0.00736 0
QUE002076_mac mac 0.99976 0 0 0 0 0 0 0 0.00024 0
QUE002083_mac mac 0.99531 0 0 0 0 0 0 0 0.00469 0
QUE002084_mac mac 0.99045 0 0 0 0 0 1e-05 0 0.00954 0
QUE002087_mac mac 0.99374 0 0 0 0 0 1e-05 0 0.00626 0
QUE002096_mac mac 0.97686 0 0 0 0 0 5e-05 0 0.0231 0
QUE002110_mac mac 0.99974 0 0 0 0 0 0 0 0.00026 0
QUE002114_mac mac 0.99955 0 0 0 0 0 0 0 0.00045 0
QUE002119_mac mac 0.99771 0 0 0 0 0 0 0 0.00229 0
QUE002132_mac mac 0 0 0.0197 0.98026 4e-05 0 0 0 0 0
