ind_ID spp Pure_mue Pure_mac F1 F2 Bx1_mue Bx1_mac Bx2_mue Bx2_mac Bx3_mue Bx3_mac
QUE002637_mac mac 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE002631_mac mac 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE002647_mac mac 0 0.98978 0 0 0 0 0 0.00011 0 0.01011
QUE002613_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002614_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002616_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002617_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002599_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002628_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002601_mac mac 0 0.99975 0 0 0 0 0 0 0 0.00025
QUE002638_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE002615_mac mac 0 0.99911 0 0 0 0 0 0 0 0.00089
QUE002595_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002634_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002590_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002608_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002641_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001334_mac mac 0 0.99981 0 0 0 0 0 0 0 0.00019
QUE001337_mac mac 0 0.99831 0 0 0 0 0 1e-05 0 0.00168
QUE001338_mac mac 0 0.99947 0 0 0 0 0 0 0 0.00052
QUE001339_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001342_mac mac 0 0.99574 0 0 0 0 0 3e-05 0 0.00423
QUE001343_mac mac 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE001345_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001346_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001347_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001348_mac mac 0 0.99979 0 0 0 0 0 0 0 0.00021
QUE001350_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001351_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001352_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001370_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001371_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001372_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001487_mac mac 0 0.9973 0 0 0 0 0 3e-05 0 0.00268
QUE001526_mac mac 0 0.9984 0 0 0 0 0 2e-05 0 0.00158
QUE001530_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE001532_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001533_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE001536_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001541_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001542_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001547_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001548_mac mac 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE001549_mac mac 0 0.99924 0 0 0 0 0 0 0 0.00076
QUE001551_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001554_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001556_mac mac 0 0.97326 0 0 0 0 0 0.00013 0 0.02661
QUE001759_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001804_mac mac 0 0.87503 0 0 0 0 0 0.00655 0 0.11842
QUE001814_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001819_mue mue 0.99976 0 0 0 0 0 0 0 0.00024 0
QUE001840_mue mue 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001863_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001893_mue mue 0.99986 0 0 0 0 0 0 0 0.00014 0
QUE001916_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001933_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE001783_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001880_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001907_mac mac 0 0.99958 0 0 0 0 0 0 0 0.00042
QUE001937_mac mac 0 0.99979 0 0 0 0 0 0 0 0.00021
QUE001963_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001971_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001982_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002057_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002074_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002081_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002082_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002085_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002098_mue mue 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002105_mac mac 0 0.99632 0 0 0 0 0 6e-05 0 0.00362
QUE002129_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002154_mac mac 0 0.99984 0 0 0 0 0 0 0 0.00016
QUE002187_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002189_mue mue 1 0 0 0 0 0 0 0 0 0
QUE002247_mue mue 0.99732 0 0 0 0 0 2e-05 0 0.00266 0
QUE002251_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002285_mue mue 0.99789 0 0 0 0 0 0 0 0.00211 0
QUE002302_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002303_mue mue 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002304_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002336_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002367_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002400_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002424_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002471_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002480_mac mac 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE002481_mue mue 0.99984 0 0 0 0 0 0 0 0.00016 0
QUE002579_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002364_mac mac 0 0.99868 0 0 0 0 0 0 0 0.00132
QUE002369_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE002371_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002373_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002374_mac mac 0 0.99841 0 0 0 0 0 2e-05 0 0.00157
QUE001610_mac mac 0 0.99919 0 0 0 0 0 1e-05 0 8e-04
QUE001796_mac mac 0 0.99909 0 0 0 0 0 0 0 0.00091
QUE001878_mac mac 0 0.99303 0 0 0 0 0 0.00063 0 0.00633
QUE001886_mac mac 0 0 1 0 0 0 0 0 0 0
QUE001898_mue mue 0 0 1 0 0 0 0 0 0 0
QUE001900_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001904_mac mac 0 0.9957 0 0 0 0 0 6e-05 0 0.00423
QUE001912_mac mac 0 0.99984 0 0 0 0 0 0 0 0.00016
QUE001924_mac mac 0 0.99804 0 0 0 0 0 1e-05 0 0.00195
QUE001928_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001929_mac mac 0 0.9997 0 0 0 0 0 0 0 3e-04
QUE001930_mue mue 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE001936_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001938_mue mue 0.9981 0 0 0 0 0 2e-05 0 0.00189 0
QUE001959_mac mac 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE001969_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001980_mac mac 0 0.99287 0 0 0 0 0 4e-05 0 0.00709
QUE001985_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002058_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002068_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE002069_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002072_mac mac 0 1 0 0 0 0 0 0 0 0
