ind_ID spp Pure_ste Pure_mac F1 F2 Bx1_ste Bx1_mac Bx2_ste Bx2_mac Bx3_ste Bx3_mac
QUE002637_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002631_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002647_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002613_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002614_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002616_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002617_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002599_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002628_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002601_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002638_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002615_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002595_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002634_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002590_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002608_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002641_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001334_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001337_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001338_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001339_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001342_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001343_mac mac 0 0.99974 0 0 0 0 0 0 0 0.00025
QUE001345_mac mac 0 0.9996 0 0 0 0 0 0 0 0.00039
QUE001346_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001347_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001348_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001350_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001351_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001352_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001370_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001371_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001372_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001487_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001526_mac mac 0 0.99946 0 0 0 0 0 0 0 0.00053
QUE001530_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001532_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001533_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001536_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE001541_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001542_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001547_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001548_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001549_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001451_ste ste 0.99783 0 0 0 0 0 0 0 0.00217 0
QUE001452_ste ste 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE001551_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001554_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001556_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001400_ste ste 0.99981 0 0 0 0 0 0 0 0.00019 0
QUE001403_ste ste 0.99985 0 0 0 0 0 0 0 0.00015 0
QUE001406_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001408_ste ste 0.99974 0 0 0 0 0 0 0 0.00026 0
QUE001409_ste ste 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE001410_ste ste 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE001411_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001412_ste ste 0.99975 0 0 0 0 0 0 0 0.00025 0
QUE001759_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001804_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001814_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001839_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001862_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE001863_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001916_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001933_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001783_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001880_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001907_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001937_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001963_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001971_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001982_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002057_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002074_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002081_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002082_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002085_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002105_mac mac 0 0.99694 0 0 0 0 0 0.00017 0 0.00289
QUE002129_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002154_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002187_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002188_ste ste 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE002209_ste ste 0.99984 0 0 0 0 0 0 0 0.00016 0
QUE002219_ste ste 0.99988 0 0 0 0 0 0 0 0.00012 0
QUE002251_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002252_ste ste 0.60746 0 0 0 0 0 0.0084 0 0.38413 0
QUE002302_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002304_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002336_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002367_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002400_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002424_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002471_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002480_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002579_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002364_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002369_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002371_mac mac 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE002373_mac mac 0 0.99945 0 0 0 0 0 0 0 0.00055
QUE002374_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001610_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE001796_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001871_ste ste 0 0 0 0 1e-05 0 0.54269 0 0.4573 0
QUE001877_ste ste 0 0 1 0 0 0 0 0 0 0
QUE001878_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001900_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001904_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001912_mac mac 0 0.99997 0 0 0 0 0 0 0 2e-05
QUE001923_ste ste 0 0 1 0 0 0 0 0 0 0
QUE001924_mac mac 0 0.99981 0 0 0 0 0 1e-05 0 0.00018
QUE001925_ste ste 0 0 1 0 0 0 0 0 0 0
QUE001928_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001929_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001936_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001959_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001969_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001980_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001985_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002058_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002068_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002069_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002072_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002073_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002076_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002083_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002084_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002087_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002096_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002110_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002114_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002119_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002135_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002136_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002148_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002151_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002159_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00013
QUE002160_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002161_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002166_mac mac 0 0.99969 0 0 0 0 0 0 0 0.00031
QUE002170_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002175_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002180_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002194_mac mac 0 0.99557 0 0 0 0 0 3e-05 0 0.0044
QUE002195_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002202_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002229_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002240_ste ste 0.99919 0 0 0 0 0 0 0 0.00081 0
QUE002256_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002265_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002268_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002291_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002299_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002338_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
