599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.00000	0.97946	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02049
2	0.00000	0.99794	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00206
3	0.00000	0.99029	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00969
4	0.00000	0.99539	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00461
5	0.00000	0.99762	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00237
6	0.00000	0.99766	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00234
7	0.00000	0.98876	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01121
8	0.00000	0.99940	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00060
9	0.00000	0.99839	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00161
10	0.00000	0.97560	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.02436
11	0.00000	0.97787	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.02206
12	0.00000	0.99949	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00051
13	0.00000	0.97937	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.02051
14	0.00000	0.99909	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00091
15	0.00000	0.99923	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00077
16	0.00000	0.99938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00062
17	0.00000	0.99540	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00459
18	0.99430	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00569	0.00000
19	0.00000	0.98189	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01807
20	0.00000	0.99817	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00183
21	0.00000	0.99851	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00149
22	0.00000	0.93413	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.06574
23	0.00000	0.81415	0.00000	0.00000	0.00000	0.00000	0.00000	0.00072	0.00000	0.18513
24	0.99074	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00924	0.00000
25	0.98301	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01696	0.00000
26	0.98857	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01139	0.00000
27	0.90426	0.00000	0.00000	0.00000	0.00000	0.00000	0.00203	0.00000	0.09371	0.00000
28	0.80490	0.00000	0.00000	0.00000	0.00000	0.00000	0.00225	0.00000	0.19285	0.00000
29	0.98652	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01344	0.00000
30	0.99538	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00461	0.00000
31	0.98543	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01452	0.00000
32	0.97856	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.02134	0.00000
33	0.00000	0.99083	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00915
34	0.84852	0.00000	0.00000	0.00000	0.00000	0.00000	0.00193	0.00000	0.14955	0.00000
35	0.98084	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.01907	0.00000
36	0.99958	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00042	0.00000
37	0.98736	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01262	0.00000
38	0.99230	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00769	0.00000
39	0.76774	0.00000	0.00000	0.00000	0.00000	0.00000	0.00984	0.00000	0.22242	0.00000
40	0.97668	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.02321	0.00000
41	0.00000	0.94713	0.00000	0.00000	0.00000	0.00000	0.00000	0.00031	0.00000	0.05256
42	0.99496	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00503	0.00000
43	0.96607	0.00000	0.00000	0.00000	0.00000	0.00000	0.00031	0.00000	0.03361	0.00000
44	0.40909	0.00000	0.00000	0.00000	0.00000	0.00000	0.02848	0.00000	0.56243	0.00000
45	0.99212	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00785	0.00000
46	0.93269	0.00000	0.00000	0.00000	0.00000	0.00000	0.00083	0.00000	0.06648	0.00000
47	0.92512	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.00000	0.07438	0.00000
48	0.98406	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.01589	0.00000
49	0.98885	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01112	0.00000
50	0.99551	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00449	0.00000
51	0.77915	0.00000	0.00000	0.00000	0.00000	0.00000	0.01078	0.00000	0.21007	0.00000
52	0.98774	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01222	0.00000
53	0.93724	0.00000	0.00000	0.00000	0.00000	0.00000	0.00065	0.00000	0.06211	0.00000
54	0.92708	0.00000	0.00000	0.00000	0.00000	0.00000	0.00086	0.00000	0.07206	0.00000
55	0.99653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00347	0.00000
56	0.99098	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00900	0.00000
57	0.99604	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00396	0.00000
58	0.95511	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.04460	0.00000
59	0.97846	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.02147	0.00000
60	0.99318	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00681	0.00000
61	0.94802	0.00000	0.00000	0.00000	0.00000	0.00000	0.00022	0.00000	0.05177	0.00000
62	0.99545	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00454	0.00000
63	0.92243	0.00000	0.00000	0.00000	0.00000	0.00000	0.00037	0.00000	0.07719	0.00000
64	0.99231	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00768	0.00000
65	0.78748	0.00000	0.00000	0.00000	0.00000	0.00000	0.00136	0.00000	0.21116	0.00000
66	0.99734	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00265	0.00000
67	0.99360	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00639	0.00000
68	0.33442	0.00000	0.00000	0.00000	0.00000	0.00000	0.04775	0.00000	0.61783	0.00000
69	0.97425	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.02567	0.00000
70	0.98823	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01174	0.00000
71	0.97443	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.02547	0.00000
72	0.65985	0.00000	0.00000	0.00000	0.00000	0.00000	0.00882	0.00000	0.33133	0.00000
73	0.99384	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00615	0.00000
74	0.98637	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01358	0.00000
75	0.98939	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01059	0.00000
76	0.90310	0.00000	0.00000	0.00000	0.00000	0.00000	0.00048	0.00000	0.09642	0.00000
77	0.97134	0.00000	0.00000	0.00000	0.00000	0.00000	0.00024	0.00000	0.02842	0.00000
78	0.00000	0.99644	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00356
79	0.00000	0.98736	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01261
80	0.99448	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00551	0.00000
81	0.98049	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.01944	0.00000
82	0.98084	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01912	0.00000
83	0.00000	0.98589	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01408
84	0.99159	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00840	0.00000
