599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.99238	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00760	0.00000
2	0.93615	0.00000	0.00000	0.00000	0.00000	0.00000	0.00072	0.00000	0.06314	0.00000
3	0.93397	0.00000	0.00000	0.00000	0.00000	0.00000	0.00077	0.00000	0.06526	0.00000
4	0.00000	0.95074	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027	0.00000	0.04899
5	0.00000	0.90270	0.00000	0.00000	0.00000	0.00000	0.00000	0.00049	0.00000	0.09680
6	0.00000	0.97396	0.00000	0.00000	0.00000	0.00000	0.00000	0.00024	0.00000	0.02580
7	0.95649	0.00000	0.00000	0.00000	0.00000	0.00000	0.00045	0.00000	0.04306	0.00000
8	0.88233	0.00000	0.00000	0.00000	0.00000	0.00000	0.00409	0.00000	0.11358	0.00000
9	0.99182	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00816	0.00000
10	0.86158	0.00000	0.00000	0.00000	0.00000	0.00000	0.00286	0.00000	0.13556	0.00000
11	0.00000	0.97607	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02388
12	0.93836	0.00000	0.00000	0.00000	0.00000	0.00000	0.00058	0.00000	0.06107	0.00000
13	0.93146	0.00000	0.00000	0.00000	0.00000	0.00000	0.00038	0.00000	0.06816	0.00000
14	0.97422	0.00000	0.00000	0.00000	0.00000	0.00000	0.00018	0.00000	0.02560	0.00000
15	0.00000	0.99953	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00047
16	0.98966	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01031	0.00000
17	0.00000	0.91761	0.00000	0.00000	0.00000	0.00000	0.00000	0.00057	0.00000	0.08182
18	0.93052	0.00000	0.00000	0.00000	0.00000	0.00000	0.00043	0.00000	0.06905	0.00000
19	0.00000	0.98877	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01122
20	0.00000	0.99294	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00706
21	0.93792	0.00000	0.00000	0.00000	0.00000	0.00000	0.00017	0.00000	0.06191	0.00000
22	0.87595	0.00000	0.00000	0.00000	0.00000	0.00000	0.00082	0.00000	0.12323	0.00000
23	0.92936	0.00000	0.00000	0.00000	0.00000	0.00000	0.00059	0.00000	0.07005	0.00000
24	0.00000	0.99927	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00073
25	0.71606	0.00000	0.00000	0.00000	0.00000	0.00000	0.00859	0.00000	0.27535	0.00000
26	0.91334	0.00000	0.00000	0.00000	0.00000	0.00000	0.00186	0.00000	0.08480	0.00000
27	0.92812	0.00000	0.00000	0.00000	0.00000	0.00000	0.00074	0.00000	0.07115	0.00000
28	0.94393	0.00000	0.00000	0.00000	0.00000	0.00000	0.00083	0.00000	0.05524	0.00000
29	0.01971	0.00000	0.00000	0.00000	0.00406	0.00000	0.52988	0.00000	0.44635	0.00000
30	0.78843	0.00000	0.00000	0.00000	0.00000	0.00000	0.01276	0.00000	0.19881	0.00000
31	0.00000	0.99466	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00534
32	0.00000	0.99675	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00324
33	0.67692	0.00000	0.00000	0.00000	0.00000	0.00000	0.01994	0.00000	0.30314	0.00000
34	0.00000	0.00000	0.99999	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
35	0.72086	0.00000	0.00000	0.00000	0.00000	0.00000	0.01042	0.00000	0.26872	0.00000
36	0.93773	0.00000	0.00000	0.00000	0.00000	0.00000	0.00046	0.00000	0.06181	0.00000
37	0.84740	0.00000	0.00000	0.00000	0.00000	0.00000	0.00316	0.00000	0.14944	0.00000
38	0.99571	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00428	0.00000
39	0.97748	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.02239	0.00000
40	0.98572	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01422	0.00000
41	0.00000	0.99154	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00845
42	0.97665	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.02323	0.00000
43	0.99487	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00512	0.00000
44	0.00000	0.99702	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00298
45	0.99645	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00355	0.00000
46	0.99379	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00620	0.00000
47	0.00000	0.99860	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00140
48	0.00000	0.99728	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00271
