ind_ID	Pure_0	Pure_1	F1	F2	P0_F1	P1_F1	P0_P0F1	P1_P1F1	P0_P0P0F1	P1_P1P1F1
QUE001463_alb	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000
QUE001758_alb	0.99969	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00031	0.00000
QUE001815_alb	0.99968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00032	0.00000
QUE001819_mue	0.00000	0.99963	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00037
QUE001840_mue	0.00000	0.99894	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00106
QUE001893_mue	0.00000	0.99985	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015
QUE001918_alb	0.99979	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00021	0.00000
QUE001932_alb	0.99940	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00058	0.00000
QUE002075_alb	0.99996	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000
QUE002091_alb	0.99924	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00074	0.00000
QUE002098_mue	0.00000	0.99984	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016
QUE002108_alb	0.99969	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000
QUE002121_alb	0.99958	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00042	0.00000
QUE002138_alb	0.99988	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000
QUE002189_mue	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE002210_alb	0.99995	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000
QUE002247_mue	0.00000	0.99918	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00082
QUE002253_alb	0.99958	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00042	0.00000
QUE002285_mue	0.00000	0.99993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007
QUE002303_mue	0.00000	0.99996	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004
QUE002337_alb	0.99962	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00038	0.00000
QUE002355_alb	0.99906	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00093	0.00000
QUE002399_alb	0.99954	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00046	0.00000
QUE002481_mue	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
QUE002493_alb	0.99702	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.00287	0.00000
QUE002526_alb	0.99957	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00042	0.00000
QUE002535_alb	0.99963	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00036	0.00000
QUE002370_alb	0.99973	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00026	0.00000
QUE002375_alb	0.72789	0.00000	0.00000	0.00000	0.00168	0.00000	0.15996	0.00000	0.11047	0.00000
QUE001846_alb	0.99841	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.00148	0.00000
QUE001930_mue	0.00000	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003
QUE001938_mue	0.00000	0.99998	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002
QUE001943_alb	0.99740	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000	0.00241	0.00000
QUE002099_mue	0.00000	0.00000	0.99998	0.00000	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
QUE002109_alb	0.99797	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.00194	0.00000
QUE002124_alb	0.99969	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00031	0.00000
QUE002128_alb	0.99889	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00108	0.00000
QUE002176_alb	0.99998	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000
