599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.00000	0.97969	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.02023
2	0.99640	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00360	0.00000
3	0.99466	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00533	0.00000
4	0.99898	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00102	0.00000
5	0.99736	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00264	0.00000
6	0.99791	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00209	0.00000
7	0.99704	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00296	0.00000
8	0.99947	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00053	0.00000
9	0.99903	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00097	0.00000
10	0.98986	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01013	0.00000
11	0.95786	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.04208	0.00000
12	0.00000	0.96101	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.03889
13	0.00000	0.99798	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00202
14	0.99857	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00143	0.00000
15	0.99355	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00644	0.00000
16	0.00000	0.96741	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027	0.00000	0.03232
17	0.00000	0.94126	0.00000	0.00000	0.00000	0.00000	0.00000	0.00072	0.00000	0.05802
18	0.00000	0.99130	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00868
19	0.00000	0.98626	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01371
20	0.00000	0.99527	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00472
21	0.00000	0.99604	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00396
22	0.00000	0.97514	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000	0.02471
23	0.86702	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	0.13217	0.00000
24	0.99814	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00186	0.00000
25	0.00000	0.98587	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01412
26	0.99847	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00153	0.00000
27	0.91668	0.00000	0.00000	0.00000	0.00000	0.00000	0.00024	0.00000	0.08308	0.00000
28	0.00000	0.97731	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.02261
29	0.00000	0.97435	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.02561
30	0.00000	0.99154	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00845
31	0.00000	0.98225	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.01768
32	0.00000	0.97824	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014	0.00000	0.02161
33	0.00000	0.96619	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.03376
34	0.00000	0.93962	0.00000	0.00000	0.00000	0.00000	0.00000	0.00067	0.00000	0.05971
35	0.00000	0.99065	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00933
36	0.00000	0.97888	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.02100
37	0.00000	0.98976	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01020
38	0.00000	0.99735	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00265
39	0.00000	0.62791	0.00000	0.00000	0.00000	0.00000	0.00000	0.01144	0.00000	0.36064
40	0.00000	0.96448	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.03544
41	0.00000	0.98510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01489
42	0.00000	0.98211	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01786
43	0.99855	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00145	0.00000
44	0.98613	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01385	0.00000
45	0.00000	0.99760	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00240
46	0.00000	0.98571	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01425
