599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.00000	0.82464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00471	0.00000	0.17065
2	0.00000	0.98429	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.01563
3	0.00000	0.60844	0.00000	0.00000	0.00000	0.00000	0.00000	0.01398	0.00000	0.37758
4	0.00000	0.92903	0.00000	0.00000	0.00000	0.00000	0.00000	0.00077	0.00000	0.07019
5	0.00000	0.95614	0.00000	0.00000	0.00000	0.00000	0.00000	0.00064	0.00000	0.04322
6	0.00000	0.99519	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00480
7	0.00000	0.98103	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.01886
8	0.00000	0.94033	0.00000	0.00000	0.00000	0.00000	0.00000	0.00068	0.00000	0.05899
9	0.00000	0.98393	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.01601
10	0.00000	0.98483	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.01511
11	0.00000	0.92668	0.00000	0.00000	0.00000	0.00000	0.00000	0.00166	0.00000	0.07165
12	0.00000	0.95896	0.00000	0.00000	0.00000	0.00000	0.00000	0.00018	0.00000	0.04086
13	0.00000	0.97041	0.00000	0.00000	0.00000	0.00000	0.00000	0.00021	0.00000	0.02938
14	0.00000	0.92360	0.00000	0.00000	0.00000	0.00000	0.00000	0.00090	0.00000	0.07550
15	0.00000	0.97906	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000	0.02079
16	0.00000	0.99504	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00496
17	0.00000	0.89719	0.00000	0.00000	0.00000	0.00000	0.00000	0.00200	0.00000	0.10081
18	0.00000	0.98567	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01428
19	0.00000	0.98454	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01544
20	0.00000	0.98853	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01143
21	0.00000	0.78134	0.00000	0.00000	0.00000	0.00000	0.00000	0.00512	0.00000	0.21354
22	0.00000	0.97181	0.00000	0.00000	0.00000	0.00000	0.00000	0.00022	0.00000	0.02797
23	0.88386	0.00000	0.00000	0.00000	0.00000	0.00000	0.00352	0.00000	0.11262	0.00000
24	0.99365	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00634	0.00000
25	0.93511	0.00000	0.00000	0.00000	0.00000	0.00000	0.00156	0.00000	0.06333	0.00000
26	0.99314	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00684	0.00000
27	0.99461	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00538	0.00000
28	0.00000	0.95572	0.00000	0.00000	0.00000	0.00000	0.00000	0.00076	0.00000	0.04352
29	0.98773	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.01220	0.00000
30	0.99545	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00454	0.00000
31	0.99722	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00278	0.00000
32	0.66571	0.00000	0.00000	0.00000	0.00000	0.00000	0.01725	0.00000	0.31704	0.00000
33	0.00000	0.94217	0.00000	0.00000	0.00000	0.00000	0.00000	0.00063	0.00000	0.05720
34	0.95444	0.00000	0.00000	0.00000	0.00000	0.00000	0.00061	0.00000	0.04495	0.00000
35	0.98952	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01044	0.00000
36	0.99292	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00706	0.00000
37	0.98546	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01449	0.00000
38	0.99690	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00310	0.00000
39	0.99705	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00295	0.00000
40	0.98739	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01257	0.00000
41	0.99896	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00104	0.00000
42	0.00000	0.99004	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.00992
43	0.00000	0.97514	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.02474
44	0.00000	0.97496	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.02494
45	0.97311	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.02680	0.00000
46	0.41504	0.00000	0.00000	0.00000	0.00000	0.00000	0.04609	0.00000	0.53886	0.00000
