599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.99612	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00387	0.00000
2	0.99689	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00311	0.00000
3	0.98211	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01785	0.00000
4	0.94951	0.00000	0.00000	0.00000	0.00000	0.00000	0.00025	0.00000	0.05024	0.00000
5	0.90365	0.00000	0.00000	0.00000	0.00000	0.00000	0.00158	0.00000	0.09477	0.00000
6	0.99120	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00879	0.00000
7	0.99581	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00419	0.00000
8	0.94582	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027	0.00000	0.05392	0.00000
9	0.98975	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01024	0.00000
10	0.99840	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00160	0.00000
11	0.99418	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00581	0.00000
12	0.98714	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01283	0.00000
13	0.79059	0.00000	0.00000	0.00000	0.00000	0.00000	0.00463	0.00000	0.20478	0.00000
14	0.97013	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02982	0.00000
15	0.99805	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00195	0.00000
16	0.99843	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00157	0.00000
17	0.99176	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00823	0.00000
18	0.00000	0.94956	0.00000	0.00000	0.00000	0.00000	0.00000	0.00028	0.00000	0.05016
19	0.00000	0.99673	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00327
20	0.99332	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00666	0.00000
21	0.98670	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01327	0.00000
22	0.99797	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00203	0.00000
23	0.92016	0.00000	0.00000	0.00000	0.00000	0.00000	0.00031	0.00000	0.07954	0.00000
24	0.94771	0.00000	0.00000	0.00000	0.00000	0.00000	0.00025	0.00000	0.05204	0.00000
25	0.00000	0.99792	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00208
26	0.00000	0.98488	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01508
27	0.00000	0.98231	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01765
28	0.00000	0.99074	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00923
29	0.00000	0.89675	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	0.10246
30	0.00000	0.99321	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00678
31	0.00000	0.94514	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.05456
32	0.00000	0.99588	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00411
33	0.00000	0.94601	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.00000	0.05349
34	0.00000	0.99435	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00564
35	0.00000	0.99010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00988
36	0.98203	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.01790	0.00000
37	0.00000	0.98536	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01462
38	0.00000	0.99577	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00422
39	0.00000	0.50194	0.00000	0.00000	0.00000	0.00000	0.00000	0.01734	0.00000	0.48073
40	0.96429	0.00000	0.00000	0.00000	0.00000	0.00000	0.00033	0.00000	0.03538	0.00000
41	0.00000	0.99926	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00074
42	0.00000	0.97059	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000	0.02926
43	0.00000	0.95726	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.04260
44	0.00000	0.98315	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01679
45	0.99658	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00341	0.00000
46	0.99547	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00452	0.00000
47	0.99887	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00113	0.00000
48	0.00000	0.99309	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00690
