ind_ID	Pure_0	Pure_1	F1	F2	P0_F1	P1_F1	P0_P0F1	P1_P1F1	P0_P0P0F1	P1_P1P1F1
QUE002637_mac	0.99636	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00364	0.00000
QUE002631_mac	0.99850	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00150	0.00000
QUE002647_mac	0.98286	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01712	0.00000
QUE002613_mac	0.99688	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00312	0.00000
QUE002614_mac	0.99225	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00775	0.00000
QUE002616_mac	0.99608	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00392	0.00000
QUE002617_mac	0.99862	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00138	0.00000
QUE002599_mac	0.99950	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.00000
QUE002628_mac	0.99953	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00047	0.00000
QUE002601_mac	0.99872	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00128	0.00000
QUE002638_mac	0.95416	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.04574	0.00000
QUE002615_mac	0.99943	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00057	0.00000
QUE002595_mac	0.99716	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00284	0.00000
QUE002634_mac	0.95718	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.04280	0.00000
QUE002590_mac	0.99556	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00444	0.00000
QUE002608_mac	0.99970	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000
QUE002641_mac	0.99983	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00017	0.00000
QUE001334_mac	0.99850	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00150	0.00000
QUE001337_mac	0.99973	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027	0.00000
