599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.97265	0.00000	0.00000	0.00000	0.00000	0.00000	0.00018	0.00000	0.02717	0.00000
2	0.95399	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.04581	0.00000
3	0.97129	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.02862	0.00000
4	0.99894	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00106	0.00000
5	0.91276	0.00000	0.00000	0.00000	0.00000	0.00000	0.00064	0.00000	0.08660	0.00000
6	0.92731	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	0.07188	0.00000
7	0.99443	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00556	0.00000
8	0.99531	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00469	0.00000
9	0.98997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01001	0.00000
10	0.93560	0.00000	0.00000	0.00000	0.00000	0.00000	0.00061	0.00000	0.06379	0.00000
11	0.97210	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000	0.02774	0.00000
12	0.98781	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01216	0.00000
13	0.99871	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00129	0.00000
14	0.99332	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00667	0.00000
15	0.95452	0.00000	0.00000	0.00000	0.00000	0.00000	0.00036	0.00000	0.04512	0.00000
16	0.99663	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00337	0.00000
17	0.97737	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.02252	0.00000
18	0.97552	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.02438	0.00000
19	0.96670	0.00000	0.00000	0.00000	0.00000	0.00000	0.00029	0.00000	0.03300	0.00000
20	0.99769	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00231	0.00000
21	0.98867	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01130	0.00000
22	0.97325	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000	0.02660	0.00000
23	0.98687	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01310	0.00000
24	0.00000	0.00000	0.99998	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
25	0.99821	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00179	0.00000
26	0.96739	0.00000	0.00000	0.00000	0.00000	0.00000	0.00023	0.00000	0.03238	0.00000
27	0.99057	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00941	0.00000
28	0.88259	0.00000	0.00000	0.00000	0.00000	0.00000	0.00059	0.00000	0.11682	0.00000
29	0.60396	0.00000	0.00000	0.00000	0.00000	0.00000	0.00877	0.00000	0.38727	0.00000
30	0.89400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00061	0.00000	0.10540	0.00000
31	0.63933	0.00000	0.00000	0.00000	0.00000	0.00000	0.02128	0.00000	0.33939	0.00000
32	0.86839	0.00000	0.00000	0.00000	0.00000	0.00000	0.00306	0.00000	0.12855	0.00000
33	0.98913	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01086	0.00000
34	0.95973	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.04020	0.00000
35	0.98923	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01074	0.00000
36	0.97782	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.02206	0.00000
37	0.99179	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00820	0.00000
38	0.99444	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00555	0.00000
39	0.98429	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01567	0.00000
40	0.89248	0.00000	0.00000	0.00000	0.00000	0.00000	0.00095	0.00000	0.10657	0.00000
41	0.98900	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01097	0.00000
42	0.91398	0.00000	0.00000	0.00000	0.00000	0.00000	0.00149	0.00000	0.08453	0.00000
43	0.93035	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000	0.06949	0.00000
44	0.99818	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00182	0.00000
45	0.99240	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00759	0.00000
46	0.00000	0.99769	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00231
47	0.98795	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01201	0.00000
48	0.95278	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.04709	0.00000
49	0.97206	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000	0.02775	0.00000
50	0.00000	0.97150	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.02848
51	0.92304	0.00000	0.00000	0.00000	0.00000	0.00000	0.00188	0.00000	0.07508	0.00000
52	0.99281	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00718	0.00000
53	0.99686	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00314	0.00000
54	0.00000	0.98638	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01358
55	0.00000	0.00000	0.00000	0.00000	0.00000	0.00114	0.00000	0.88162	0.00000	0.11724
56	0.98757	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01239	0.00000
57	0.99201	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00798	0.00000
58	0.00000	0.99682	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00317
59	0.00000	0.99435	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00564
60	0.63724	0.00000	0.00000	0.00000	0.00000	0.00000	0.00898	0.00000	0.35378	0.00000
61	0.83200	0.00000	0.00000	0.00000	0.00000	0.00000	0.00394	0.00000	0.16407	0.00000
62	0.98115	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.01880	0.00000
63	0.93292	0.00000	0.00000	0.00000	0.00000	0.00000	0.00111	0.00000	0.06597	0.00000
64	0.93762	0.00000	0.00000	0.00000	0.00000	0.00000	0.00067	0.00000	0.06171	0.00000
65	0.99805	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00194	0.00000
66	0.99152	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00846	0.00000
67	0.07463	0.00000	0.00000	0.00000	0.00000	0.00000	0.09610	0.00000	0.82927	0.00000
68	0.98932	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01065	0.00000
69	0.79556	0.00000	0.00000	0.00000	0.00000	0.00000	0.00599	0.00000	0.19845	0.00000
70	0.00000	0.96347	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.03644
71	0.99904	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00096	0.00000
72	0.83153	0.00000	0.00000	0.00000	0.00000	0.00000	0.00328	0.00000	0.16518	0.00000
73	0.96315	0.00000	0.00000	0.00000	0.00000	0.00000	0.00018	0.00000	0.03666	0.00000
74	0.00000	0.97299	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02697
75	0.85675	0.00000	0.00000	0.00000	0.00000	0.00000	0.00092	0.00000	0.14234	0.00000
76	0.00000	0.99869	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00131
77	0.00000	0.93968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.06021
78	0.98508	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01489	0.00000
79	0.00000	0.96531	0.00000	0.00000	0.00000	0.00000	0.00000	0.00033	0.00000	0.03435
80	0.97712	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.02276	0.00000
81	0.98068	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01927	0.00000
82	0.00000	0.99641	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00359
83	0.99508	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00492	0.00000
84	0.00000	0.87397	0.00000	0.00000	0.00000	0.00000	0.00000	0.00071	0.00000	0.12532
85	0.92844	0.00000	0.00000	0.00000	0.00000	0.00000	0.00107	0.00000	0.07049	0.00000
86	0.99222	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00777	0.00000
87	0.96047	0.00000	0.00000	0.00000	0.00000	0.00000	0.00033	0.00000	0.03920	0.00000
88	0.00000	0.98497	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01501
89	0.00000	0.99845	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00155
90	0.99257	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00742	0.00000
91	0.00000	0.84759	0.00000	0.00000	0.00000	0.00000	0.00000	0.00135	0.00000	0.15107
92	0.88767	0.00000	0.00000	0.00000	0.00000	0.00000	0.00133	0.00000	0.11100	0.00000
93	0.89923	0.00000	0.00000	0.00000	0.00000	0.00000	0.00034	0.00000	0.10044	0.00000
94	0.81347	0.00000	0.00000	0.00000	0.00000	0.00000	0.00157	0.00000	0.18497	0.00000
95	0.96970	0.00000	0.00000	0.00000	0.00000	0.00000	0.00026	0.00000	0.03005	0.00000
96	0.00000	0.95704	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000	0.04277
97	0.00000	0.98304	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01692
98	0.00000	0.99819	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00181
99	0.82259	0.00000	0.00000	0.00000	0.00000	0.00000	0.00726	0.00000	0.17015	0.00000
100	0.99941	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00059	0.00000
101	0.80859	0.00000	0.00000	0.00000	0.00000	0.00000	0.00224	0.00000	0.18917	0.00000
102	0.00000	0.99143	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00854
103	0.99113	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00885	0.00000
104	0.95906	0.00000	0.00000	0.00000	0.00000	0.00000	0.00039	0.00000	0.04055	0.00000
105	0.91204	0.00000	0.00000	0.00000	0.00000	0.00000	0.00046	0.00000	0.08751	0.00000
106	0.00000	0.00046	0.00000	0.00000	0.00000	0.00002	0.00000	0.32535	0.00000	0.67416
107	0.52180	0.00000	0.00000	0.00000	0.00000	0.00000	0.03063	0.00000	0.44756	0.00000
108	0.97642	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.02345	0.00000
109	0.00000	0.98084	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01912
110	0.94664	0.00000	0.00000	0.00000	0.00000	0.00000	0.00092	0.00000	0.05245	0.00000
111	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
112	0.90059	0.00000	0.00000	0.00000	0.00000	0.00000	0.00317	0.00000	0.09625	0.00000
113	0.82769	0.00000	0.00000	0.00000	0.00000	0.00000	0.00707	0.00000	0.16524	0.00000
114	0.92077	0.00000	0.00000	0.00000	0.00000	0.00000	0.00196	0.00000	0.07727	0.00000
115	0.00000	0.00000	0.99939	0.00061	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
116	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
117	0.64679	0.00000	0.00000	0.00000	0.00000	0.00000	0.02509	0.00000	0.32812	0.00000
118	0.99354	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00645	0.00000
119	0.94377	0.00000	0.00000	0.00000	0.00000	0.00000	0.00057	0.00000	0.05567	0.00000
120	0.99680	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00320	0.00000
121	0.00000	0.99278	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00722
122	0.97431	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014	0.00000	0.02556	0.00000
123	0.98712	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01285	0.00000
124	0.99269	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00730	0.00000
125	0.96329	0.00000	0.00000	0.00000	0.00000	0.00000	0.00036	0.00000	0.03636	0.00000
126	0.80900	0.00000	0.00000	0.00000	0.00000	0.00000	0.00527	0.00000	0.18574	0.00000
127	0.98494	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01502	0.00000
128	0.77223	0.00000	0.00000	0.00000	0.00000	0.00000	0.00927	0.00000	0.21850	0.00000
129	0.91266	0.00000	0.00000	0.00000	0.00000	0.00000	0.00083	0.00000	0.08651	0.00000
130	0.77572	0.00000	0.00000	0.00000	0.00000	0.00000	0.00663	0.00000	0.21764	0.00000
131	0.78105	0.00000	0.00000	0.00000	0.00000	0.00000	0.00870	0.00000	0.21026	0.00000
132	0.88854	0.00000	0.00000	0.00000	0.00000	0.00000	0.00222	0.00000	0.10924	0.00000
133	0.75991	0.00000	0.00000	0.00000	0.00000	0.00000	0.01474	0.00000	0.22535	0.00000
134	0.92440	0.00000	0.00000	0.00000	0.00000	0.00000	0.00168	0.00000	0.07391	0.00000
135	0.96065	0.00000	0.00000	0.00000	0.00000	0.00000	0.00045	0.00000	0.03891	0.00000
136	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
137	0.00000	0.99377	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00622
138	0.90760	0.00000	0.00000	0.00000	0.00000	0.00000	0.00097	0.00000	0.09143	0.00000
139	0.95795	0.00000	0.00000	0.00000	0.00000	0.00000	0.00034	0.00000	0.04171	0.00000
140	0.96480	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000	0.03501	0.00000
141	0.00000	0.99361	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00638
142	0.00000	0.99843	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00157
143	0.10862	0.00000	0.00000	0.00000	0.00015	0.00000	0.20951	0.00000	0.68172	0.00000
144	0.95305	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.04682	0.00000
145	0.96657	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.03323	0.00000
146	0.94102	0.00000	0.00000	0.00000	0.00000	0.00000	0.00051	0.00000	0.05848	0.00000
147	0.00000	0.00000	0.99999	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
148	0.97633	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.02355	0.00000
149	0.20120	0.00000	0.00000	0.00000	0.00006	0.00000	0.14122	0.00000	0.65753	0.00000
150	0.96798	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.03195	0.00000
151	0.99423	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00577	0.00000
152	0.23522	0.00000	0.00000	0.00000	0.00000	0.00000	0.03661	0.00000	0.72817	0.00000
153	0.92599	0.00000	0.00000	0.00000	0.00000	0.00000	0.00111	0.00000	0.07290	0.00000
154	0.97151	0.00000	0.00000	0.00000	0.00000	0.00000	0.00017	0.00000	0.02833	0.00000
155	0.00000	0.96076	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.03919
156	0.92025	0.00000	0.00000	0.00000	0.00000	0.00000	0.00133	0.00000	0.07842	0.00000
157	0.19673	0.00000	0.00000	0.00000	0.00000	0.00000	0.05222	0.00000	0.75105	0.00000
158	0.00000	0.99802	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00198
159	0.00000	0.93608	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000	0.06373
160	0.00000	0.99802	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00198
161	0.77974	0.00000	0.00000	0.00000	0.00000	0.00000	0.00210	0.00000	0.21816	0.00000
162	0.00000	0.99627	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00373
163	0.99751	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00249	0.00000
164	0.99272	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00727	0.00000
165	0.00000	0.99653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00346
166	0.00000	0.96978	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.03013
167	0.99711	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00288	0.00000
168	0.93581	0.00000	0.00000	0.00000	0.00000	0.00000	0.00067	0.00000	0.06352	0.00000
169	0.00000	0.47562	0.00000	0.00000	0.00000	0.00000	0.00000	0.00629	0.00000	0.51809
170	0.00000	0.99657	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00343
171	0.00000	0.99685	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00315
172	0.00000	0.99503	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00497
173	0.00000	0.99919	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00081
174	0.66938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00266	0.00000	0.32796	0.00000
175	0.00000	0.98129	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01867
176	0.03658	0.00000	0.00000	0.00000	0.00000	0.00000	0.02621	0.00000	0.93720	0.00000
177	0.00000	0.99343	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00657
178	0.00000	0.99943	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00057
179	0.00000	0.99770	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00230
180	0.00000	0.99562	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00438
181	0.98552	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01444	0.00000
182	0.00000	0.99544	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00456
183	0.99537	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00463	0.00000
184	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
185	0.00000	0.99925	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00075
186	0.97114	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02881	0.00000
187	0.98913	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01084	0.00000
188	0.00000	0.97908	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.02091
189	0.99714	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00286	0.00000
190	0.00000	0.98681	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01316
191	0.99425	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00574	0.00000
192	0.00000	0.34181	0.00000	0.00000	0.00000	0.00000	0.00000	0.01647	0.00000	0.64172
193	0.99156	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00843	0.00000
194	0.99088	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00910	0.00000
195	0.99137	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00861	0.00000
196	0.99299	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00700	0.00000
197	0.98190	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.01805	0.00000
198	0.99808	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00192	0.00000
199	0.98886	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01111	0.00000
200	0.84018	0.00000	0.00000	0.00000	0.00000	0.00000	0.00187	0.00000	0.15795	0.00000
201	0.97404	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000	0.02580	0.00000
202	0.99410	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00590	0.00000
203	0.99627	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00373	0.00000
204	0.99612	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00388	0.00000
