599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.93538	0.00000	0.00000	0.00000	0.00000	0.00000	0.00038	0.00000	0.06424	0.00000
2	0.97230	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.02762	0.00000
3	0.75130	0.00000	0.00000	0.00000	0.00000	0.00000	0.00651	0.00000	0.24219	0.00000
4	0.95659	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.04338	0.00000
5	0.87178	0.00000	0.00000	0.00000	0.00000	0.00000	0.00179	0.00000	0.12643	0.00000
6	0.93101	0.00000	0.00000	0.00000	0.00000	0.00000	0.00028	0.00000	0.06870	0.00000
7	0.97441	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02554	0.00000
8	0.99059	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00940	0.00000
9	0.99114	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00885	0.00000
10	0.97640	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02355	0.00000
11	0.54221	0.00000	0.00000	0.00000	0.00000	0.00000	0.02006	0.00000	0.43774	0.00000
12	0.98921	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01077	0.00000
13	0.94871	0.00000	0.00000	0.00000	0.00000	0.00000	0.00028	0.00000	0.05101	0.00000
14	0.57694	0.00000	0.00000	0.00000	0.00000	0.00000	0.00422	0.00000	0.41884	0.00000
15	0.92203	0.00000	0.00000	0.00000	0.00000	0.00000	0.00065	0.00000	0.07732	0.00000
16	0.99429	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00570	0.00000
17	0.99687	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00313	0.00000
18	0.97217	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.02771	0.00000
19	0.99492	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00508	0.00000
20	0.94222	0.00000	0.00000	0.00000	0.00000	0.00000	0.00042	0.00000	0.05736	0.00000
21	0.99602	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00398	0.00000
22	0.91584	0.00000	0.00000	0.00000	0.00000	0.00000	0.00103	0.00000	0.08314	0.00000
23	0.86342	0.00000	0.00000	0.00000	0.00000	0.00000	0.00131	0.00000	0.13527	0.00000
24	0.95653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00017	0.00000	0.04330	0.00000
25	0.95624	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000	0.04361	0.00000
26	0.89997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00058	0.00000	0.09945	0.00000
27	0.78625	0.00000	0.00000	0.00000	0.00000	0.00000	0.00957	0.00000	0.20418	0.00000
28	0.98052	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01943	0.00000
29	0.49035	0.00000	0.00000	0.00000	0.00000	0.00000	0.02356	0.00000	0.48608	0.00000
30	0.71555	0.00000	0.00000	0.00000	0.00000	0.00000	0.00214	0.00000	0.28231	0.00000
31	0.00000	0.99933	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00067
32	0.00000	0.98975	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01024
33	0.00000	0.96475	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.03514
34	0.00000	0.97619	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.02373
35	0.00000	0.81565	0.00000	0.00000	0.00000	0.00000	0.00000	0.00453	0.00000	0.17982
36	0.00000	0.98258	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01739
37	0.00000	0.75210	0.00000	0.00000	0.00000	0.00000	0.00000	0.00894	0.00000	0.23896
38	0.94642	0.00000	0.00000	0.00000	0.00000	0.00000	0.00035	0.00000	0.05323	0.00000
39	0.98121	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01875	0.00000
40	0.98967	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01032	0.00000
41	0.00000	0.75161	0.00000	0.00000	0.00000	0.00000	0.00000	0.00364	0.00000	0.24474
42	0.00000	0.92946	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.07042
43	0.96787	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.03201	0.00000
44	0.28257	0.00000	0.00000	0.00000	0.00000	0.00000	0.05135	0.00000	0.66608	0.00000
45	0.00000	0.80575	0.00000	0.00000	0.00000	0.00000	0.00000	0.00629	0.00000	0.18796
46	0.00000	0.98118	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01880
47	0.00000	0.78613	0.00000	0.00000	0.00000	0.00000	0.00000	0.00111	0.00000	0.21276
48	0.71310	0.00000	0.00000	0.00000	0.00000	0.00000	0.00890	0.00000	0.27800	0.00000
49	0.50085	0.00000	0.00000	0.00000	0.00000	0.00000	0.03905	0.00000	0.46010	0.00000
50	0.95135	0.00000	0.00000	0.00000	0.00000	0.00000	0.00022	0.00000	0.04843	0.00000
51	0.00000	0.66327	0.00000	0.00000	0.00000	0.00000	0.00000	0.00522	0.00000	0.33150
52	0.99684	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00316	0.00000
53	0.00000	0.51902	0.00000	0.00000	0.00000	0.00000	0.00000	0.00374	0.00000	0.47725
54	0.00000	0.98743	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01255
55	0.00000	0.99499	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00501
56	0.79804	0.00000	0.00000	0.00000	0.00000	0.00000	0.00384	0.00000	0.19812	0.00000
57	0.74158	0.00000	0.00000	0.00000	0.00000	0.00000	0.00843	0.00000	0.24999	0.00000
58	0.00000	0.99968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00032
59	0.00000	0.96790	0.00000	0.00000	0.00000	0.00000	0.00000	0.00021	0.00000	0.03190
60	0.98893	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01106	0.00000
61	0.88777	0.00000	0.00000	0.00000	0.00000	0.00000	0.00113	0.00000	0.11110	0.00000
62	0.96094	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.03898	0.00000
63	0.00000	0.36191	0.00000	0.00000	0.00000	0.00000	0.00000	0.03350	0.00000	0.60459
64	0.98909	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01090	0.00000
65	0.00000	0.93515	0.00000	0.00000	0.00000	0.00000	0.00000	0.00039	0.00000	0.06446
66	0.00000	0.96293	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.03697
67	0.87505	0.00000	0.00000	0.00000	0.00000	0.00000	0.00044	0.00000	0.12451	0.00000
68	0.00000	0.99935	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00065
69	0.98892	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01106	0.00000
70	0.00000	0.57516	0.00000	0.00000	0.00000	0.00000	0.00000	0.00574	0.00000	0.41909
71	0.94727	0.00000	0.00000	0.00000	0.00000	0.00000	0.00058	0.00000	0.05215	0.00000
72	0.99523	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00476	0.00000
73	0.99085	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00914	0.00000
74	0.98400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01597	0.00000
75	0.94561	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027	0.00000	0.05412	0.00000
76	0.97685	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02311	0.00000
77	0.98361	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01637	0.00000
78	0.89058	0.00000	0.00000	0.00000	0.00000	0.00000	0.00155	0.00000	0.10787	0.00000
