599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.94297	0.00000	0.00000	0.00000	0.00000	0.00000	0.00018	0.00000	0.05684	0.00000
2	0.93169	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027	0.00000	0.06804	0.00000
3	0.20075	0.00000	0.00000	0.00000	0.00000	0.00000	0.02585	0.00000	0.77340	0.00000
4	0.99842	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00158	0.00000
5	0.98925	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01074	0.00000
6	0.99893	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00107	0.00000
7	0.99889	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00111	0.00000
8	0.99956	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00044	0.00000
9	0.99399	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00601	0.00000
10	0.88940	0.00000	0.00000	0.00000	0.00000	0.00000	0.00052	0.00000	0.11008	0.00000
11	0.93288	0.00000	0.00000	0.00000	0.00000	0.00000	0.00033	0.00000	0.06680	0.00000
12	0.79108	0.00000	0.00000	0.00000	0.00000	0.00000	0.00034	0.00000	0.20858	0.00000
13	0.97473	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.02523	0.00000
14	0.99851	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00149	0.00000
15	0.96533	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.03459	0.00000
16	0.99002	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00998	0.00000
17	0.99076	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00924	0.00000
18	0.91758	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000	0.08226	0.00000
19	0.54367	0.00000	0.00000	0.00000	0.00000	0.00000	0.01326	0.00000	0.44307	0.00000
20	0.79290	0.00000	0.00000	0.00000	0.00000	0.00000	0.00235	0.00000	0.20476	0.00000
21	0.99387	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00613	0.00000
22	0.38119	0.00000	0.00000	0.00000	0.00000	0.00000	0.01501	0.00000	0.60379	0.00000
23	0.95311	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.04678	0.00000
24	0.99300	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00699	0.00000
25	0.93458	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.06529	0.00000
26	0.97801	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.02197	0.00000
27	0.90623	0.00000	0.00000	0.00000	0.00000	0.00000	0.00088	0.00000	0.09289	0.00000
28	0.99963	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00037	0.00000
29	0.98306	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01692	0.00000
30	0.99623	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00377	0.00000
31	0.97040	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.02956	0.00000
32	0.99984	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000
33	0.99757	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00243	0.00000
34	0.46585	0.00000	0.00000	0.00000	0.00000	0.00000	0.01728	0.00000	0.51687	0.00000
35	0.56459	0.00000	0.00000	0.00000	0.00000	0.00000	0.01593	0.00000	0.41949	0.00000
36	0.93782	0.00000	0.00000	0.00000	0.00000	0.00000	0.00024	0.00000	0.06194	0.00000
37	0.96020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.03973	0.00000
38	0.94717	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.05275	0.00000
39	0.99757	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00243	0.00000
40	0.99805	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00195	0.00000
41	0.99468	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00532	0.00000
42	0.99087	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00913	0.00000
43	0.95136	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.04852	0.00000
44	0.82195	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000	0.17794	0.00000
45	0.98943	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01056	0.00000
46	0.99826	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00174	0.00000
47	0.23616	0.00000	0.00000	0.00000	0.00000	0.00000	0.00957	0.00000	0.75427	0.00000
48	0.92330	0.00000	0.00000	0.00000	0.00000	0.00000	0.00041	0.00000	0.07629	0.00000
49	0.02975	0.00000	0.00000	0.00000	0.00000	0.00000	0.06534	0.00000	0.90491	0.00000
50	0.98614	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01385	0.00000
51	0.00000	0.98050	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01946
52	0.00000	0.99884	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00116
53	0.96261	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014	0.00000	0.03726	0.00000
54	0.00000	0.98838	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01161
55	0.97602	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.02395	0.00000
56	0.97470	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.02528	0.00000
57	0.99816	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00184	0.00000
58	0.99189	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00811	0.00000
59	0.83126	0.00000	0.00000	0.00000	0.00000	0.00000	0.00084	0.00000	0.16790	0.00000
60	0.90484	0.00000	0.00000	0.00000	0.00000	0.00000	0.00035	0.00000	0.09481	0.00000
61	0.96826	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.03169	0.00000
62	0.99640	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00360	0.00000
63	0.98439	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01559	0.00000
64	0.97934	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.02064	0.00000
65	0.98397	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01602	0.00000
66	0.99948	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00052	0.00000
67	0.97527	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000	0.02468	0.00000
68	0.99789	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00211	0.00000
69	0.00000	0.99886	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00114
70	0.35406	0.00000	0.00000	0.00000	0.00000	0.00000	0.03540	0.00000	0.61054	0.00000
71	0.99644	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00356	0.00000
72	0.92616	0.00000	0.00000	0.00000	0.00000	0.00000	0.00042	0.00000	0.07342	0.00000
73	0.99258	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00742	0.00000
74	0.00000	0.99979	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00021
75	0.00000	0.82629	0.00000	0.00000	0.00000	0.00000	0.00000	0.00224	0.00000	0.17147
76	0.96577	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.03415	0.00000
