599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.99880	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00120	0.00000
2	0.99856	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00144	0.00000
3	0.99817	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00183	0.00000
4	0.99959	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00041	0.00000
5	0.98108	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.01886	0.00000
6	0.98363	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01635	0.00000
7	0.98602	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.01397	0.00000
8	0.99837	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00163	0.00000
9	0.99917	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00083	0.00000
10	0.99714	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00286	0.00000
11	0.98314	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01682	0.00000
12	0.99981	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000
13	0.99959	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00041	0.00000
14	0.99041	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00958	0.00000
15	0.99621	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00379	0.00000
16	0.99980	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000
17	0.99812	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00188	0.00000
18	0.99568	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00432	0.00000
19	0.97337	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.02657	0.00000
20	0.99767	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00233	0.00000
21	0.99877	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00123	0.00000
22	0.99335	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00664	0.00000
23	0.71982	0.00000	0.00000	0.00000	0.00000	0.00000	0.00415	0.00000	0.27603	0.00000
24	0.70765	0.00000	0.00000	0.00000	0.00000	0.00000	0.00215	0.00000	0.29020	0.00000
25	0.94910	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.05071	0.00000
26	0.99723	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00276	0.00000
27	0.99827	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00173	0.00000
28	0.99157	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00842	0.00000
29	0.99803	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00197	0.00000
30	0.98799	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01199	0.00000
31	0.98414	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01584	0.00000
32	0.99967	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00033	0.00000
33	0.99926	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00074	0.00000
34	0.98390	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01609	0.00000
35	0.66239	0.00000	0.00000	0.00000	0.00000	0.00000	0.00157	0.00000	0.33603	0.00000
36	0.99944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00056	0.00000
37	0.99419	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00581	0.00000
38	0.99841	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00159	0.00000
39	0.80042	0.00000	0.00000	0.00000	0.00000	0.00000	0.00178	0.00000	0.19781	0.00000
40	0.99563	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00437	0.00000
41	0.99887	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00113	0.00000
42	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000
43	0.99932	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00068	0.00000
44	0.97874	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02126	0.00000
45	0.00000	0.96938	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.03060
46	0.00000	0.99924	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00076
47	0.99812	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00188	0.00000
48	0.99655	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00345	0.00000
49	0.99009	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00990	0.00000
50	0.00000	0.99615	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00385
51	0.00000	0.99677	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00323
52	0.00000	0.99981	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019
53	0.00000	0.99485	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00514
54	0.00000	0.99908	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00092
55	0.00000	0.99840	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00160
56	0.00000	0.99936	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00064
57	0.00000	0.99500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00500
58	0.93677	0.00000	0.00000	0.00000	0.00000	0.00000	0.00082	0.00000	0.06241	0.00000
59	0.96007	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000	0.03981	0.00000
60	0.99975	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00025	0.00000
61	0.00000	0.99951	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00049
62	0.00000	0.99981	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019
63	0.99971	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00029	0.00000
64	0.99987	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000
65	0.99567	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00432	0.00000
66	0.99891	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00109	0.00000
67	0.96645	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.03351	0.00000
68	0.99196	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00804	0.00000
69	0.98296	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01702	0.00000
70	0.91416	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007	0.00000	0.08578	0.00000
71	0.99964	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00036	0.00000
72	0.92129	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.07863	0.00000
73	0.98891	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01107	0.00000
74	0.99723	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00277	0.00000
75	0.99867	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00133	0.00000
