599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.00000	0.99603	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00397
2	0.00000	0.99409	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00590
3	0.00000	0.97639	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.02352
4	0.00000	0.83047	0.00000	0.00000	0.00000	0.00000	0.00000	0.00107	0.00000	0.16846
5	0.00000	0.98798	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01200
6	0.00000	0.98756	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01241
7	0.00000	0.95739	0.00000	0.00000	0.00000	0.00000	0.00000	0.00019	0.00000	0.04241
8	0.00000	0.99627	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00373
9	0.00000	0.99495	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00504
10	0.00000	0.96476	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000	0.03495
11	0.97442	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.02545	0.00000
12	0.00000	0.98991	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01006
13	0.78769	0.00000	0.00000	0.00000	0.00000	0.00000	0.00596	0.00000	0.20635	0.00000
14	0.00000	0.94628	0.00000	0.00000	0.00000	0.00000	0.00000	0.00054	0.00000	0.05318
15	0.97505	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.02475	0.00000
16	0.98560	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01436	0.00000
17	0.00000	0.96097	0.00000	0.00000	0.00000	0.00000	0.00000	0.00035	0.00000	0.03868
18	0.99133	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00865	0.00000
19	0.00000	0.99522	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00477
20	0.00000	0.99934	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00066
21	0.82677	0.00000	0.00000	0.00000	0.00000	0.00000	0.00583	0.00000	0.16740	0.00000
22	0.00000	0.99845	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00155
23	0.99241	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00758	0.00000
24	0.99676	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00324	0.00000
25	0.99034	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00963	0.00000
26	0.99257	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00741	0.00000
27	0.96238	0.00000	0.00000	0.00000	0.00000	0.00000	0.00034	0.00000	0.03728	0.00000
28	0.00000	0.99165	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00832
29	0.00000	0.97763	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.02228
30	0.97794	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008	0.00000	0.02198	0.00000
31	0.00000	0.99092	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00905
32	0.00000	0.98905	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01092
33	0.96240	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014	0.00000	0.03746	0.00000
34	0.99381	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00618	0.00000
35	0.98843	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.01153	0.00000
36	0.99748	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00252	0.00000
37	0.97627	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.02360	0.00000
38	0.92629	0.00000	0.00000	0.00000	0.00000	0.00000	0.00096	0.00000	0.07275	0.00000
39	0.00000	0.99096	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00901
40	0.95918	0.00000	0.00000	0.00000	0.00000	0.00000	0.00047	0.00000	0.04035	0.00000
