ind_ID spp Pure_ste Pure_mue F1 F2 Bx1_ste Bx1_mue Bx2_ste Bx2_mue Bx3_ste Bx3_mue
QUE001451_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001452_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001400_ste ste 0.99986 0 0 0 0 0 0 0 0.00014 0
QUE001403_ste ste 0.99731 0 0 0 0 0 2e-05 0 0.00267 0
QUE001406_ste ste 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE001408_ste ste 0.99993 0 0 0 0 0 0 0 7e-05 0
QUE001409_ste ste 0.99972 0 0 0 0 0 0 0 0.00028 0
QUE001410_ste ste 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE001411_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE001412_ste ste 0.99979 0 0 0 0 0 0 0 0.00021 0
QUE001819_mue mue 0 0.99982 0 0 0 0 0 0 0 0.00018
QUE001839_ste ste 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE001840_mue mue 0 0.9976 0 0 0 0 0 7e-05 0 0.00233
QUE001862_ste ste 0.99964 0 0 0 0 0 0 0 0.00036 0
QUE001893_mue mue 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE002098_mue mue 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002188_ste ste 0.99976 0 0 0 0 0 0 0 0.00024 0
QUE002189_mue mue 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002209_ste ste 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002219_ste ste 1 0 0 0 0 0 0 0 0 0
QUE002247_mue mue 0 0.99838 0 0 0 0 0 6e-05 0 0.00156
QUE002252_ste ste 0.99999 0 0 0 0 0 0 0 1e-05 0
QUE002285_mue mue 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002303_mue mue 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002481_mue mue 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001930_mue mue 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001938_mue mue 0 0.99973 0 0 0 0 0 0 0 0.00027
QUE002180_ste ste 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE002195_ste ste 0.99986 0 0 0 0 0 0 0 0.00013 0
QUE002226_mue mue 0 0.99985 0 0 0 0 0 0 0 0.00014
QUE002229_ste ste 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE002240_ste ste 0.99994 0 0 0 0 0 0 0 6e-05 0
QUE002267_mue mue 0 0.99973 0 0 0 0 0 0 0 0.00027
QUE002290_mue mue 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002310_mue mue 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002484_mue mue 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002488_mue mue 0 0.99985 0 0 0 0 0 0 0 0.00014
QUE001649_mue mue 0 0.99944 0 0 0 0 0 1e-05 0 0.00056
QUE001663_ste ste 0.99995 0 0 0 0 0 0 0 5e-05 0
QUE001665_mue mue 0 0.99974 0 0 0 0 0 0 0 0.00025
