ind_ID,sppcode,mac1_frac,mac2_frac,lat.x,long.x,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elev,moist_index,long.y,lat.y,lat.x.x,long.x.x,lat.y.y,long.y.y,ffd,caco3_r,cec7_r,ec_r,gypsum_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,lep_r,om_r,ksat_r,awc_r,pondfreqcl_dc,flodfreqcl_dc,drclassdcd,aws0100wta,total_aws,site,lat,long
QUE002637_mac,mac,0.993686,1e-05,43.68836,-92.92859,6.95833349227905,11.1499996185303,25.4566211700439,1184.25244140625,28,-15.8000001907349,43.7999992370605,20.783332824707,-8.51666641235352,20.783332824707,-8.51666641235352,810,111,20,50.3615989685059,323,74,323,74,371,-24.5107176141659,-92.92859,43.68836,43.68836,-92.92859,43.68836,-92.92859,134,0.87,10.96,0,0,6.02,17.46,54.29,28.24,1.5,1.5,1.06,33.07,0.15,None,None,Somewhat poorly drained,14.87,19.35,AustinMN,43.68836,-92.92859
QUE002631_mac,mac,0.99995,1e-05,43.68481,-92.92696,6.95833349227905,11.1499996185303,25.4566211700439,1184.25244140625,28,-15.8000001907349,43.7999992370605,20.783332824707,-8.51666641235352,20.783332824707,-8.51666641235352,810,111,20,50.3615989685059,323,74,323,74,371,-24.5107176141659,-92.92696,43.68481,43.68481,-92.92696,43.68481,-92.92696,134,0,7.48,0,0,6.13,19.43,53.18,27.4,1.53,2.97,0.45,31.2,0.12,None,None,Well drained,12.62,14.23,AustinMN,43.68481,-92.92696
QUE002647_mac,mac,0.90318,0.09678,43.677,-92.93769,6.99166679382324,11.1666669845581,25.4365978240967,1186.14892578125,28.1000003814697,-15.8000001907349,43.9000015258789,20.8666667938232,-8.5,20.8666667938232,-8.5,805,110,20,50.6270523071289,322,73,322,73,370,-25.255338904364,-92.93769,43.677,43.677,-92.93769,43.677,-92.93769,134,2,11.15,0,0,7.3,14.25,63.68,22.07,1.44,1.5,0.75,23.25,0.17,None,Frequent,Poorly drained,18.54,56.36,AustinMN,43.677,-92.93769
QUE002613_mac,mac,0.913097,0.079213,42.04141,-93.678679,8.92916679382324,11.8916664123535,27.9147109985352,1132.28344726562,29.3999996185303,-13.1999998092651,42.5999984741211,20.2000007629395,-5.88333320617676,22.1333332061768,-5.88333320617676,847,129,20,51.5125160217285,337,72,336,72,306,-29.2397660818713,-93.678679,42.04141,42.04141,-93.678679,42.04141,-93.678679,137,3.9,18.91,0,0,6.81,23.14,37.48,39.38,1.35,2.57,2.44,9.17,0.19,None,None,Somewhat poorly drained,19.04,37.04,AmesIA,42.04141,-93.678679
QUE002614_mac,mac,0.804168,0.188877,42.049533,-93.679052,8.94166660308838,11.9166669845581,27.9733963012695,1132.8720703125,29.3999996185303,-13.1999998092651,42.5999984741211,20.216667175293,-5.88333320617676,22.1499996185303,-5.88333320617676,846,129,20,51.5175018310547,337,72,336,72,298,-29.3233082706767,-93.679052,42.049533,42.049533,-93.679052,42.049533,-93.679052,137,18.4,15.06,0,0,7.78,20.4,43.8,35.8,1.5,2,0.9,9.17,0.18,None,None,Well drained,18,36,AmesIA,42.049533,-93.679052
QUE002616_mac,mac,0.763666,0.236294,42.030898,-93.632418,9.16666698455811,11.75,27.3255805969238,1136.05639648438,30,-13,43,20.4333343505859,-5.65000009536743,22.5166664123535,-5.65000009536743,849,128,20,51.1333541870117,338,73,338,73,281,-29.7185430463576,-93.632418,42.030898,42.030898,-93.632418,42.030898,-93.632418,136,0,29.16,0,0,6.57,24.87,34.42,40.71,1.48,4.46,4.66,7,0.2,None,Frequent,Moderately well drained,20.08,29.73,AmesIA,42.030898,-93.632418
QUE002617_mac,mac,0.902489,0.097471,42.023609,-93.633087,9.21249961853027,11.7250003814697,27.2041759490967,1137.2197265625,30.1000003814697,-13,43.0999984741211,20.4833335876465,-5.59999990463257,22.5833339691162,-5.59999990463257,852,128,20,51.0069770812988,339,73,339,73,277,-29.644921552436,-93.633087,42.023609,42.023609,-93.633087,42.023609,-93.633087,136,0,20.35,0,0,6.7,24,40,36,1.34,3.1,2.73,9.17,0.19,None,Occasional,Somewhat poorly drained,18.85,35.87,AmesIA,42.023609,-93.633087
QUE002599_mac,mac,0.99995,1e-05,44.2261111,-93.471944,6.77500009536743,11.4833335876465,25.7473850250244,1201.87072753906,27.8999996185303,-16.7000007629395,44.5999984741211,20.75,-8.96666717529297,20.75,-8.96666717529297,762,107,19,51.499095916748,309,66,309,66,322,-28.9179104477612,-93.471944,44.2261111,44.2261111,-93.471944,44.2261111,-93.471944,131,0,22.62,0,0,6.5,26.81,36.58,36.61,1.29,3.26,4.14,6.69,0.19,None,None,Poorly drained,19.29,34.91,SakatahLakeMN,44.2261111,-93.471944
QUE002601_mac,mac,0.99995,1e-05,44.86798,-93.03203,7.49166679382324,11.3333330154419,25.3542137145996,1198.57275390625,28.8999996185303,-15.8000001907349,44.7000007629395,21.4833335876465,-8.14999961853027,21.4833335876465,-8.14999961853027,753,109,19,50.8386878967285,312,66,312,66,231,-32.3450134770889,-93.03203,44.86798,44.86798,-93.03203,44.86798,-93.03203,148,0,12.63,0,0,6.44,17.57,33.69,48.74,1.49,1.5,1.42,33.07,0.16,None,None,NA,16.44,18,TwinCitiesMN,44.86798,-93.03203
QUE002638_mac,mac,0.99995,1e-05,43.677,-92.93769,6.99166679382324,11.1666669845581,25.4365978240967,1186.14892578125,28.1000003814697,-15.8000001907349,43.9000015258789,20.8666667938232,-8.5,20.8666667938232,-8.5,805,110,20,50.6270523071289,322,73,322,73,370,-25.255338904364,-92.93769,43.677,43.677,-92.93769,43.677,-92.93769,134,2,11.15,0,0,7.3,14.25,63.68,22.07,1.44,1.5,0.75,23.25,0.17,None,Frequent,Poorly drained,18.54,56.36,AustinMN,43.677,-92.93769
