gene	class
T0000960.2	other
T0001520.2	other
T0003680.2	other
T0004310.2	other
T0005890.2	other
T0007340.2	other
T0007900.2	other
T0008710.2	other
T0009910.2	other
T0010530.2	other
T0011500.2	other
T0011800.2	other
T0013360.2	other
T0013410.2	other
T0015920.2	other
T0018350.2	other
T0019910.2	other
T0021900.2	other
T0024170.2	other
T0027750.2	other
T0027800.2	other
T0032260.2	other
T0032570.2	other
T0033390.2	other
T0033990.2	other
T0034290.2	other
T0035160.2	other
T0036680.2	other
T0037300.2	other
T0039690.2	other
T0041030.2	other
T0041110.2	other
T0043060.2	other
T0043960.2	other
T0047230.2	other
T0054480.2	other
T0054570.2	other
T0057510.2	other
T0062760.2	other
T0064440.2	other
T0064940.2	other
T0069230.2	other
T0070890.2	other
T0070960.2	other
T0071190.2	other
T0074920.2	other
T0077950.2	other
T0078670.2	other
T0079140.2	other
T0080480.2	other
T0081920.2	other
T0083350.2	other
T0087010.2	other
T0087470.2	other
T0089760.2	other
T0089890.2	other
T0090820.2	other
T0090900.2	other
T0093480.2	other
T0093680.2	other
T0096770.2	other
T0099290.2	other
T0102450.2	other
T0103080.2	other
T0104420.2	other
T0105010.2	other
T0106940.2	other
T0107110.2	other
T0112600.2	other
T0114110.2	other
T0120160.2	other
T0120290.2	other
T0121360.2	other
T0123280.2	other
T0124060.2	other
T0127020.2	other
T0130610.2	other
T0131220.2	other
T0132040.2	other
T0134800.2	other
T0145250.2	other
T0147230.2	other
T0149130.2	other
T0151270.2	other
T0152220.2	other
T0152530.2	other
T0152730.2	other
T0153230.2	other
T0153260.2	other
T0160680.2	other
T0173110.2	other
T0174450.2	other
T0177540.2	other
T0178280.2	other
T0180310.2	other
T0181850.2	other
T0183180.2	other
T0186120.2	other
T0188100.2	other
T0188250.2	other
T0188950.2	other
T0189540.2	other
T0200130.2	other
T0200530.2	other
T0200540.2	other
T0200550.2	other
T0200840.2	other
T0201490.2	other
T0201810.2	other
T0204240.2	other
T0204250.2	other
T0205230.2	other
T0206040.2	other
T0206170.2	other
T0208700.2	other
T0208740.2	other
T0210740.2	other
T0211100.2	other
T0211560.2	other
T0213120.2	other
T0213790.2	other
T0213800.2	other
T0214960.2	other
T0221170.2	other
T0225390.2	other
T0225690.2	other
T0228250.2	other
T0228290.2	other
T0229880.2	other
T0231260.2	other
T0231390.2	other
T0232730.2	other
T0236590.2	other
T0237000.2	other
T0238920.2	other
T0239060.2	other
T0240820.2	other
T0240910.2	other
T0244150.2	other
T0244160.2	other
T0244370.2	other
T0245370.2	other
T0252040.2	other
T0252880.2	other
T0259550.2	other
T0262820.2	other
T0264720.2	other
T0265960.2	other
T0268730.2	other
T0270980.2	other
T0272270.2	other
T0274880.2	other
T0275540.2	other
T0276670.2	other
T0277850.2	other
T0279420.2	other
T0279510.2	other
T0279720.2	other
T0280040.2	other
T0283010.2	other
T0283240.2	other
T0290740.2	other
T0290750.2	other
T0291930.2	other
T0296180.2	other
T0297560.2	other
T0297570.2	other
T0299670.2	other
T0301020.2	other
T0301030.2	other
T0304420.2	other
T0304590.2	other
T0304850.2	other
T0304870.2	other
T0310620.2	other
T0311930.2	other
T0313190.2	other
T0313440.2	other
T0313490.2	other
T0317700.2	other
T0320640.2	other
T0321300.2	other
T0322880.2	other
T0324380.2	other
T0326720.2	other
T0328120.2	other
T0328410.2	other
T0328480.2	other
T0330250.2	other
T0332960.2	other
T0334920.2	other
T0336130.2	other
T0337810.2	other
T0340080.2	other
T0340770.2	other
T0340860.2	other
T0345400.2	other
T0345420.2	other
T0346100.2	other
T0349670.2	other
T0351630.2	other
T0357150.2	other
T0361130.2	other
T0361150.2	other
T0362810.2	other
T0367110.2	other
T0372250.2	other
T0374810.2	other
T0379640.2	other
T0380890.2	other
T0382640.2	other
T0383070.2	other
T0388510.2	other
T0391590.2	other
T0391930.2	other
T0392860.2	other
T0396680.2	other
T0399150.2	other
T0400850.2	other
T0403390.2	other
T0403640.2	other
T0406260.2	other
T0408620.2	other
T0410140.2	other
T0411840.2	other
T0413250.2	other
T0418340.2	other
T0418360.2	other
T0422720.2	other
T0424710.2	other
T0426040.2	other
T0429960.2	other
T0429990.2	other
T0430540.2	other
T0433000.2	other
T0434080.2	other
T0434780.2	other
T0435820.2	other
T0436210.2	other
T0436220.2	other
T0437060.2	other
T0437930.2	other
T0439950.2	other
T0440150.2	other
T0448380.2	other
T0448480.2	other
T0454970.2	other
T0457120.2	other
T0458950.2	other
T0464270.2	other
T0464560.2	other
T0465430.2	other
T0468410.2	other
T0468470.2	other
T0472090.2	other
T0472290.2	other
T0472310.2	other
T0478260.2	other
T0479090.2	other
T0483750.2	other
T0484720.2	other
T0484830.2	other
T0485820.2	other
T0489190.2	other
T0495310.2	other
T0495840.2	other
T0497670.2	other
T0497780.2	other
T0497790.2	other
T0499140.2	other
T0500260.2	other
T0502480.2	other
T0503420.2	other
T0505320.2	other
T0507370.2	other
T0509210.2	other
T0511130.2	other
T0516300.2	other
T0516340.2	other
T0517740.2	other
T0517770.2	other
T0519140.2	other
T0520580.2	other
T0523460.2	other
T0523500.2	other
T0532570.2	other
T0533440.2	other
T0533480.2	other
T0535970.2	other
T0541070.2	other
T0541480.2	other
T0542140.2	other
T0543290.2	other
T0543300.2	other
T0546070.2	other
T0551210.2	other
T0558960.2	other
T0559150.2	other
T0559860.2	other
T0563310.2	other
T0564850.2	other
T0567690.2	other
T0568790.2	other
T0572060.2	other
T0573790.2	other
T0576320.2	other
T0577100.2	other
T0580420.2	other
T0580480.2	other
T0583940.2	other
T0584630.2	other
T0586450.2	other
T0589130.2	other
T0594400.2	other
T0598060.2	other
T0598420.2	other
T0600570.2	other
T0602160.2	other
T0603090.2	other
T0603840.2	other
T0608200.2	other
T0609750.2	other
T0609910.2	other
T0612010.2	other
T0612090.2	other
T0612590.2	other
T0612610.2	other
T0612790.2	other
T0614860.2	other
T0616170.2	other
T0618890.2	other
T0619560.2	other
T0624320.2	other
T0627340.2	other
T0628690.2	other
T0631360.2	other
T0632110.2	other
T0632410.2	other
T0633270.2	other
T0641260.2	other
T0641730.2	other
T0643650.2	other
T0647940.2	other
T0653050.2	other
T0653790.2	other
T0656130.2	other
T0656180.2	other
T0656370.2	other
T0657130.2	other
T0658550.2	other
T0659760.2	other
T0661920.2	other
T0662330.2	other
T0662790.2	other
T0663030.2	other
T0665420.2	other
T0666140.2	other
T0667570.2	other
T0668620.2	other
T0668830.2	other
T0674130.2	other
T0674370.2	other
T0674880.2	other
T0676330.2	other
T0676340.2	other
T0676890.2	other
T0679260.2	other
T0680320.2	other
T0681430.2	other
T0682710.2	other
T0683640.2	other
T0683750.2	other
T0685880.2	other
T0687160.2	other
T0689040.2	other
T0692890.2	other
T0697550.2	other
T0698870.2	other
T0705220.2	other
T0705310.2	other
T0706610.2	other
T0707900.2	other
T0711800.2	other
T0713110.2	other
T0713850.2	other
T0713880.2	other
T0716070.2	other
T0718850.2	other
T0722900.2	other
T0723290.2	other
T0727750.2	other
T0728120.2	other
T0729230.2	other
T0732900.2	other
T0736420.2	other
T0737590.2	other
T0738330.2	other
T0746150.2	other
T0748330.2	other
T0750560.2	other
T0757480.2	other
T0766940.2	other
T0768180.2	other
T0332850.2	bud
T0413110.2	bud
T0425450.2	bud
T0517960.2	bud
T0112320.2	bud
T0657660.2	bud
T0279560.2	bud
T0583840.2	bud
T0432820.2	bud
T0571140.2	bud
T0332950.2	bud
T0017140.2	bud
T0090110.2	bud
T0625210.2	bud
T0074210.2	bud
T0437630.2	bud
T0295690.2	bud
T0202290.2	bud
T0766030.2	bud
T0200590.2	bud
T0523490.2	bud
T0439920.2	bud
T0316630.2	bud
T0122500.2	bud
T0496770.2	bud
T0083070.2	bud
T0136420.2	bud
T0093000.2	bud
T0137480.2	bud
T0727770.2	bud
T0276790.2	drought
T0043270.2	drought
T0011280.2	drought
T0265180.2	drought
T0567500.2	drought
T0609950.2	drought
T0331600.2	drought
T0630820.2	drought
T0080590.2	drought
T0653160.2	drought
T0178450.2	drought
T0357720.2	drought
T0080580.2	drought
T0131370.2	drought
T0088470.2	drought
T0107060.2	drought
T0654080.2	drought
T0215910.2	drought
T0304470.2	drought
T0731620.2	drought
T0726020.2	drought
T0032230.2	drought
T0519170.2	drought
T0742900.2	drought
T0124710.2	drought
T0493470.2	drought
T0440000.2	drought
T0178900.2	drought
T0251500.2	drought
T0225400.2	drought
T0707350.2	icehos
T0080420.2	icehos
