Sample	Unique Reads	Duplicate Reads
trimmed-paired-JCB-21_S42_L001_R1_001	219578.0	10835.0
trimmed-paired-JCB-21_S42_L001_R2_001	220265.0	10148.0
trimmed-paired-JCB-23_S40_L001_R1_001	245856.0	11267.0
trimmed-paired-JCB-23_S40_L001_R2_001	246814.0	10309.0
trimmed-paired-JCB-30_S45_L001_R1_001	167767.0	18562.0
trimmed-paired-JCB-30_S45_L001_R2_001	168741.0	17588.0
trimmed-paired-JCB-40_S32_L001_R1_001	161975.0	14735.0
trimmed-paired-JCB-40_S32_L001_R2_001	162798.0	13912.0
trimmed-paired-JCB-41_S33_L001_R1_001	329526.0	72421.0
trimmed-paired-JCB-41_S33_L001_R2_001	333198.0	68749.0
trimmed-paired-JCB-43_S35_L001_R1_001	215652.0	12076.0
trimmed-paired-JCB-43_S35_L001_R2_001	216748.0	10980.0
trimmed-paired-JCB-44_S36_L001_R1_001	227711.0	13724.0
trimmed-paired-JCB-44_S36_L001_R2_001	228931.0	12504.0
trimmed-paired-JCB-54_S48_L001_R1_001	169215.0	13493.0
trimmed-paired-JCB-54_S48_L001_R2_001	170477.0	12231.0
trimmed-paired-JCB-58_S39_L001_R1_001	148708.0	10679.0
trimmed-paired-JCB-58_S39_L001_R2_001	149693.0	9694.0
trimmed-paired-JCB-68_S37_L001_R1_001	318447.0	115319.0
trimmed-paired-JCB-68_S37_L001_R2_001	321924.0	111842.0
trimmed-paired-JCB-73_S43_L001_R1_001	183562.0	13001.0
trimmed-paired-JCB-73_S43_L001_R2_001	184550.0	12013.0
trimmed-paired-JCB-79_S34_L001_R1_001	186309.0	12730.0
trimmed-paired-JCB-79_S34_L001_R2_001	187294.0	11745.0
trimmed-paired-JCB-85_S47_L001_R1_001	193109.0	7735.0
trimmed-paired-JCB-85_S47_L001_R2_001	193770.0	7074.0
trimmed-paired-JCB-90_S41_L001_R1_001	240459.0	13231.0
trimmed-paired-JCB-90_S41_L001_R2_001	241242.0	12448.0
trimmed-paired-JCB-91_S46_L001_R1_001	264071.0	13952.0
trimmed-paired-JCB-91_S46_L001_R2_001	264921.0	13102.0
trimmed-paired-JCB-97_S38_L001_R1_001	274494.0	14302.0
trimmed-paired-JCB-97_S38_L001_R2_001	275585.0	13211.0
trimmed-paired-JCB-99_S44_L001_R1_001	230798.0	12602.0
trimmed-paired-JCB-99_S44_L001_R2_001	231609.0	11791.0
trimmed-paired-MVX_1002_EGX_P6_S32_L001_R1_001	79801.0	14224.0
trimmed-paired-MVX_1002_EGX_P6_S32_L001_R2_001	80238.0	13787.0
trimmed-paired-OAK-MOR-000068_S321_L007_R1_001	564406.0	231940.0
trimmed-paired-OAK-MOR-000068_S321_L007_R2_001	634770.0	161576.0
trimmed-paired-OAK-MOR-000076_S323_L007_R1_001	814120.0	286907.0
trimmed-paired-OAK-MOR-000076_S323_L007_R2_001	880976.0	220051.0
trimmed-paired-OAK-MOR-000127_S330_L007_R1_001	394941.0	319241.0
trimmed-paired-OAK-MOR-000127_S330_L007_R2_001	470383.0	243799.0
trimmed-paired-OAK-MOR-000133_S360_L007_R1_001	818184.0	445228.0
trimmed-paired-OAK-MOR-000133_S360_L007_R2_001	922911.0	340501.0
trimmed-paired-OAK-MOR-000135_S359_L007_R1_001	583612.0	276300.0
trimmed-paired-OAK-MOR-000135_S359_L007_R2_001	656895.0	203017.0
trimmed-paired-OAK-MOR-000142_S351_L007_R1_001	527202.0	265348.0
trimmed-paired-OAK-MOR-000142_S351_L007_R2_001	594395.0	198155.0
trimmed-paired-OAK-MOR-000189_S296_L007_R1_001	529507.0	318483.0
trimmed-paired-OAK-MOR-000189_S296_L007_R2_001	611681.0	236309.0
trimmed-paired-OAK-MOR-000222_S300_L007_R1_001	827314.0	497669.0
trimmed-paired-OAK-MOR-000222_S300_L007_R2_001	944908.0	380075.0
trimmed-paired-OAK-MOR-000254_S356_L007_R1_001	542082.0	269236.0
trimmed-paired-OAK-MOR-000254_S356_L007_R2_001	601475.0	209843.0
trimmed-paired-OAK-MOR-000256_S344_L007_R1_001	490066.0	322865.0
trimmed-paired-OAK-MOR-000256_S344_L007_R2_001	574151.0	238780.0
trimmed-paired-OAK-MOR-000342_S202_L007_R1_001	726958.0	445495.0
trimmed-paired-OAK-MOR-000342_S202_L007_R2_001	837080.0	335373.0
trimmed-paired-OAK-MOR-000346_S326_L007_R1_001	834610.0	318298.0
trimmed-paired-OAK-MOR-000346_S326_L007_R2_001	900342.0	252566.0
trimmed-paired-OAK-MOR-000354_S343_L007_R1_001	765822.0	303411.0
trimmed-paired-OAK-MOR-000354_S343_L007_R2_001	837033.0	232200.0
trimmed-paired-OAK-MOR-000358_S348_L007_R1_001	650810.0	240889.0
trimmed-paired-OAK-MOR-000358_S348_L007_R2_001	706257.0	185442.0
trimmed-paired-OAK-MOR-000362_S294_L007_R1_001	832440.0	331117.0
trimmed-paired-OAK-MOR-000362_S294_L007_R2_001	910942.0	252615.0
trimmed-paired-OAK-MOR-000365_S295_L007_R1_001	820924.0	342125.0
trimmed-paired-OAK-MOR-000365_S295_L007_R2_001	895614.0	267435.0
trimmed-paired-OAK-MOR-000370_S329_L007_R1_001	934752.0	676490.0
trimmed-paired-OAK-MOR-000370_S329_L007_R2_001	1092623.0	518619.0
trimmed-paired-OAK-MOR-000390_S355_L007_R1_001	628516.0	231584.0
trimmed-paired-OAK-MOR-000390_S355_L007_R2_001	685318.0	174782.0
trimmed-paired-OAK-MOR-000391_S346_L007_R1_001	580835.0	202222.0
trimmed-paired-OAK-MOR-000391_S346_L007_R2_001	625677.0	157380.0
trimmed-paired-OAK-MOR-000392_S324_L007_R1_001	679072.0	437817.0
trimmed-paired-OAK-MOR-000392_S324_L007_R2_001	786630.0	330259.0
trimmed-paired-OAK-MOR-000399_S357_L007_R1_001	388685.0	144074.0
trimmed-paired-OAK-MOR-000399_S357_L007_R2_001	426171.0	106588.0
trimmed-paired-OAK-MOR-000418_S298_L007_R1_001	775107.0	307333.0
trimmed-paired-OAK-MOR-000418_S298_L007_R2_001	851578.0	230862.0
trimmed-paired-OAK-MOR-000428_S301_L007_R1_001	735628.0	289424.0
trimmed-paired-OAK-MOR-000428_S301_L007_R2_001	800463.0	224589.0
trimmed-paired-OAK-MOR-000431_S327_L007_R1_001	454493.0	136402.0
trimmed-paired-OAK-MOR-000431_S327_L007_R2_001	484448.0	106447.0
trimmed-paired-OAK-MOR-000435_S352_L007_R1_001	572897.0	371664.0
trimmed-paired-OAK-MOR-000435_S352_L007_R2_001	664409.0	280152.0
trimmed-paired-OAK-MOR-000444_S299_L007_R1_001	611902.0	1063961.0
trimmed-paired-OAK-MOR-000444_S299_L007_R2_001	765492.0	910371.0
trimmed-paired-OAK-MOR-000461_S345_L007_R1_001	473473.0	444281.0
trimmed-paired-OAK-MOR-000461_S345_L007_R2_001	570726.0	347028.0
trimmed-paired-OAK-MOR-000476_S331_L007_R1_001	1396238.0	998179.0
trimmed-paired-OAK-MOR-000476_S331_L007_R2_001	1589461.0	804956.0
trimmed-paired-OAK-MOR-000488_S341_L007_R1_001	668762.0	274003.0
trimmed-paired-OAK-MOR-000488_S341_L007_R2_001	735260.0	207505.0
trimmed-paired-OAK-MOR-000490_S347_L007_R1_001	355725.0	236587.0
trimmed-paired-OAK-MOR-000490_S347_L007_R2_001	414022.0	178290.0
trimmed-paired-OAK-MOR-000495_S337_L007_R1_001	1305.0	339.0
trimmed-paired-OAK-MOR-000495_S337_L007_R2_001	1313.0	331.0
trimmed-paired-OAK-MOR-000498_S353_L007_R1_001	411257.0	276746.0
trimmed-paired-OAK-MOR-000498_S353_L007_R2_001	483266.0	204737.0
trimmed-paired-OAK-MOR-000500_S349_L007_R1_001	1060737.0	972838.0
trimmed-paired-OAK-MOR-000500_S349_L007_R2_001	1275734.0	757841.0
trimmed-paired-OAK-MOR-000507_S367_L007_R1_001	365346.0	598145.0
trimmed-paired-OAK-MOR-000507_S367_L007_R2_001	509837.0	453654.0
trimmed-paired-OAK-MOR-000511_S297_L007_R1_001	397867.0	631464.0
trimmed-paired-OAK-MOR-000511_S297_L007_R2_001	429900.0	599431.0
trimmed-paired-OAK-MOR-000513_S354_L007_R1_001	254106.0	181594.0
trimmed-paired-OAK-MOR-000513_S354_L007_R2_001	296630.0	139070.0
trimmed-paired-OAK-MOR-000532_S196_L007_R1_001	777013.0	306112.0
trimmed-paired-OAK-MOR-000532_S196_L007_R2_001	849894.0	233231.0
trimmed-paired-OAK-MOR-000537_S292_L007_R1_001	403814.0	339958.0
trimmed-paired-OAK-MOR-000537_S292_L007_R2_001	486055.0	257717.0
trimmed-paired-OAK-MOR-000543_S358_L007_R1_001	476553.0	176846.0
trimmed-paired-OAK-MOR-000543_S358_L007_R2_001	520549.0	132850.0
trimmed-paired-OAK-MOR-000545_S325_L007_R1_001	529836.0	337442.0
trimmed-paired-OAK-MOR-000545_S325_L007_R2_001	620949.0	246329.0
trimmed-paired-OAK-MOR-000575_S322_L007_R1_001	711314.0	238994.0
trimmed-paired-OAK-MOR-000575_S322_L007_R2_001	766101.0	184207.0
trimmed-paired-OAK-MOR-000595_S361_L007_R1_001	603085.0	186475.0
trimmed-paired-OAK-MOR-000595_S361_L007_R2_001	655464.0	134096.0
trimmed-paired-OAK-MOR-000601_S328_L007_R1_001	831511.0	366729.0
trimmed-paired-OAK-MOR-000601_S328_L007_R2_001	910134.0	288106.0
trimmed-paired-OAK-MOR-000625_S363_L007_R1_001	795136.0	375544.0
trimmed-paired-OAK-MOR-000625_S363_L007_R2_001	877761.0	292919.0
trimmed-paired-OAK-MOR-000639_S239_L007_R1_001	1252912.0	1502605.0
trimmed-paired-OAK-MOR-000639_S239_L007_R2_001	1527847.0	1227670.0
trimmed-paired-OAK-MOR-000650_S362_L007_R1_001	751247.0	313985.0
trimmed-paired-OAK-MOR-000650_S362_L007_R2_001	817691.0	247541.0
trimmed-paired-OAK-MOR-000687_S350_L007_R1_001	697082.0	293251.0
trimmed-paired-OAK-MOR-000687_S350_L007_R2_001	769062.0	221271.0
trimmed-paired-OAK-MOR-000688_S320_L007_R1_001	603218.0	205391.0
trimmed-paired-OAK-MOR-000688_S320_L007_R2_001	645470.0	163139.0
trimmed-paired-OAK-MOR-000696_S365_L007_R1_001	883361.0	369654.0
trimmed-paired-OAK-MOR-000696_S365_L007_R2_001	962611.0	290404.0
