Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trimmed-paired-JCB-21_S42_L001_R1_001	trimmed-paired-JCB-21_S42_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	230413.0	0.0	40-301	38.0	95.29724813445387	262.1619743677657	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-21_S42_L001_R2_001	trimmed-paired-JCB-21_S42_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	230413.0	0.0	40-301	38.0	95.59562095524691	212.66825656538475	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed-paired-JCB-23_S40_L001_R1_001	trimmed-paired-JCB-23_S40_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	257123.0	0.0	40-301	39.0	95.61800358684445	262.7121844409096	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-23_S40_L001_R2_001	trimmed-paired-JCB-23_S40_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	257123.0	0.0	40-301	38.0	95.99040383677033	209.42396829532947	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-30_S45_L001_R1_001	trimmed-paired-JCB-30_S45_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186329.0	0.0	40-301	39.0	90.03781168060205	266.18852137885136	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-30_S45_L001_R2_001	trimmed-paired-JCB-30_S45_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186329.0	0.0	40-301	39.0	90.560734449468	217.5092444010326	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-40_S32_L001_R1_001	trimmed-paired-JCB-40_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	176710.0	0.0	40-301	39.0	91.66119972564725	265.15765378303433	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-40_S32_L001_R2_001	trimmed-paired-JCB-40_S32_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	176710.0	0.0	40-301	39.0	92.12700348842701	215.3519551808047	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-41_S33_L001_R1_001	trimmed-paired-JCB-41_S33_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	401947.0	0.0	40-301	40.0	81.98227683590528	267.1461013516707	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed-paired-JCB-41_S33_L001_R2_001	trimmed-paired-JCB-41_S33_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	401947.0	0.0	40-301	39.0	82.89579359255576	221.08084647975977	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
