sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
IL-MOR-MH086	OAK-MOR-000076	HybSeq using Quercus custom baits of Quercus alba from USA:Michigan	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000076_S323_L007_R1_001.fastq.gz	OAK-MOR-000076_S323_L007_R2_001.fastq.gz				
IL-MOR-MH094	OAK-MOR-000342	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000342_S202_L007_R1_001.fastq.gz	OAK-MOR-000342_S202_L007_R2_001.fastq.gz				
CA-DAV-MH49	OAK-MOR-000639	HybSeq using Quercus custom baits of Quercus muehlenbergii from USA:Texas	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000639_S239_L007_R1_001.fastq.gz	OAK-MOR-000639_S239_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS1	OAK-MOR-000738	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000738_S214_L007_R1_001.fastq.gz	OAK-MOR-000738_S214_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS2	OAK-MOR-000739	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000739_S257_L007_R1_001.fastq.gz	OAK-MOR-000739_S257_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS3	OAK-MOR-000740	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000740_S255_L007_R1_001.fastq.gz	OAK-MOR-000740_S255_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS4	OAK-MOR-000741	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000741_S236_L007_R1_001.fastq.gz	OAK-MOR-000741_S236_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS5	OAK-MOR-000742	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000742_S248_L007_R1_001.fastq.gz	OAK-MOR-000742_S248_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS6	OAK-MOR-000743	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000743_S261_L007_R1_001.fastq.gz	OAK-MOR-000743_S261_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS7	OAK-MOR-000744	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000744_S265_L007_R1_001.fastq.gz	OAK-MOR-000744_S265_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS8	OAK-MOR-000771	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000771_S238_L007_R1_001.fastq.gz	OAK-MOR-000771_S238_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS9	OAK-MOR-000746	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000746_S224_L007_R1_001.fastq.gz	OAK-MOR-000746_S224_L007_R2_001.fastq.gz				
