Sample	Unique Reads	Duplicate Reads
JCB-21_S42_L001_R1_001	266352.0	14871.0
JCB-21_S42_L001_R2_001	268252.0	12971.0
JCB-23_S40_L001_R1_001	294966.0	15353.0
JCB-23_S40_L001_R2_001	297162.0	13157.0
JCB-30_S45_L001_R1_001	209597.0	15093.0
JCB-30_S45_L001_R2_001	211180.0	13510.0
JCB-40_S32_L001_R1_001	201842.0	12710.0
JCB-40_S32_L001_R2_001	203371.0	11181.0
JCB-41_S33_L001_R1_001	389026.0	93639.0
JCB-41_S33_L001_R2_001	396695.0	85970.0
JCB-43_S35_L001_R1_001	279230.0	17929.0
JCB-43_S35_L001_R2_001	282134.0	15025.0
JCB-44_S36_L001_R1_001	271885.0	19042.0
JCB-44_S36_L001_R2_001	275119.0	15808.0
JCB-54_S48_L001_R1_001	205405.0	10641.0
JCB-54_S48_L001_R2_001	207245.0	8801.0
JCB-58_S39_L001_R1_001	188499.0	10383.0
JCB-58_S39_L001_R2_001	190355.0	8527.0
JCB-68_S37_L001_R1_001	400833.0	158809.0
JCB-68_S37_L001_R2_001	408515.0	151127.0
JCB-73_S43_L001_R1_001	232898.0	10291.0
JCB-73_S43_L001_R2_001	234214.0	8975.0
JCB-79_S34_L001_R1_001	226348.0	17566.0
JCB-79_S34_L001_R2_001	228521.0	15393.0
JCB-85_S47_L001_R1_001	230854.0	10788.0
JCB-85_S47_L001_R2_001	232636.0	9006.0
JCB-90_S41_L001_R1_001	282970.0	17491.0
JCB-90_S41_L001_R2_001	284939.0	15522.0
JCB-91_S46_L001_R1_001	332555.0	20082.0
JCB-91_S46_L001_R2_001	334636.0	18001.0
JCB-97_S38_L001_R1_001	353146.0	21145.0
JCB-97_S38_L001_R2_001	355703.0	18588.0
JCB-99_S44_L001_R1_001	289163.0	17821.0
JCB-99_S44_L001_R2_001	291112.0	15872.0
MVX_1002_EGX_P6_S32_L001_R1_001	205995.0	30093.0
MVX_1002_EGX_P6_S32_L001_R2_001	207177.0	28911.0
OAK-MOR-000068_S321_L007_R1_001	754445.0	375349.0
OAK-MOR-000068_S321_L007_R2_001	868127.0	261667.0
OAK-MOR-000076_S323_L007_R1_001	1021706.0	435882.0
OAK-MOR-000076_S323_L007_R2_001	1129378.0	328210.0
OAK-MOR-000127_S330_L007_R1_001	506720.0	485172.0
OAK-MOR-000127_S330_L007_R2_001	634008.0	357884.0
OAK-MOR-000133_S360_L007_R1_001	1017908.0	658562.0
OAK-MOR-000133_S360_L007_R2_001	1173683.0	502787.0
OAK-MOR-000135_S359_L007_R1_001	743184.0	420147.0
OAK-MOR-000135_S359_L007_R2_001	850211.0	313120.0
OAK-MOR-000142_S351_L007_R1_001	662103.0	403118.0
OAK-MOR-000142_S351_L007_R2_001	764239.0	300982.0
OAK-MOR-000189_S296_L007_R1_001	671790.0	482805.0
OAK-MOR-000189_S296_L007_R2_001	794218.0	360377.0
OAK-MOR-000222_S300_L007_R1_001	1038222.0	754328.0
OAK-MOR-000222_S300_L007_R2_001	1223618.0	568932.0
OAK-MOR-000254_S356_L007_R1_001	680106.0	397878.0
OAK-MOR-000254_S356_L007_R2_001	774736.0	303248.0
OAK-MOR-000256_S344_L007_R1_001	630036.0	490879.0
OAK-MOR-000256_S344_L007_R2_001	758105.0	362810.0
OAK-MOR-000342_S202_L007_R1_001	919139.0	677875.0
OAK-MOR-000342_S202_L007_R2_001	1092780.0	504234.0
OAK-MOR-000346_S326_L007_R1_001	1022207.0	466261.0
OAK-MOR-000346_S326_L007_R2_001	1125395.0	363073.0
OAK-MOR-000354_S343_L007_R1_001	962918.0	466438.0
OAK-MOR-000354_S343_L007_R2_001	1079748.0	349608.0
OAK-MOR-000358_S348_L007_R1_001	810365.0	362048.0
OAK-MOR-000358_S348_L007_R2_001	898607.0	273806.0
OAK-MOR-000362_S294_L007_R1_001	1068809.0	508304.0
OAK-MOR-000362_S294_L007_R2_001	1199328.0	377785.0
OAK-MOR-000365_S295_L007_R1_001	1033488.0	518947.0
OAK-MOR-000365_S295_L007_R2_001	1159222.0	393213.0
OAK-MOR-000370_S329_L007_R1_001	1155798.0	1009770.0
OAK-MOR-000370_S329_L007_R2_001	1401172.0	764396.0
OAK-MOR-000390_S355_L007_R1_001	793092.0	351977.0
OAK-MOR-000390_S355_L007_R2_001	882424.0	262645.0
OAK-MOR-000391_S346_L007_R1_001	716432.0	298059.0
OAK-MOR-000391_S346_L007_R2_001	783680.0	230811.0
OAK-MOR-000392_S324_L007_R1_001	851647.0	651139.0
OAK-MOR-000392_S324_L007_R2_001	1007599.0	495187.0
OAK-MOR-000399_S357_L007_R1_001	494691.0	222996.0
OAK-MOR-000399_S357_L007_R2_001	554827.0	162860.0
OAK-MOR-000418_S298_L007_R1_001	1002446.0	478455.0
OAK-MOR-000418_S298_L007_R2_001	1131783.0	349118.0
OAK-MOR-000428_S301_L007_R1_001	917429.0	433583.0
OAK-MOR-000428_S301_L007_R2_001	1019222.0	331790.0
OAK-MOR-000431_S327_L007_R1_001	575118.0	206377.0
OAK-MOR-000431_S327_L007_R2_001	624714.0	156781.0
OAK-MOR-000435_S352_L007_R1_001	718642.0	555359.0
OAK-MOR-000435_S352_L007_R2_001	855237.0	418764.0
OAK-MOR-000444_S299_L007_R1_001	676077.0	1389997.0
OAK-MOR-000444_S299_L007_R2_001	880094.0	1185980.0
OAK-MOR-000461_S345_L007_R1_001	568678.0	634775.0
OAK-MOR-000461_S345_L007_R2_001	702254.0	501199.0
OAK-MOR-000476_S331_L007_R1_001	1636867.0	1401142.0
OAK-MOR-000476_S331_L007_R2_001	1913618.0	1124391.0
OAK-MOR-000488_S341_L007_R1_001	841032.0	418226.0
OAK-MOR-000488_S341_L007_R2_001	947516.0	311742.0
OAK-MOR-000490_S347_L007_R1_001	467494.0	365127.0
OAK-MOR-000490_S347_L007_R2_001	567319.0	265302.0
OAK-MOR-000495_S337_L007_R1_001	1547.0	428.0
OAK-MOR-000495_S337_L007_R2_001	1566.0	409.0
OAK-MOR-000498_S353_L007_R1_001	528198.0	422561.0
OAK-MOR-000498_S353_L007_R2_001	639725.0	311034.0
OAK-MOR-000500_S349_L007_R1_001	1310630.0	1430979.0
OAK-MOR-000500_S349_L007_R2_001	1641155.0	1100454.0
OAK-MOR-000507_S367_L007_R1_001	479459.0	894714.0
OAK-MOR-000507_S367_L007_R2_001	698689.0	675484.0
OAK-MOR-000511_S297_L007_R1_001	436495.0	796350.0
OAK-MOR-000511_S297_L007_R2_001	477740.0	755105.0
OAK-MOR-000513_S354_L007_R1_001	334807.0	274653.0
OAK-MOR-000513_S354_L007_R2_001	403023.0	206437.0
OAK-MOR-000532_S196_L007_R1_001	948910.0	455111.0
OAK-MOR-000532_S196_L007_R2_001	1054976.0	349045.0
OAK-MOR-000537_S292_L007_R1_001	530861.0	512841.0
OAK-MOR-000537_S292_L007_R2_001	658173.0	385529.0
OAK-MOR-000543_S358_L007_R1_001	614325.0	272933.0
OAK-MOR-000543_S358_L007_R2_001	685657.0	201601.0
OAK-MOR-000545_S325_L007_R1_001	677293.0	511562.0
OAK-MOR-000545_S325_L007_R2_001	806394.0	382461.0
OAK-MOR-000575_S322_L007_R1_001	891584.0	358520.0
OAK-MOR-000575_S322_L007_R2_001	977958.0	272146.0
OAK-MOR-000595_S361_L007_R1_001	803363.0	301380.0
OAK-MOR-000595_S361_L007_R2_001	893858.0	210885.0
OAK-MOR-000601_S328_L007_R1_001	1020869.0	534954.0
OAK-MOR-000601_S328_L007_R2_001	1141409.0	414414.0
OAK-MOR-000625_S363_L007_R1_001	974849.0	550781.0
OAK-MOR-000625_S363_L007_R2_001	1100693.0	424937.0
OAK-MOR-000639_S239_L007_R1_001	1432829.0	2113712.0
OAK-MOR-000639_S239_L007_R2_001	1856992.0	1689549.0
OAK-MOR-000650_S362_L007_R1_001	928647.0	462559.0
OAK-MOR-000650_S362_L007_R2_001	1031931.0	359275.0
OAK-MOR-000687_S350_L007_R1_001	887308.0	452026.0
OAK-MOR-000687_S350_L007_R2_001	1006862.0	332472.0
OAK-MOR-000688_S320_L007_R1_001	707057.0	288265.0
OAK-MOR-000688_S320_L007_R2_001	760630.0	234692.0
OAK-MOR-000696_S365_L007_R1_001	1085381.0	545508.0
OAK-MOR-000696_S365_L007_R2_001	1211599.0	419290.0
OAK-MOR-000697_S364_L007_R1_001	1110766.0	888276.0
OAK-MOR-000697_S364_L007_R2_001	1320367.0	678675.0
OAK-MOR-000718_S366_L007_R1_001	936127.0	373215.0
OAK-MOR-000718_S366_L007_R2_001	1032936.0	276406.0
OAK-MOR-000738_S214_L007_R1_001	858636.0	395996.0
OAK-MOR-000738_S214_L007_R2_001	937622.0	317010.0
OAK-MOR-000739_S257_L007_R1_001	706612.0	381822.0
OAK-MOR-000739_S257_L007_R2_001	786692.0	301742.0
OAK-MOR-000740_S255_L007_R1_001	794408.0	470924.0
OAK-MOR-000740_S255_L007_R2_001	885897.0	379435.0
OAK-MOR-000741_S236_L007_R1_001	1090953.0	1405218.0
OAK-MOR-000741_S236_L007_R2_001	1338990.0	1157181.0
OAK-MOR-000742_S248_L007_R1_001	717481.0	376503.0
OAK-MOR-000742_S248_L007_R2_001	798762.0	295222.0
OAK-MOR-000743_S261_L007_R1_001	725269.0	368862.0
OAK-MOR-000743_S261_L007_R2_001	806479.0	287652.0
OAK-MOR-000744_S265_L007_R1_001	706529.0	452361.0
OAK-MOR-000744_S265_L007_R2_001	805158.0	353732.0
OAK-MOR-000746_S224_L007_R1_001	825657.0	400440.0
OAK-MOR-000746_S224_L007_R2_001	913815.0	312282.0
OAK-MOR-000747_S274_L007_R1_001	714291.0	507210.0
OAK-MOR-000747_S274_L007_R2_001	816027.0	405474.0
OAK-MOR-000748_S264_L007_R1_001	659226.0	438974.0
OAK-MOR-000748_S264_L007_R2_001	754823.0	343377.0
OAK-MOR-000749_S272_L007_R1_001	600031.0	404319.0
OAK-MOR-000749_S272_L007_R2_001	684619.0	319731.0
OAK-MOR-000750_S276_L007_R1_001	547491.0	383876.0
OAK-MOR-000750_S276_L007_R2_001	630658.0	300709.0
OAK-MOR-000751_S278_L007_R1_001	589304.0	372225.0
