Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
JCB-21_S42_L001_R1_001										0.004271216080409617	0.0	0.06442417587951173	0.0	0.0	0.0	0.0
JCB-21_S42_L001_R2_001										0.01529945448738546	0.0	0.0	0.0	0.0	0.0	0.0
JCB-23_S40_L001_R1_001										0.0	0.0	0.07157947445939654	0.0	0.0	0.0	0.0
JCB-23_S40_L001_R2_001										0.0	0.0	0.037067146625214605	0.0	0.0	0.0	0.0
JCB-30_S45_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-30_S45_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-40_S32_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-40_S32_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-41_S33_L001_R1_001										0.007865365575186694	0.0	0.0	0.0	0.0	0.0	0.0
JCB-41_S33_L001_R2_001										0.004560485413303049	0.0	0.0	0.0	0.0	0.0	0.0
JCB-43_S35_L001_R1_001										0.0	0.0	0.057239138343559176	0.0	0.0	0.0	0.0
JCB-43_S35_L001_R2_001										0.0	0.0	0.04679660785943295	0.0	0.0	0.0	0.0
JCB-44_S36_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-44_S36_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-54_S48_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-54_S48_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-58_S39_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-58_S39_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-68_S37_L001_R1_001										0.023024605436373958	0.009304861639471841	0.0	0.0	0.0	0.0	0.0
JCB-68_S37_L001_R2_001										0.04309988159503455	0.0	0.0	0.0	0.0	0.0	0.0
JCB-73_S43_L001_R1_001										0.004526304575013782	0.0	0.08599978692526185	0.0	0.0	0.0	0.0
JCB-73_S43_L001_R2_001										0.0	0.0	0.07527774170976152	0.0	0.0	0.0	0.0
JCB-79_S34_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-79_S34_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
JCB-85_S47_L001_R1_001										0.0	0.0	0.05878408493084524	0.0	0.0	0.0	0.0
JCB-85_S47_L001_R2_001										0.0	0.0	0.049693260996068876	0.0	0.0	0.0	0.0
JCB-90_S41_L001_R1_001										0.0067623047902268104	0.0	0.06856133537182836	0.0	0.0	0.0	0.0
JCB-90_S41_L001_R2_001										0.0	0.0	0.06623776518037396	0.0	0.0	0.0	0.0
JCB-91_S46_L001_R1_001										0.004538132782373014	0.0	0.06438475884991712	0.0	0.0	0.0	0.0
JCB-91_S46_L001_R2_001										0.0034632640127341924	0.01503760239510739	0.0	0.0	0.0	0.0	0.0
JCB-97_S38_L001_R1_001										0.0	0.0	0.036881772561094435	0.0	0.0	0.0	0.0
JCB-97_S38_L001_R2_001										0.005076834111553627	0.0	0.0	0.0	0.0	0.0	0.0
JCB-99_S44_L001_R1_001										0.014054528711784876	0.0	0.10427778823827734	0.0	0.0	0.0	0.0
JCB-99_S44_L001_R2_001										0.008474611292846095	0.0	0.07985691410566512	0.0	0.0	0.0	0.0
MVX_1002_EGX_P6_S32_L001_R1_001										0.033042773656509344	0.0	0.0	0.2490916783336858	0.0	0.0	0.0
MVX_1002_EGX_P6_S32_L001_R2_001										0.011017515506360617	0.033476297115480336	0.1665339843846047	0.0	0.0	0.0	0.0
OAK-MOR-000068_S321_L007_R1_001										0.7115969959812254	0.0053591346390371355	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000068_S321_L007_R2_001										0.2954513736342688	0.005973711280816035	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000076_S323_L007_R1_001										0.28325267833338097	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000076_S323_L007_R2_001										0.14005462814222625	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000127_S330_L007_R1_001										3.6896076052753606	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000127_S330_L007_R2_001										2.1564931137762793	0.005389247910637848	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000133_S360_L007_R1_001										2.279000882429371	0.0040334874495982056	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000133_S360_L007_R2_001										1.1465597325874721	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000135_S359_L007_R1_001										1.150342907812781	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000135_S359_L007_R2_001										0.6348033220312276	0.009358774630088945	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000142_S351_L007_R1_001										1.2025790205459483	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000142_S351_L007_R2_001										0.5950943796548404	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000189_S296_L007_R1_001										2.151256081214309	0.005250514180142587	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000189_S296_L007_R2_001										1.1254312422731454	0.0062805906475113076	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000222_S300_L007_R1_001										2.822302250853909	0.0032624350130242607	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000222_S300_L007_R2_001										1.5140513150135921	0.004332202245065348	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000254_S356_L007_R1_001										0.6612858252033019	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000254_S356_L007_R2_001										0.36824275117360633	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000256_S344_L007_R1_001										2.4123784060239712	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000256_S344_L007_R2_001										1.3054855935650498	0.005852742063642328	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000342_S202_L007_R1_001										2.6099284936004543	0.0	0.009937377410779562	0.0	0.0	0.0	0.0
OAK-MOR-000342_S202_L007_R2_001										1.2560738590357767	0.0	0.01079630537582987	0.0	0.0	0.0	0.0
OAK-MOR-000346_S326_L007_R1_001										0.36562152609968185	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000346_S326_L007_R2_001										0.2025834674435823	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000354_S343_L007_R1_001										0.4837074016104437	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000354_S343_L007_R2_001										0.23965460636368438	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000358_S348_L007_R1_001										0.2502103368655894	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000358_S348_L007_R2_001										0.1283305525091518	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000362_S294_L007_R1_001										0.5335796699437284	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000362_S294_L007_R2_001										0.278736452303225	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000365_S295_L007_R1_001										0.5249524882026043	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000365_S295_L007_R2_001										0.25973428625651795	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000370_S329_L007_R1_001										4.286120902140365	0.0	0.007146384392073526	0.0	0.0	0.0	0.0
OAK-MOR-000370_S329_L007_R2_001										2.35312393038467	0.0026234769361658007	0.008018563643285107	0.0	0.0	0.0	0.0
OAK-MOR-000390_S355_L007_R1_001										0.2897630116615184	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000390_S355_L007_R2_001										0.11599696633610353	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000391_S346_L007_R1_001										0.2098505449376864	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000391_S346_L007_R2_001										0.11697710262296257	0.0	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000392_S324_L007_R1_001										2.970641949103193	0.0035763742873993064	0.0	0.0	0.0	0.0	0.0
OAK-MOR-000392_S324_L007_R2_001										1.5824986015079126	0.00388941214093698	0.0	0.0	0.0	0.0	0.0
