Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
JCB-21_S42_L001_R1_001	JCB-21_S42_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	281223.0	0.0	301.0	39.0	94.71181623879306	301.0	301	pass	warn	pass	pass	pass	warn	pass	pass	pass	pass	warn
JCB-21_S42_L001_R2_001	JCB-21_S42_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	281223.0	0.0	301.0	39.0	95.38752658047044	301.0	301	pass	fail	pass	pass	pass	warn	pass	pass	pass	pass	warn
JCB-23_S40_L001_R1_001	JCB-23_S40_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	310319.0	0.0	301.0	39.0	95.05230498083056	301.0	301	pass	warn	pass	pass	pass	warn	pass	pass	pass	pass	pass
JCB-23_S40_L001_R2_001	JCB-23_S40_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	310319.0	0.0	301.0	39.0	95.75986641339077	301.0	301	pass	fail	pass	pass	pass	warn	pass	pass	pass	pass	pass
JCB-30_S45_L001_R1_001	JCB-30_S45_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	224690.0	0.0	301.0	39.0	93.28237163360545	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	warn
JCB-30_S45_L001_R2_001	JCB-30_S45_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	224690.0	0.0	301.0	40.0	93.98718484821215	301.0	301	pass	fail	pass	pass	pass	warn	pass	pass	pass	pass	pass
JCB-40_S32_L001_R1_001	JCB-40_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214552.0	0.0	301.0	39.0	94.07571803523327	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	warn
JCB-40_S32_L001_R2_001	JCB-40_S32_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214552.0	0.0	301.0	40.0	94.78836321797576	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-41_S33_L001_R1_001	JCB-41_S33_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	482665.0	0.0	301.0	40.0	80.59939145660272	301.0	301	pass	warn	pass	pass	pass	warn	pass	pass	pass	pass	warn
JCB-41_S33_L001_R2_001	JCB-41_S33_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	482665.0	0.0	301.0	40.0	82.18839049981622	301.0	301	pass	fail	pass	pass	pass	warn	pass	pass	pass	pass	warn
JCB-43_S35_L001_R1_001	JCB-43_S35_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	297159.0	0.0	301.0	38.0	93.96621394455795	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	warn
JCB-43_S35_L001_R2_001	JCB-43_S35_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	297159.0	0.0	301.0	38.0	94.94346812565612	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	warn
JCB-44_S36_L001_R1_001	JCB-44_S36_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	290927.0	0.0	301.0	39.0	93.45441426261266	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-44_S36_L001_R2_001	JCB-44_S36_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	290927.0	0.0	301.0	39.0	94.56629597879392	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-54_S48_L001_R1_001	JCB-54_S48_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	216046.0	0.0	301.0	39.0	95.07452480760752	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-54_S48_L001_R2_001	JCB-54_S48_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	216046.0	0.0	301.0	39.0	95.92589216032988	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-58_S39_L001_R1_001	JCB-58_S39_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	198882.0	0.0	301.0	39.0	94.7789027898955	301.0	301	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	pass
JCB-58_S39_L001_R2_001	JCB-58_S39_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	198882.0	0.0	301.0	39.0	95.71242855061574	301.0	301	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass	pass
JCB-68_S37_L001_R1_001	JCB-68_S37_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	559642.0	0.0	301.0	41.0	71.62310370343023	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	fail
JCB-68_S37_L001_R2_001	JCB-68_S37_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	559642.0	0.0	301.0	41.0	72.99571375231048	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	fail
JCB-73_S43_L001_R1_001	JCB-73_S43_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	243189.0	0.0	301.0	38.0	95.76810102302278	301.0	301	pass	warn	pass	pass	pass	warn	pass	pass	pass	pass	warn
JCB-73_S43_L001_R2_001	JCB-73_S43_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	243189.0	0.0	301.0	39.0	96.30938133322175	301.0	301	pass	fail	pass	pass	pass	warn	pass	pass	pass	pass	pass
JCB-79_S34_L001_R1_001	JCB-79_S34_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	243914.0	0.0	301.0	39.0	92.79817538392476	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	warn
JCB-79_S34_L001_R2_001	JCB-79_S34_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	243914.0	0.0	301.0	40.0	93.68884278793223	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-85_S47_L001_R1_001	JCB-85_S47_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	241642.0	0.0	301.0	38.0	95.53533537713493	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-85_S47_L001_R2_001	JCB-85_S47_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	241642.0	0.0	301.0	38.0	96.27264328885565	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
JCB-90_S41_L001_R1_001	JCB-90_S41_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300461.0	0.0	301.0	39.0	94.1785510214281	301.0	301	pass	warn	pass	pass	pass	warn	pass	pass	pass	pass	pass
JCB-90_S41_L001_R2_001	JCB-90_S41_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300461.0	0.0	301.0	39.0	94.83392366571954	301.0	301	pass	fail	pass	pass	pass	warn	pass	pass	pass	pass	pass
JCB-91_S46_L001_R1_001	JCB-91_S46_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	352637.0	0.0	301.0	38.0	94.30497611165578	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	fail
JCB-91_S46_L001_R2_001	JCB-91_S46_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	352637.0	0.0	301.0	39.0	94.895107745039	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	warn
JCB-97_S38_L001_R1_001	JCB-97_S38_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	374291.0	0.0	301.0	38.0	94.35064696723477	301.0	301	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	fail
JCB-97_S38_L001_R2_001	JCB-97_S38_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	374291.0	0.0	301.0	38.0	95.03380982671132	301.0	301	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	warn
JCB-99_S44_L001_R1_001	JCB-99_S44_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	306984.0	0.0	301.0	39.0	94.1946217053056	301.0	301	pass	warn	pass	pass	pass	warn	pass	pass	pass	warn	warn
JCB-99_S44_L001_R2_001	JCB-99_S44_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	306984.0	0.0	301.0	40.0	94.82942335144988	301.0	301	pass	fail	pass	pass	pass	warn	pass	pass	pass	pass	warn
MVX_1002_EGX_P6_S32_L001_R1_001	MVX_1002_EGX_P6_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	236088.0	0.0	301.0	40.0	87.25343647654464	301.0	301	pass	fail	pass	pass	warn	warn	pass	pass	pass	warn	fail
MVX_1002_EGX_P6_S32_L001_R2_001	MVX_1002_EGX_P6_S32_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	236088.0	0.0	301.0	41.0	87.75379765791257	301.0	301	pass	fail	pass	pass	warn	warn	pass	pass	pass	warn	fail
OAK-MOR-000068_S321_L007_R1_001	OAK-MOR-000068_S321_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1129794.0	0.0	151.0	38.0	66.77716998998913	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
OAK-MOR-000068_S321_L007_R2_001	OAK-MOR-000068_S321_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1129794.0	0.0	151.0	39.0	76.83934868755838	151.0	151	pass	warn	warn	pass	fail	pass	pass	pass	pass	pass	pass
OAK-MOR-000076_S323_L007_R1_001	OAK-MOR-000076_S323_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1457588.0	0.0	151.0	38.0	70.09561972924529	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
OAK-MOR-000076_S323_L007_R2_001	OAK-MOR-000076_S323_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1457588.0	0.0	151.0	39.0	77.48262968670787	151.0	151	pass	warn	warn	pass	fail	pass	pass	pass	pass	pass	pass
OAK-MOR-000127_S330_L007_R1_001	OAK-MOR-000127_S330_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	991892.0	0.0	151.0	38.0	51.08620473029411	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
OAK-MOR-000127_S330_L007_R2_001	OAK-MOR-000127_S330_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	991892.0	0.0	151.0	39.0	63.91901019252811	151.0	151	pass	warn	warn	pass	fail	pass	pass	pass	warn	pass	pass
OAK-MOR-000133_S360_L007_R1_001	OAK-MOR-000133_S360_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1676470.0	0.0	151.0	38.0	60.71733678630071	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
OAK-MOR-000133_S360_L007_R2_001	OAK-MOR-000133_S360_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1676470.0	0.0	151.0	39.0	70.00913677939383	151.0	151	pass	warn	warn	pass	fail	pass	pass	pass	pass	pass	pass
OAK-MOR-000135_S359_L007_R1_001	OAK-MOR-000135_S359_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1163331.0	0.0	151.0	38.0	63.884064661224215	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
OAK-MOR-000135_S359_L007_R2_001	OAK-MOR-000135_S359_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1163331.0	0.0	151.0	39.0	73.08411451966496	151.0	151	pass	warn	warn	pass	fail	warn	pass	pass	pass	pass	pass
OAK-MOR-000142_S351_L007_R1_001	OAK-MOR-000142_S351_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1065221.0	0.0	151.0	38.0	62.156314318423654	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	pass
OAK-MOR-000142_S351_L007_R2_001	OAK-MOR-000142_S351_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1065221.0	0.0	151.0	39.0	71.74461791757246	151.0	151	pass	warn	warn	pass	fail	warn	pass	pass	pass	pass	pass
OAK-MOR-000189_S296_L007_R1_001	OAK-MOR-000189_S296_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1154595.0	0.0	151.0	38.0	58.183966400811386	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	pass
