	Scaffold_ID.#ID.on.Haplome.H2.3	pseudomolecule.(Chr1-Chr12).or.unassigned.scaffold	Gene.start.#on haplome.pseudo.molecule.(PM1N)	Gene.end	*Gene.length.#(in.bp UTR.+.CDS.+.introns)	Protein.definition .#Based.on.phytozome.process	"Tandem.duplication.(TDG,.LDG,.SG)"	Relationship.between.the.Diploid.and.Haploid.versions:.(1:1.=.18299.genes).1.copy.in.the.diploid.for.1.copy.in.haploid.version.-.(2:1.=.18817.genes).2.copies.in.the.diploid.for.1.copy.in.the.haploid.version.-.NA.=.6639.genes	hybSeqGeneID
Qrob_T0000960.2	Qrob_H2.3_Sc0000000	Chr1	24185732	24183650	2083	(M=1) K02699 - photosystem I subunit XI	SG	2:01	T0000960.2
Qrob_T0003680.2	Qrob_H2.3_Sc0000008	Chr8	47909044	47912842	3799	(M=1) KOG0192//KOG0194//KOG0197//KOG0198//KOG0581//KOG0591//KOG0595//KOG0598//KOG1187//KOG3653 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Mitogen-activated protein kinase kinase (MAP2K) [Signal transduction mechanisms]. // NIMA (never in mitosis)-related G2-specific serine/threonine protein kinase [Cell cycle control  cell division  chromosome partitioning]. // Serine/threonine-protein kinase involved in autophagy [Posttranslational modification  protein turnover  chaperones  Intracellular trafficking  secretion  and vesicular transport  Signal transduction mechanisms]. // Ribosomal protein S6 kinase and related proteins [General function prediction only  Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Transforming growth factor beta/activin receptor subfamily of serine/threonine kinases [Signal transduction mechanisms].	SG	2:01	T0003680.2
Qrob_T0010530.2	Qrob_H2.3_Sc0000005	Chr11	33395633	33394692	942	(M=1) PTHR16007//PTHR16007:SF14 - EPIDIDYMAL MEMBRANE PROTEIN E9-RELATED // SUBFAMILY NOT NAMED (PTHR16007:SF14)	SG	2:01	T0010530.2
Qrob_T0019910.2	Qrob_H2.3_Sc0000022	Chr2	109322554	109320093	2462	(M=1) PF09588 - YqaJ-like viral recombinase domain	SG	1:01	T0019910.2
Qrob_T0021900.2	Qrob_H2.3_Sc0000016	Chr2	12869181	12867660	1522	(M=1) PTHR23315:SF57 - ARMADILLO/BETA-CATENIN-LIKE REPEAT-CONTAINING PROTEIN (PTHR23315:SF57)	SG	2:01	T0021900.2
Qrob_T0024170.2	Qrob_H2.3_Sc0000103	Qrob_H2.3_Sc0000103	1233461	1234480	1020	(M=1) KOG3131 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0024170.2
Qrob_T0027750.2	Qrob_H2.3_Sc0000032	Chr9	23285653	23286284	632	(M=1) PTHR11413:SF38 - CYSTEINE PROTEINASE INHIBITOR 2 (PTHR11413:SF38)	SG	1:01	T0027750.2
Qrob_T0033390.2	Qrob_H2.3_Sc0000007	Chr8	20000423	19996473	3951	(M=1) K17497 - phosphomannomutase [EC:5.4.2.8]	SG	1:01	T0033390.2
Qrob_T0034290.2	Qrob_H2.3_Sc0000026	Qrob_H2.3_Sc0000026	493606	495487	1882	(M=1) PTHR31476:SF4 - RNA RECOGNITION DOMAIN-CONTAINING PROTEIN WTF1 (PTHR31476:SF4)	SG	2:01	T0034290.2
Qrob_T0041110.2	Qrob_H2.3_Sc0000012	Chr3	6199584	6205663	6080	(M=1) PTHR18929:SF39 - GLUCOCEREBROSIDASE	SG	2:01	T0041110.2
Qrob_T0047230.2	Qrob_H2.3_Sc0000006	Chr6	21492859	21497214	4356	(M=1) 3.1.1.2 - Arylesterase.	SG	2:01	T0047230.2
Qrob_T0062760.2	Qrob_H2.3_Sc0000127	Chr2	71824006	71821791	2216	(M=1) 5.1.99.1 - Methylmalonyl-CoA epimerase.	SG	2:01	T0062760.2
Qrob_T0064940.2	Qrob_H2.3_Sc0000014	Chr2	78830300	78835345	5046	(M=1) K00626 - acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	SG	2:01	T0064940.2
Qrob_T0071190.2	Qrob_H2.3_Sc0000091	Chr2	104221992	104227929	5938	(M=1) 1.2.1.9 - Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)).	SG	2:01	T0071190.2
Qrob_T0074920.2	Qrob_H2.3_Sc0000285	Chr3	34561576	34567542	5967	(M=1) K03246 - translation initiation factor eIF-3 subunit 2	SG	2:01	T0074920.2
Qrob_T0077950.2	Qrob_H2.3_Sc0000080	Chr8	58508109	58509203	1095	(M=1) PTHR21146 - MEF2B PROTEIN	SG	2:01	T0077950.2
Qrob_T0080480.2	Qrob_H2.3_Sc0000118	Chr11	5467929	5460630	7300	(M=1) PTHR10909:SF250 - PEROXISOMAL ACYL-COENZYME A OXIDASE 2 (PTHR10909:SF250)	SG	NA	T0080480.2
Qrob_T0093680.2	Qrob_H2.3_Sc0000096	Chr10	3431235	3427560	3676	(M=1) K09131 - hypothetical protein	SG	2:01	T0093680.2
Qrob_T0096770.2	Qrob_H2.3_Sc0000309	Chr6	38283039	38290164	7126	(M=1) PTHR31933:SF3 - O-FUCOSYLTRANSFERASE FAMILY PROTEIN (PTHR31933:SF3)	SG	2:01	T0096770.2
Qrob_T0102450.2	Qrob_H2.3_Sc0000003	Chr2	87729908	87734481	4574	(M=1) 2.5.1.48 - Cystathionine gamma-synthase.	SG	NA	T0102450.2
Qrob_T0114110.2	Qrob_H2.3_Sc0000291	Chr3	42471182	42469028	2155	(M=1) K03942 - NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]	SG	2:01	T0114110.2
Qrob_T0127020.2	Qrob_H2.3_Sc0000035	Chr1	32124612	32126860	2249	(M=1) KOG0018//KOG0161//KOG0933//KOG0946//KOG0964//KOG0976//KOG0994//KOG0996 - Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin  subunit SMC1) [Cell cycle control  cell division  chromosome partitioning]. // Myosin class II heavy chain [Cytoskeleton]. // Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin  subunit E) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning]. // ER-Golgi vesicle-tethering protein p115 [Intracellular trafficking  secretion  and vesicular transport]. // Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin  subunit SMC3) [Cell cycle control  cell division  chromosome partitioning]. // Rho/Rac1-interacting serine/threonine kinase Citron [Signal transduction mechanisms]. // Extracellular matrix glycoprotein Laminin subunit beta [Extracellular structures]. // Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin  subunit C) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning].	SG	2:01	T0127020.2
Qrob_T0152530.2	Qrob_H2.3_Sc0000047	Chr9	16502867	16505099	2233	(M=1) PTHR31636:SF4 - SCARECROW-LIKE PROTEIN 8 (PTHR31636:SF4)	SG	NA	T0152530.2
Qrob_T0177540.2	Qrob_H2.3_Sc0000282	Chr12	18489296	18491325	2030	(M=1) K14319 - Ran GTPase-activating protein 1	SG	2:01	T0177540.2
Qrob_T0180310.2	Qrob_H2.3_Sc0000075	Chr3	22607212	22612431	5220	(M=1) K03250 - translation initiation factor eIF-3 subunit 6	SG	2:01	T0180310.2
Qrob_T0183180.2	Qrob_H2.3_Sc0000103	Qrob_H2.3_Sc0000103	168919	167139	1781	(M=1) K02938 - large subunit ribosomal protein L8e	SG	1:01	T0183180.2
Qrob_T0204240.2	Qrob_H2.3_Sc0000066	Chr2	21674568	21673672	897	"(M=1) PTHR10438:SF247 - THIOREDOXIN-LIKE PROTEIN CDSP32, CHLOROPLASTIC (PTHR10438:SF247)"	SG	NA	T0204240.2
Qrob_T0204250.2	Qrob_H2.3_Sc0000066	Chr2	21691905	21690492	1414	(M=1) K08242 - 24-methylenesterol C-methyltransferase [EC:2.1.1.143]	SG	2:01	T0204250.2
Qrob_T0206040.2	Qrob_H2.3_Sc0000174	Chr11	47117462	47116062	1401	(M=1) K12271 - signal recognition particle 43 kDa protein	SG	NA	T0206040.2
Qrob_T0206170.2	Qrob_H2.3_Sc0000174	Chr11	47253626	47251435	2192	(M=1) KOG3223 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0206170.2
Qrob_T0213120.2	Qrob_H2.3_Sc0000121	Chr5	69604196	69614775	10580	(M=1) K02145 - V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	SG	NA	T0213120.2
Qrob_T0213800.2	Qrob_H2.3_Sc0000369	Chr7	40992996	40991693	1304	(M=1) PTHR13068//PTHR13068:SF14 - CGI-12 PROTEIN-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0213800.2
Qrob_T0221170.2	Qrob_H2.3_Sc0000854	Chr10	36654865	36641827	13039	"(M=1) PTHR13780//PTHR13780:SF23 - AMP-ACTIVATED PROTEIN KINASE, GAMMA REGULATORY SUBUNIT // SUBFAMILY NOT NAMED"	SG	2:01	T0221170.2
Qrob_T0231260.2	Qrob_H2.3_Sc0000242	Chr2	54386674	54380521	6154	(M=1) K17732 - mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]	SG	NA	T0231260.2
Qrob_T0231390.2	Qrob_H2.3_Sc0000242	Chr2	54127838	54126570	1269	(M=1) K11805 - WD repeat-containing protein 68	SG	NA	T0231390.2
Qrob_T0236590.2	Qrob_H2.3_Sc0000535	Chr8	67382416	67384333	1918	(M=1) PF07014 - Hs1pro-1 protein C-terminus	SG	1:01	T0236590.2
Qrob_T0237000.2	Qrob_H2.3_Sc0000203	Chr1	51823548	51818764	4785	"(M=1) PTHR23083//PTHR23083:SF349 - TETRATRICOPEPTIDE REPEAT PROTEIN, TPR // SUBFAMILY NOT NAMED"	SG	1:01	T0237000.2
Qrob_T0240820.2	Qrob_H2.3_Sc0000197	Chr7	30154494	30160951	6458	(M=1) K09500 - T-complex protein 1 subunit theta	SG	NA	T0240820.2
Qrob_T0240910.2	Qrob_H2.3_Sc0000197	Chr7	30239822	30244398	4577	"(M=1) K15633 - 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	SG	2:01	T0240910.2
Qrob_T0265960.2	Qrob_H2.3_Sc0000180	Chr7	6863604	6865998	2395	(M=1) KOG0161//KOG0612//KOG0994//KOG0996 - Myosin class II heavy chain [Cytoskeleton]. // Rho-associated  coiled-coil containing protein kinase [Signal transduction mechanisms]. // Extracellular matrix glycoprotein Laminin subunit beta [Extracellular structures]. // Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin  subunit C) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning].	SG	2:01	T0265960.2
Qrob_T0270980.2	Qrob_H2.3_Sc0000040	Chr2	18242479	18237078	5402	(M=1) K08232 - monodehydroascorbate reductase (NADH) [EC:1.6.5.4]	SG	2:01	T0270980.2
Qrob_T0274880.2	Qrob_H2.3_Sc0000023	Chr12	7050922	7049539	1384	(M=1) 4.6.1.13 - Phosphatidylinositol diacylglycerol-lyase.	SG	2:01	T0274880.2
Qrob_T0279720.2	Qrob_H2.3_Sc0000667	Chr1	10844797	10843600	1198	(M=1) 1.3.1.35 - Phosphatidylcholine desaturase.	SG	2:01	T0279720.2
Qrob_T0290740.2	Qrob_H2.3_Sc0000039	Chr12	4260432	4264378	3947	(M=1) K14015 - nuclear protein localization protein 4 homolog	SG	2:01	T0290740.2
Qrob_T0291930.2	Qrob_H2.3_Sc0000266	Chr11	42519380	42517083	2298	(M=1) 2.4.2.14 - Amidophosphoribosyltransferase.	SG	2:01	T0291930.2
Qrob_T0313490.2	Qrob_H2.3_Sc0000268	Chr7	23613145	23611884	1262	(M=1) KOG1418//KOG4404 - Tandem pore domain K+ channel [Inorganic ion transport and metabolism]. // Tandem pore domain K+ channel TASK3/THIK-1 [Inorganic ion transport and metabolism].	SG	2:01	T0313490.2
Qrob_T0321300.2	Qrob_H2.3_Sc0000004	Chr5	5929457	5931416	1960	(M=1) 4.2.3.1 - Threonine synthase.	SG	2:01	T0321300.2
Qrob_T0324380.2	Qrob_H2.3_Sc0000127	Chr2	71992186	71994876	2691	(M=1) K12602 - WD repeat-containing protein 61	SG	2:01	T0324380.2
Qrob_T0351630.2	Qrob_H2.3_Sc0000185	Chr4	34104090	34097036	7055	(M=1) KOG0161//KOG0612//KOG0946//KOG0962//KOG0994//KOG0996//KOG4674 - Myosin class II heavy chain [Cytoskeleton]. // Rho-associated  coiled-coil containing protein kinase [Signal transduction mechanisms]. // ER-Golgi vesicle-tethering protein p115 [Intracellular trafficking  secretion  and vesicular transport]. // DNA repair protein RAD50  ABC-type ATPase/SMC superfamily [Replication  recombination and repair]. // Extracellular matrix glycoprotein Laminin subunit beta [Extracellular structures]. // Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin  subunit C) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning]. // Uncharacterized conserved coiled-coil protein [Function unknown].	SG	NA	T0351630.2
Qrob_T0367110.2	Qrob_H2.3_Sc0000114	Chr4	39745782	39743637	2146	(M=1) PTHR23244//PTHR23244:SF276 - KELCH REPEAT DOMAIN // SUBFAMILY NOT NAMED (PTHR23244:SF276)	SG	1:01	T0367110.2
Qrob_T0388510.2	Qrob_H2.3_Sc0000641	Chr2	70020646	70031121	10476	(M=1) PTHR22870//PTHR22870:SF154 - REGULATOR OF CHROMOSOME CONDENSATION // SUBFAMILY NOT NAMED	SG	NA	T0388510.2
Qrob_T0396680.2	Qrob_H2.3_Sc0000461	Chr9	13547193	13545644	1550	(M=1) PTHR13683:SF259 - ASPARTYL PROTEASE-LIKE PROTEIN (PTHR13683:SF259)	SG	2:01	T0396680.2
Qrob_T0400850.2	Qrob_H2.3_Sc0000288	Chr5	28362852	28365915	3064	(M=1) PTHR32429:SF9 - POST-ILLUMINATION CHLOROPHYLL FLUORESCENCE INCREASE PROTEIN (PTHR32429:SF9)	SG	NA	T0400850.2
Qrob_T0403640.2	Qrob_H2.3_Sc0000009	Chr10	21707856	21705704	2153	(M=1) PTHR22763//PTHR22763:SF8 - RING ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED (PTHR22763:SF8)	SG	2:01	T0403640.2
Qrob_T0413250.2	Qrob_H2.3_Sc0000290	Chr12	34488028	34486745	1284	(M=1) K00789 - S-adenosylmethionine synthetase [EC:2.5.1.6]	SG	2:01	T0413250.2
Qrob_T0422720.2	Qrob_H2.3_Sc0000366	Chr2	36798008	36793595	4414	(M=1) PTHR24420//PTHR24420:SF683 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE // SUBFAMILY NOT NAMED	SG	2:01	T0422720.2
Qrob_T0426040.2	Qrob_H2.3_Sc0000491	Chr7	1638748	1640766	2019	(M=1) K02981 - small subunit ribosomal protein S2e	SG	NA	T0426040.2
Qrob_T0429960.2	Qrob_H2.3_Sc0000081	Chr6	1285860	1292797	6938	(M=1) K03787 - 5'-nucleotidase [EC:3.1.3.5]	SG	2:01	T0429960.2
Qrob_T0429990.2	Qrob_H2.3_Sc0000081	Chr6	1335505	1333598	1908	(M=1) PTHR19375//PTHR19375:SF101 - HEAT SHOCK PROTEIN 70KDA // SUBFAMILY NOT NAMED	SG	2:01	T0429990.2
Qrob_T0434780.2	Qrob_H2.3_Sc0000053	Chr6	10634682	10636828	2147	(M=1) KOG0543//KOG0547//KOG0548//KOG0624//KOG4234 - FKBP-type peptidyl-prolyl cis-trans isomerase [Posttranslational modification  protein turnover  chaperones]. // Translocase of outer mitochondrial membrane complex  subunit TOM70/TOM72 [Intracellular trafficking  secretion  and vesicular transport]. // Molecular co-chaperone STI1 [Posttranslational modification  protein turnover  chaperones]. // dsRNA-activated protein kinase inhibitor P58  contains TPR and DnaJ domains [Defense mechanisms]. // TPR repeat-containing protein [General function prediction only].	SG	NA	T0434780.2
Qrob_T0436210.2	Qrob_H2.3_Sc0000008	Chr8	48216585	48218902	2318	(M=1) KOG0195//KOG0502//KOG0505//KOG0507//KOG0508//KOG0509//KOG0510//KOG4177//KOG4369//KOG4412 - Integrin-linked kinase [Signal transduction mechanisms]. // Integral membrane ankyrin-repeat protein Kidins220 (protein kinase D substrate) [General function prediction only]. // Myosin phosphatase  regulatory subunit [Posttranslational modification  protein turnover  chaperones  Signal transduction mechanisms]. // CASK-interacting adaptor protein (caskin) and related proteins with ankyrin repeats and SAM domain [Signal transduction mechanisms]. // Ankyrin repeat protein [General function prediction only]. // Ankyrin repeat and DHHC-type Zn-finger domain containing proteins [General function prediction only]. // Ankyrin repeat protein [General function prediction only]. // Ankyrin [Cell wall/membrane/envelope biogenesis]. // RTK signaling protein MASK/UNC-44 [Signal transduction mechanisms]. // 26S proteasome regulatory complex  subunit PSMD10 [Posttranslational modification  protein turnover  chaperones].	SG	2:01	T0436210.2
Qrob_T0436220.2	Qrob_H2.3_Sc0000008	Chr8	48221423	48223304	1882	(M=1) PF12222 - Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A	SG	2:01	T0436220.2
Qrob_T0448480.2	Qrob_H2.3_Sc0000066	Chr2	23006391	23008967	2577	(M=1) 1.11.1.6 - Catalase.	SG	1:01	T0448480.2
Qrob_T0485820.2	Qrob_H2.3_Sc0000355	Chr5	35907634	35909910	2277	(M=1) PTHR23315:SF76 - U-BOX DOMAIN-CONTAINING PROTEIN 17 (PTHR23315:SF76)	SG	NA	T0485820.2
Qrob_T0499140.2	Qrob_H2.3_Sc0000136	Chr3	363703	358760	4944	(M=1) K01648 - ATP citrate (pro-S)-lyase [EC:2.3.3.8]	SG	2:01	T0499140.2
Qrob_T0502480.2	Qrob_H2.3_Sc0000237	Chr12	13159376	13157363	2014	(M=1) K05277 - leucoanthocyanidin dioxygenase [EC:1.14.11.19]	SG	2:01	T0502480.2
Qrob_T0503420.2	Qrob_H2.3_Sc0000260	Chr1	15173115	15171432	1684	(M=1) PTHR13683:SF274 - ASPARTYL PROTEASE FAMILY PROTEIN (PTHR13683:SF274)	SG	NA	T0503420.2
Qrob_T0505320.2	Qrob_H2.3_Sc0000038	Chr1	37331772	37334194	2423	"(M=1) K01180 - endo-1,3(4)-beta-glucanase [EC:3.2.1.6]"	SG	2:01	T0505320.2
Qrob_T0509210.2	Qrob_H2.3_Sc0000214	Chr10	5182173	5185847	3675	(M=1) 2.3.3.9 - Malate synthase.	SG	NA	T0509210.2
Qrob_T0517740.2	Qrob_H2.3_Sc0000183	Chr2	75059354	75057370	1985	(M=1) 3.6.1.9 - Nucleotide diphosphatase.	SG	2:01	T0517740.2
Qrob_T0517770.2	Qrob_H2.3_Sc0000183	Chr2	75036009	75035407	603	(M=1) PTHR19317:SF2 - PRENYLATED RAB ACCEPTOR 1-RELATED	SG	2:01	T0517770.2
Qrob_T0523460.2	Qrob_H2.3_Sc0000464	Chr5	23815540	23814236	1305	(M=1) K18368 - caffeoylshikimate esterase [EC:3.1.1.-]	SG	2:01	T0523460.2
Qrob_T0533440.2	Qrob_H2.3_Sc0000462	Chr6	36548420	36555956	7537	(M=1) PTHR11010//PTHR11010:SF29 - PROTEASE S28 PRO-X CARBOXYPEPTIDASE-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0533440.2
Qrob_T0542140.2	Qrob_H2.3_Sc0000220	Chr12	39249032	39252880	3849	(M=1) KOG0192//KOG0194//KOG0444//KOG0472//KOG0532//KOG0617//KOG0618//KOG1187//KOG4194//KOG4658 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats) [Cytoskeleton]. // Leucine-rich repeat protein [Function unknown]. // Leucine-rich repeat (LRR) protein  contains calponin homology domain [Cytoskeleton]. // Ras suppressor protein (contains leucine-rich repeats) [Signal transduction mechanisms]. // Serine/threonine phosphatase 2C containing leucine-rich repeats  similar to SCN circadian oscillatory protein (SCOP) [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Membrane glycoprotein LIG-1 [Signal transduction mechanisms]. // Apoptotic ATPase [Signal transduction mechanisms].	SG	NA	T0542140.2
Qrob_T0584630.2	Qrob_H2.3_Sc0000550	Chr5	31596210	31599701	3492	(M=1) PTHR10293:SF40 - GLUTAREDOXIN-3 (PTHR10293:SF40)	SG	2:01	T0584630.2
Qrob_T0586450.2	Qrob_H2.3_Sc0000160	Chr10	46007510	46004677	2834	(M=1) PTHR12136//PTHR12136:SF38 - STEROIDOGENIC ACUTE REGULATORY PROTEIN (STAR) // SUBFAMILY NOT NAMED (PTHR12136:SF38)	SG	2:01	T0586450.2
Qrob_T0594400.2	Qrob_H2.3_Sc0000047	Chr9	16697217	16698396	1180	(M=1) K03609 - septum site-determining protein MinD	SG	2:01	T0594400.2
Qrob_T0602160.2	Qrob_H2.3_Sc0000139	Chr1	29054215	29050061	4155	(M=1) PTHR18929//PTHR18929:SF51 - PROTEIN DISULFIDE ISOMERASE // SUBFAMILY NOT NAMED	SG	2:01	T0602160.2
Qrob_T0612610.2	Qrob_H2.3_Sc0000047	Chr9	14535730	14533918	1813	(M=1) KOG3978 - Predicted membrane protein [Function unknown].	SG	NA	T0612610.2
Qrob_T0614860.2	Qrob_H2.3_Sc0000227	Chr10	8987328	8992328	5001	(M=1) K17987 - next to BRCA1 gene 1 protein	SG	1:01	T0614860.2
Qrob_T0653050.2	Qrob_H2.3_Sc0000528	Chr7	114202	106578	7625	(M=1) 3.1.2.12 - S-formylglutathione hydrolase.	SG	2:01	T0653050.2
Qrob_T0662790.2	Qrob_H2.3_Sc0000466	Chr12	33300358	33302208	1851	(M=1) KOG0825//KOG0958//KOG1244//KOG1245//KOG1246//KOG2744 - PHD Zn-finger protein [General function prediction only]. // DNA damage-responsive repressor GIS1/RPH1  jumonji superfamily [Replication  recombination and repair]. // Predicted transcription factor Requiem/NEURO-D4 [Transcription]. // Chromatin remodeling complex WSTF-ISWI  large subunit (contains heterochromatin localization  PHD and BROMO domains) [Chromatin structure and dynamics]. // DNA-binding protein jumonji/RBP2/SMCY  contains JmjC domain [General function prediction only]. // DNA-binding proteins Bright/BRCAA1/RBP1 and related proteins containing BRIGHT domain [Transcription].	SG	2:01	T0662790.2
Qrob_T0665420.2	Qrob_H2.3_Sc0000649	Chr6	40221428	40222813	1386	(M=1) PTHR21477:SF12 - CF9 PROTEIN-RELATED (PTHR21477:SF12)	SG	1:01	T0665420.2
Qrob_T0680320.2	Qrob_H2.3_Sc0000095	Chr10	823597	828617	5021	(M=1) K13506 - glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15]	SG	2:01	T0680320.2
Qrob_T0681430.2	Qrob_H2.3_Sc0000053	Chr6	11805196	11807487	2292	(M=1) K10578 - ubiquitin-conjugating enzyme E2 J1 [EC:6.3.2.19]	SG	2:01	T0681430.2
Qrob_T0683640.2	Qrob_H2.3_Sc0000636	Chr3	39448700	39450841	2142	(M=1) PTHR31235:SF11 - PEROXIDASE 21 (PTHR31235:SF11)	SG	NA	T0683640.2
Qrob_T0706610.2	Qrob_H2.3_Sc0000628	Chr11	45798106	45792513	5594	(M=1) K02147 - V-type H+-transporting ATPase subunit B [EC:3.6.3.14]	SG	NA	T0706610.2
Qrob_T0707900.2	Qrob_H2.3_Sc0000216	Chr11	1182044	1178236	3809	(M=1) 3.4.22.16 - Cathepsin H.	SG	2:01	T0707900.2
Qrob_T0711800.2	Qrob_H2.3_Sc0000064	Qrob_H2.3_Sc0000064	805796	804420	1377	(M=1) PTHR24015:SF172 - UNKNOWN PROTEIN	SG	2:01	T0711800.2
Qrob_T0716070.2	Qrob_H2.3_Sc0000655	Chr8	66905495	66908800	3306	(M=1) 3.1.3.37 - Sedoheptulose-bisphosphatase.	SG	NA	T0716070.2
Qrob_T0732900.2	Qrob_H2.3_Sc0000864	Qrob_H2.3_Sc0000864	95442	93260	2183	"(M=1) PTHR22884:SF300 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH10-RELATED (PTHR22884:SF300)"	SG	2:01	T0732900.2
Qrob_T0736420.2	Qrob_H2.3_Sc0000261	Chr8	51921316	51928033	6718	(M=1) PTHR22904:SF10 - SUPPRESSOR OF G2 ALLELE OF SKP1 (SGT1)	SG	2:01	T0736420.2
Qrob_T0750560.2	Qrob_H2.3_Sc0000089	Chr11	24201570	24205544	3975	(M=1) K03011 - DNA-directed RNA polymerase II subunit RPB3	SG	2:01	T0750560.2
Qrob_T0768180.2	Qrob_H2.3_Sc0001135	Chr6	8028878	8023572	5307	(M=1) K02358 - elongation factor EF-Tu [EC:3.6.5.3]	SG	2:01	T0768180.2
Qrob_T0007340.2	Qrob_H2.3_Sc0000003	Chr2	85828833	85827209	1625	(M=1) PTHR24015:SF36 - OS01G0170800 PROTEIN (FRAGMENT)	SG	2:01	T0007340.2
Qrob_T0007900.2	Qrob_H2.3_Sc0000003	Chr2	84898246	84899553	1308	(M=1) PTHR16007:SF15 - TRANSMEMBRANE PROTEIN 45B (PTHR16007:SF15)	SG	1:01	T0007900.2
Qrob_T0032260.2	Qrob_H2.3_Sc0000020	Chr4	30761446	30759272	2175	(M=1) PTHR21228 - FAST LEU-RICH DOMAIN-CONTAINING	SG	1:01	T0032260.2
Qrob_T0037300.2	Qrob_H2.3_Sc0000024	Qrob_H2.3_Sc0000024	1351963	1350185	1779	(M=1) K06628 - cell division control protein 45	SG	2:01	T0037300.2
Qrob_T0039690.2	Qrob_H2.3_Sc0000041	Chr1	1792734	1791279	1456	(M=1) PTHR13683:SF250 - ASPARTYL PROTEASE-LIKE PROTEIN (PTHR13683:SF250)	SG	1:01	T0039690.2
Qrob_T0043960.2	Qrob_H2.3_Sc0000046	Chr12	23025377	23023357	2021	(M=1) K15255 - ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]	SG	2:01	T0043960.2
Qrob_T0064440.2	Qrob_H2.3_Sc0000014	Chr2	77833556	77834334	779	(M=1) KOG0444//KOG0472//KOG0531//KOG0532//KOG0617//KOG0618//KOG1259//KOG4194//KOG4658 - Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats) [Cytoskeleton]. // Leucine-rich repeat protein [Function unknown]. // Protein phosphatase 1  regulatory subunit  and related proteins [Signal transduction mechanisms]. // Leucine-rich repeat (LRR) protein  contains calponin homology domain [Cytoskeleton]. // Ras suppressor protein (contains leucine-rich repeats) [Signal transduction mechanisms]. // Serine/threonine phosphatase 2C containing leucine-rich repeats  similar to SCN circadian oscillatory protein (SCOP) [Signal transduction mechanisms]. // Nischarin  modulator of integrin alpha5 subunit action [Signal transduction mechanisms  Cytoskeleton]. // Membrane glycoprotein LIG-1 [Signal transduction mechanisms]. // Apoptotic ATPase [Signal transduction mechanisms].	SG	2:01	T0064440.2
