CHROM	POS	MEAN_DEPTH	VAR_DEPTH
NC_044904.1	1098089	10.2115	36.1342
NC_044904.1	1099272	42.2418	532.3
NC_044904.1	2131481	9.57182	28.4062
NC_044904.1	2131982	17.3159	83.3021
NC_044904.1	2132501	35.5632	270.842
NC_044904.1	2133415	9.58726	31.7653
NC_044904.1	2134527	10.3186	39.4677
NC_044904.1	2135177	12.2541	79.8023
NC_044904.1	2136036	40.6429	325.31
NC_044904.1	2136868	9.85912	34.487
NC_044904.1	2138238	10.3306	33.6363
NC_044904.1	2139236	13.551	107.237
NC_044904.1	2139826	37.8544	290.257
NC_044904.1	2240153	10.0975	45.0547
NC_044904.1	2780959	18.7452	310.607
NC_044904.1	2782056	42.8159	563.038
NC_044904.1	2787512	16.8044	238.716
NC_044904.1	2788781	21.2637	235.208
NC_044904.1	2789489	9.39227	31.0812
NC_044904.1	2790084	43.217	467.19
NC_044904.1	2990744	11.8726	54.0171
NC_044904.1	2991368	41.2692	507.018
NC_044904.1	5295680	12.5714	65.1271
NC_044904.1	5296419	39.239	330.816
NC_044904.1	7255468	11.8819	59.256
NC_044904.1	7255979	13.6777	64.2025
NC_044904.1	7498556	11.3819	35.9116
NC_044904.1	7499119	27.2143	164.676
NC_044904.1	7500235	10.3806	39.3673
NC_044904.1	7500736	10.8874	43.2462
NC_044904.1	7501906	11.7747	51.4698
NC_044904.1	7502429	32.978	277.625
NC_044904.1	7506867	10.4694	52.7512
NC_044904.1	7507410	26.7582	167.567
NC_044904.1	7508299	11.0939	54.102
NC_044904.1	7508804	15.2088	122.425
NC_044904.1	7985620	13.3874	94.6842
NC_044904.1	7988149	38.9162	363.81
NC_044904.1	7989487	9.48895	28.4168
NC_044904.1	7989988	24.6236	152.704
NC_044904.1	7990495	15.9615	90.8084
NC_044904.1	9750041	14.0799	63.2174
NC_044904.1	9751453	42.4066	341.107
NC_044904.1	10065739	11.9945	99.0415
NC_044904.1	10066243	23.1923	141.935
NC_044904.1	10067378	12.8485	70.488
NC_044904.1	10068610	39.8626	340.725
NC_044904.1	10070271	10.8366	57.8649
NC_044904.1	10070772	27.8874	243.158
NC_044904.1	10277698	10.6823	34.9487
NC_044904.1	10430087	11.3961	49.1343
NC_044904.1	10431572	38.2225	343.215
NC_044904.1	12170756	13.5543	74.7841
NC_044904.1	12339098	11.3306	59.7026
NC_044904.1	12339915	36.0055	314.165
NC_044904.1	12340690	9.98066	36.1963
NC_044904.1	12343206	11.442	56.8457
NC_044904.1	12343718	19.283	92.6938
NC_044904.1	12346579	14.1326	63.5115
NC_044904.1	13213635	10.4242	52.1565
NC_044904.1	15180501	15.8687	165.173
NC_044904.1	15236808	9.57967	39.0818
NC_044904.1	15237453	43.2143	408.742
NC_044904.1	15238703	9.19391	27.0901
NC_044904.1	15240433	9.48476	33.3671
NC_044904.1	15240970	11.8127	45.9538
NC_044904.1	15241669	10.011	46.4971
NC_044904.1	15242171	26.1593	174.443
NC_044904.1	15243725	10.8347	58.3317
NC_044904.1	15244226	20.8626	106.962
NC_044904.1	15245884	10.3352	34.6012
NC_044904.1	15246390	15.2308	71.9135
NC_044904.1	15881826	9.04986	24.7975
NC_044904.1	15902857	11.4222	64.5956
NC_044904.1	15903861	40.1621	540.434
NC_044904.1	15904781	20.9505	160.163
