n_snps	gene
3	T0000960.2_QL01p048658
12	T0001520.2_QL01p017999
1	T0003680.2_QL03p074074
8	T0004310.2_QL05p055765
8	T0005890.2_QL10p011895
2	T0007340.2_QL02p082330
1	T0007900.2_QL01p010431
3	T0008710.2_QL03p044642
2	T0009910.2_QL02p042453
2	T0010530.2_QL11p039205
2	T0011280.2_QL11p042175
11	T0011500.2_QL11p042321
12	T0011800.2_QL10p038436
8	T0013360.2_QL05p021649
12	T0013410.2_QL05p021582
8	T0015920.2_QL03p025023
4	T0017140.2_QL08p053157
10	T0018350.2_QL12p012089
3	T0019910.2_QL03p055307
2	T0021900.2_QL04p017585
2	T0024170.2_QL04p014579
2	T0027750.2_QL06p027589
4	T0027800.2_QL06p027667
7	T0032230.2_QL10p064653
3	T0032260.2_QL10p065815
8	T0032570.2_QL10p065198
4	T0033390.2_QL08p049567
11	T0033990.2_QL08p048825
2	T0034290.2_QL10p055966
4	T0035160.2_QL07p016723
11	T0036680.2_QL02p010556
3	T0037300.2_QL09p052469
1	T0039690.2_QL01p001099
10	T0041030.2_QL03p018132
3	T0041110.2_QL03p018289
4	T0043060.2_QL04p002433
0	T0043270.2_QL04p002490
2	T0043960.2_QL08p043670
1	T0047230.2_QL10p011423
11	T0054480.2_QL03p000120
1	T0054570.2_QL03p000278
7	T0057510.2_QL03p066863
3	T0062760.2_QL02p061913
2	T0064440.2_QL02p064658
6	T0064940.2_QL05p067509
8	T0069230.2_QL05p040418
6	T0070890.2_QL02p093261
1	T0070960.2_QL02p093158
1	T0071190.2_QL02p092772
2	T0074210.2_QL08p037311
4	T0074920.2_QL03p040982
2	T0077950.2_QL08p054295
9	T0079140.2_QL04p055168
11	T0080420.2_QL12p011237
12	T0080480.2_QL12p011360
3	T0080580.2_QL11p006325
3	T0080590.2_QL11p006325
4	T0081920.2_QL12p018066
3	T0083070.2_QL08p039786
6	T0083350.2_QL01p038111
7	T0087010.2_QL93p0049_0031
4	T0087470.2_QL04p021809
